u,v,key,osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,bridge,access,ref,maxspeed
1362226361,7782712661,0,"[1028820681, 121774183]",False,,波樓路 Po Lau Road,residential,,False,330.306,"LINESTRING (114.0977857 22.5072042, 114.0978623 22.5071422, 114.0979318 22.5071012, 114.0979922 22.5070863, 114.0981081 22.507066, 114.0987278 22.5069827, 114.0987695 22.5069708, 114.098819 22.5069567, 114.0988794 22.5069243, 114.0989146 22.506855, 114.0989412 22.5066819, 114.0990604 22.505891, 114.0991797 22.5051522, 114.0992069 22.5051164, 114.0992481 22.5050679)",,,,
1362226361,8811521507,0,951985952,False,,新波樓路 New Po Lau Road,residential,,False,143.368,"LINESTRING (114.0977857 22.5072042, 114.0978793 22.5072556, 114.0979016 22.5072906, 114.0979045 22.5073292, 114.097889 22.5074314, 114.0978871 22.5074869, 114.0979007 22.5075712, 114.0979414 22.5076627, 114.0980094 22.50772, 114.0980656 22.5077398, 114.098743 22.5077541)",,,,
1362226361,8811521496,0,951985952,False,,新波樓路 New Po Lau Road,residential,,True,76.747,"LINESTRING (114.0977857 22.5072042, 114.0976921 22.5072083, 114.0975335 22.5072234, 114.097101 22.5072018, 114.0970442 22.5071817)",,,,
1480657227,1480657235,0,157803655,True,,洲頭南路 Chau Tau South Road,residential,,False,434.889,"LINESTRING (114.0852774 22.5056727, 114.0849992 22.5053505, 114.084929 22.5052623, 114.0848374 22.505147, 114.0847109 22.5050464, 114.084668 22.505025, 114.0845478 22.5049648, 114.0844015 22.5049549, 114.0842166 22.5049577, 114.0838243 22.5050041, 114.0834375 22.5051543, 114.0817265 22.5061374)",,,,
1480657235,1480657247,0,157803656,False,,洲頭西路 Chau Tau West Road,residential,,False,165.938,"LINESTRING (114.0817265 22.5061374, 114.0814188 22.5059555, 114.0811589 22.505862, 114.0808979 22.505784, 114.080516 22.5056637, 114.0802366 22.5055812)",,,,
1480657235,1700554456,0,157803656,False,,洲頭西路 Chau Tau West Road,residential,,True,214.86,"LINESTRING (114.0817265 22.5061374, 114.0823268 22.506796, 114.0825049 22.5070134, 114.0827674 22.507295, 114.0831175 22.5075738)",,,,
1480657247,1480657235,0,157803656,False,,洲頭西路 Chau Tau West Road,residential,,True,165.93800000000002,"LINESTRING (114.0802366 22.5055812, 114.080516 22.5056637, 114.0808979 22.505784, 114.0811589 22.505862, 114.0814188 22.5059555, 114.0817265 22.5061374)",,,,
1480657247,1480669368,0,157803658,False,2,落馬洲路 Lok Ma Chau Road,tertiary,,True,295.08700000000005,"LINESTRING (114.0802366 22.5055812, 114.0805242 22.5049187, 114.0806796 22.5047121, 114.0808194 22.5045875, 114.081318 22.5043657, 114.0814351 22.5043499, 114.0820617 22.5042656, 114.0822544 22.5041716, 114.0823432 22.5041109)",,,,
1480669368,1480657247,0,157803658,False,2,落馬洲路 Lok Ma Chau Road,tertiary,,False,295.087,"LINESTRING (114.0823432 22.5041109, 114.0822544 22.5041716, 114.0820617 22.5042656, 114.0814351 22.5043499, 114.081318 22.5043657, 114.0808194 22.5045875, 114.0806796 22.5047121, 114.0805242 22.5049187, 114.0802366 22.5055812)",,,,
1480669368,1700554363,0,848445068,True,1,落馬洲路 Lok Ma Chau Road,tertiary,,False,36.425,"LINESTRING (114.0823432 22.5041109, 114.0824475 22.5040509, 114.082609 22.5038974)",,,,
1492216034,513668884,0,832252990,True,3,,primary,,False,50.992000000000004,"LINESTRING (114.0810477 22.5013135, 114.0812685 22.5014777, 114.081313 22.5015067, 114.0813337 22.501529, 114.0813419 22.5015383, 114.0813531 22.5015482, 114.08142 22.5016146)",,,,50
1492216042,1492216034,0,396504696,True,2,,primary_link,,False,107.568,"LINESTRING (114.0802167 22.5013871, 114.0804011 22.50119, 114.0804561 22.5011374, 114.0805187 22.5011044, 114.0805947 22.5010832, 114.0806773 22.5010836, 114.0807398 22.5010985, 114.0807949 22.5011234, 114.0808895 22.5011917, 114.0810477 22.5013135)",,,,50
1492216049,1492216042,0,157803686,True,,,primary_link,,False,31.485,"LINESTRING (114.0800011 22.5015883, 114.0800575 22.5015356, 114.0801022 22.501496, 114.0802167 22.5013871)",,,,
1492216059,1492216042,0,396504696,True,2,,primary_link,,False,55.091,"LINESTRING (114.080198 22.5018554, 114.0801639 22.5017915, 114.0801436 22.5017352, 114.0801304 22.5016413, 114.0801369 22.5015651, 114.0801423 22.5015333, 114.0802167 22.5013871)",,,,50
1492216059,1492216049,0,499854770,True,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,36.031,"LINESTRING (114.080198 22.5018554, 114.0801373 22.5017916, 114.0800011 22.5015883)",,,,
