u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
1491785783,7973259290,0,"[854919705, 856026022]",True,,泰然四路,tertiary,False,31.505999999999997,"LINESTRING (114.0235456 22.536725, 114.0235965 22.5367338, 114.0236165 22.5367347, 114.0236402 22.5367335, 114.0236653 22.5367298, 114.0236916 22.5367231, 114.0237151 22.5367139, 114.0237386 22.5367036, 114.0237596 22.5366927, 114.023781 22.5366804, 114.0237984 22.5366677, 114.0238132 22.5366539, 114.0238216 22.536643)",,
1491785786,7973259255,0,854919704,True,,泰然四路,tertiary,False,89.807,"LINESTRING (114.0234845 22.5367893, 114.0226251 22.5366402)",,
1491785786,1491785797,0,135906441,False,,,unclassified,True,195.719,"LINESTRING (114.0234845 22.5367893, 114.0232747 22.5377252, 114.0224183 22.537579)",,
1491785795,1491785797,0,135906441,False,,,unclassified,False,55.222,"LINESTRING (114.0218886 22.5374937, 114.0224183 22.537579)",,
1491785797,7973259255,0,135906414,False,,,unclassified,False,106.529,"LINESTRING (114.0224183 22.537579, 114.0226251 22.5366402)",,
1491785797,1491785795,0,135906441,False,,,unclassified,True,55.222,"LINESTRING (114.0224183 22.537579, 114.0218886 22.5374937)",,
1491785797,1491785786,0,135906441,False,,,unclassified,False,195.719,"LINESTRING (114.0224183 22.537579, 114.0232747 22.5377252, 114.0234845 22.5367893)",,
1491845135,1491845160,0,135913029,True,,,trunk_link,False,80.292,"LINESTRING (114.0321877 22.5302326, 114.0314357 22.5304299)",,
1491845135,499237230,0,25423077,True,S550,滨河大道,trunk,False,258.675,"LINESTRING (114.0321877 22.5302326, 114.0321302 22.5302319, 114.031598 22.5302319, 114.0311088 22.5302716, 114.0306367 22.5303112, 114.0301561 22.5303667, 114.029682 22.5304322)",,
1491845137,1491845161,0,135913043,True,,滨河大道辅路,primary,False,231.391,"LINESTRING (114.0359635 22.5301807, 114.0382015 22.5304196)",,
1491845137,499237416,0,241489260,True,,,trunk_link,False,124.352,"LINESTRING (114.0359635 22.5301807, 114.0371291 22.5304832)",1,
1491845160,7965680841,0,135913061,True,,滨河大道辅路,primary,False,211.006,"LINESTRING (114.0314357 22.5304299, 114.0310255 22.530453, 114.0307333 22.530475, 114.030454 22.5304999, 114.0297335 22.5305848, 114.0295763 22.5306096, 114.0295349 22.5306165, 114.0293953 22.5306395)",1,
1491845161,7616135774,0,135913043,True,,滨河大道辅路,primary,False,44.627,"LINESTRING (114.0382015 22.5304196, 114.0386329 22.5304675)",,
1491845475,7973114786,0,40955126,True,,香蜜湖路,primary,False,42.1,"LINESTRING (114.0242971 22.5369147, 114.0241972 22.5372819)",4,
2529179564,7973114616,0,854903596,False,,,residential,False,102.497,"LINESTRING (114.0280816 22.5325776, 114.0290613 22.5327531)",,
2529179564,7973114647,0,854903590,True,,泰然三路,residential,False,537.186,"LINESTRING (114.0280816 22.5325776, 114.0279484 22.5331778, 114.0279306 22.5332582, 114.0277074 22.5342641, 114.027057 22.5371954, 114.0270312 22.5373102)",,
2529179605,9769468009,0,40955126,True,,香蜜湖路,primary,False,39.582,"LINESTRING (114.0252736 22.5333606, 114.0251778 22.5337054)",4,
2529179627,7973114630,0,245794171,True,,泰然五路,residential,False,7.21,"LINESTRING (114.0258737 22.5340988, 114.0258606 22.5341625)",,
2868134374,7965696103,0,282866320,False,,,residential,True,125.011,"LINESTRING (114.0376011 22.5327683, 114.0378049 22.5322043, 114.0379865 22.5317019)",,
2868296666,7965680828,0,282885051,False,,,residential,True,137.51,"LINESTRING (114.0397544 22.5319098, 114.0389874 22.5314034, 114.0390872 22.5312595, 114.0391527 22.5310742)",,
3556989120,1491785482,0,349913410,False,,,residential,False,57.932,"LINESTRING (114.0201213 22.5303943, 114.020225 22.5304066, 114.0202532 22.5304119, 114.0202806 22.5304178, 114.0203099 22.5304257, 114.0203386 22.5304344, 114.0203658 22.5304463, 114.020392 22.5304591, 114.0204167 22.5304726, 114.0204416 22.530488, 114.0204642 22.5305039, 114.020487 22.5305236, 114.0205078 22.5305437, 114.0205265 22.5305625, 114.0205937 22.5306383)",2,
3969348270,6020564601,0,843561048,True,,,trunk_link,False,51.488,"LINESTRING (114.0295559 22.530148, 114.0300334 22.530007)",,
3969348270,499237384,0,843561049,True,,,trunk_link,False,116.055,"LINESTRING (114.0295559 22.530148, 114.0298193 22.5301239, 114.0299657 22.5301183, 114.0301011 22.5301151, 114.0302328 22.5301171, 114.0303302 22.5301181, 114.0304371 22.5301181, 114.0305384 22.5301172, 114.0306843 22.5301136)",,
3969348312,7902654987,0,"[958548492, 879817598]",True,,香蜜湖路,primary,False,240.01600000000002,"LINESTRING (114.024512 22.5349523, 114.0245272 22.5346726, 114.0245462 22.5345137, 114.024579 22.5343415, 114.0248322 22.5334242, 114.0248844 22.5332327, 114.0249451 22.5330343, 114.0250012 22.5328479)",2,yes
3969348312,8711330062,0,"[958548491, 412445341]",True,,车公庙立交,trunk_link,False,270.457,"LINESTRING (114.024512 22.5349523, 114.024947 22.5333281, 114.0249683 22.533197, 114.0249805 22.5330665, 114.0249835 22.5329351, 114.0249788 22.5327713, 114.0249723 22.5326542, 114.0249674 22.5325713)",,yes
