u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes,maxspeed
8128067513,8128067429,0,872846704,True,,,secondary_link,False,48.291999999999994,"LINESTRING (114.0911434 22.5387151, 114.0911546 22.5386712, 114.0911804 22.538633, 114.0912183 22.5386048, 114.0912642 22.5385898, 114.0913128 22.5385896, 114.0913589 22.5386042, 114.0913975 22.5386318, 114.0914232 22.53867, 114.0914344 22.5387138, 114.091435 22.5387431)",,1,
8128067513,528737347,0,1120977006,True,,上步南路,primary_link,False,67.90299999999999,"LINESTRING (114.0911434 22.5387151, 114.0911433 22.5386468, 114.0911399 22.5386007, 114.0911328 22.5385634, 114.091118 22.5385247, 114.0911011 22.5384864, 114.0910751 22.5384459, 114.09105 22.5384107, 114.0910179 22.5383755, 114.0909836 22.5383431, 114.0909439 22.538312, 114.090817 22.5382229)",,2,
8201889597,9196976493,0,314324658,False,,,residential,False,9.173,"LINESTRING (114.0997417 22.537123, 114.099831 22.5371246)",,,
8201889597,5827544425,0,881943259,False,,,tertiary,False,6.306,"LINESTRING (114.0997417 22.537123, 114.0997406 22.5371797)",,,
8201889597,3203749852,0,881943259,False,,,tertiary,True,6.395,"LINESTRING (114.0997417 22.537123, 114.0997428 22.5370655)",,,
8201889597,3203749835,0,314324658,False,,,residential,True,100.261,"LINESTRING (114.0997417 22.537123, 114.0996495 22.5371225, 114.0996207 22.5371275, 114.0995918 22.5371393, 114.0995716 22.5371531, 114.0995513 22.5371768, 114.0995438 22.5372024, 114.0995438 22.537235, 114.0995545 22.5372655, 114.099592 22.5373308, 114.0996072 22.5373574, 114.0996181 22.537385, 114.0996226 22.5374186, 114.0996171 22.537867)",,,
8230664666,2789249156,0,1054407531,True,,滨河大道辅路,primary,False,323.27599999999995,"LINESTRING (114.0834964 22.5371499, 114.084472 22.5371688, 114.0866434 22.5372102)",,2,
8230664709,6052445879,0,996207942,True,,滨河大道辅路,primary,False,52.957,"LINESTRING (114.0823682 22.5371895, 114.0824378 22.5371924, 114.0828836 22.5372037)",,2,
8230674921,8230674925,0,885068877,True,,滨河大道辅路,primary,False,57.287,"LINESTRING (114.0952867 22.5378633, 114.0953919 22.5378949, 114.0955335 22.5379505, 114.0956644 22.5379963, 114.0958113 22.5380369)",,,
8230674925,564002106,0,996657802,True,S550,滨河大道,trunk,False,288.4,"LINESTRING (114.0958113 22.5380369, 114.0961112 22.5380408, 114.0986191 22.5380748)",,,
9196976493,8201889597,0,314324658,False,,,residential,True,9.173,"LINESTRING (114.099831 22.5371246, 114.0997417 22.537123)",,,
9196976493,9196976497,0,996003355,True,,,residential,False,75.607,"LINESTRING (114.099831 22.5371246, 114.0998171 22.5376863, 114.0998168 22.5378044)",,,
9196976495,564002123,0,996003355,True,,,residential,False,7.254,"LINESTRING (114.0998381 22.5378582, 114.0998926 22.5378997)",,,
9196976495,8577866290,0,924057720,True,,,primary_link,False,14.942,"LINESTRING (114.0998381 22.5378582, 114.0998889 22.5378244, 114.0999631 22.5377903)",,1,
9196976497,9196976495,0,996003355,True,,,residential,False,6.37,"LINESTRING (114.0998168 22.5378044, 114.0998381 22.5378582)",,,
9196976497,8577866290,0,885068875,True,,滨河大道辅路,primary,False,15.11,"LINESTRING (114.0998168 22.5378044, 114.0998669 22.5377982, 114.0999631 22.5377903)",,,
