u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry
8549666217,8549666413,0,920874815,False,,逸心路,residential,True,75.027,"LINESTRING (114.1335325 22.5812977, 114.133404 22.5814263, 114.1328663 22.5814835)"
8549666313,2920173167,0,450353111,True,,昌晓一路,residential,False,256.13,"LINESTRING (114.1304777 22.5822933, 114.1329721 22.582329)"
8549666412,8549666415,0,1061386086,False,,东晓路,tertiary,False,98.276,"LINESTRING (114.1329511 22.585338, 114.1329573 22.5844542)"
8549666412,4472714203,0,450353114,False,,,residential,False,283.199,"LINESTRING (114.1329511 22.585338, 114.1308209 22.5853224, 114.1301928 22.5853151)"
8549666412,8549666473,0,1061386086,False,,东晓路,tertiary,True,240.655,"LINESTRING (114.1329511 22.585338, 114.132944 22.586356, 114.1329452 22.5863665, 114.1329484 22.5863766, 114.1329555 22.5863848, 114.1329649 22.5863919, 114.132976 22.5863984, 114.132989 22.5864033, 114.1330032 22.5864063, 114.1330198 22.586408, 114.1331326 22.5864076, 114.133171 22.5864061, 114.1332126 22.5864004, 114.1332577 22.5863914, 114.1333028 22.5863775, 114.1333524 22.5863587, 114.1334072 22.5863334, 114.133563 22.5862493, 114.1336127 22.5862173, 114.1336605 22.586181, 114.1338796 22.5860076, 114.1339014 22.5859952, 114.1339244 22.5859878, 114.133951 22.5859825, 114.1339762 22.5859817, 114.1339974 22.5859838, 114.1340166 22.5859871)"
8549666413,2920173167,0,288456410,True,,东晓路,tertiary,False,94.641,"LINESTRING (114.1328663 22.5814835, 114.1329721 22.582329)"
8549666413,8549666217,0,920874815,False,,逸心路,residential,False,75.027,"LINESTRING (114.1328663 22.5814835, 114.133404 22.5814263, 114.1335325 22.5812977)"
8549666415,8549666412,0,1061386086,False,,东晓路,tertiary,True,98.276,"LINESTRING (114.1329573 22.5844542, 114.1329511 22.585338)"
8549666415,1145386240,0,184030475,False,2,东湖路,tertiary,True,246.26300000000003,"LINESTRING (114.1329573 22.5844542, 114.1330981 22.5844712, 114.1349908 22.5844848, 114.1350733 22.5844814, 114.1351645 22.5844717, 114.135262 22.5844551, 114.1353492 22.5844333)"
8549666415,3969579136,0,1061386085,True,2,东湖路,tertiary,False,316.47400000000005,"LINESTRING (114.1329573 22.5844542, 114.132787 22.5844337, 114.1300953 22.5844095, 114.1300449 22.584409, 114.1299963 22.5844086, 114.1299539 22.584402, 114.1299115 22.5843848, 114.1298865 22.5843685)"
8549666419,2320152527,0,223073293,False,,翠荫路,tertiary,False,410.352,"LINESTRING (114.1318806 22.5866196, 114.1308113 22.5866443, 114.1307048 22.5866509, 114.1306072 22.5866639, 114.1301458 22.5867044, 114.1297314 22.5868468, 114.1285 22.5874673, 114.1281347 22.5876461)"
8549666419,8549666473,0,223073293,False,,翠荫路,tertiary,True,239.42,"LINESTRING (114.1318806 22.5866196, 114.1326072 22.5866028, 114.1326691 22.586601, 114.132735 22.5865972, 114.1327975 22.5865916, 114.1328657 22.5865834, 114.1329425 22.5865708, 114.1330334 22.5865503, 114.1331262 22.5865268, 114.1332213 22.5864979, 114.1333202 22.5864614, 114.133427 22.5864168, 114.1335185 22.5863692, 114.1336018 22.5863196, 114.1336924 22.5862592, 114.1340166 22.5859871)"
8549666419,4472714118,0,450353126,False,,,residential,False,301.565,"LINESTRING (114.1318806 22.5866196, 114.1318454 22.5875104, 114.1317864 22.5876144, 114.1316625 22.5878719, 114.1304832 22.5887857)"
8549666473,8549666419,0,223073293,False,,翠荫路,tertiary,False,239.42000000000002,"LINESTRING (114.1340166 22.5859871, 114.1336924 22.5862592, 114.1336018 22.5863196, 114.1335185 22.5863692, 114.133427 22.5864168, 114.1333202 22.5864614, 114.1332213 22.5864979, 114.1331262 22.5865268, 114.1330334 22.5865503, 114.1329425 22.5865708, 114.1328657 22.5865834, 114.1327975 22.5865916, 114.132735 22.5865972, 114.1326691 22.586601, 114.1326072 22.5866028, 114.1318806 22.5866196)"
8549666473,2320152540,0,223073293,False,,翠荫路,tertiary,True,499.946,"LINESTRING (114.1340166 22.5859871, 114.1342748 22.5857705, 114.1343679 22.5856945, 114.1344512 22.5856344, 114.1345352 22.5855844, 114.1346008 22.5855505, 114.1346704 22.58552, 114.1347584 22.585486, 114.1348401 22.5854585, 114.1349356 22.585432, 114.1350304 22.5854111, 114.1351025 22.5853983, 114.1351748 22.585389, 114.1352567 22.58538, 114.1353359 22.5853744, 114.1354154 22.5853724, 114.135776 22.5853725, 114.135842 22.5853769, 114.1358954 22.5853845, 114.1359537 22.585396, 114.1360065 22.5854112, 114.1360528 22.5854273, 114.1360988 22.5854449, 114.1361542 22.585468, 114.1372469 22.58599, 114.1373301 22.58603, 114.1374036 22.5860681, 114.1374654 22.5861027, 114.1375224 22.5861368, 114.1377479 22.5862921, 114.1378365 22.5864268, 114.1379466 22.586545, 114.1381589 22.5867972)"
8549666473,8549666412,0,1061386086,False,,东晓路,tertiary,False,240.65499999999997,"LINESTRING (114.1340166 22.5859871, 114.1339974 22.5859838, 114.1339762 22.5859817, 114.133951 22.5859825, 114.1339244 22.5859878, 114.1339014 22.5859952, 114.1338796 22.5860076, 114.1336605 22.586181, 114.1336127 22.5862173, 114.133563 22.5862493, 114.1334072 22.5863334, 114.1333524 22.5863587, 114.1333028 22.5863775, 114.1332577 22.5863914, 114.1332126 22.5864004, 114.133171 22.5864061, 114.1331326 22.5864076, 114.1330198 22.586408, 114.1330032 22.5864063, 114.132989 22.5864033, 114.132976 22.5863984, 114.1329649 22.5863919, 114.1329555 22.5863848, 114.1329484 22.5863766, 114.1329452 22.5863665, 114.132944 22.586356, 114.1329511 22.585338)"
8549666508,9199902910,0,996519966,False,2,东湖路,tertiary,False,6.256,"LINESTRING (114.1373401 22.580582, 114.1373206 22.5806353)"
