u,v,key,osmid,oneway,highway,reversed,length,ref,name,geometry,bridge,lanes,maxspeed
2883507474,2883507459,0,284628355,False,residential,False,99.373,,,"LINESTRING (114.1301161 22.5733219, 114.1300481 22.5733763, 114.1299336 22.5734162, 114.1298281 22.5734234, 114.1297262 22.573411, 114.1296055 22.5733837, 114.1294937 22.5733369, 114.129399 22.5732772, 114.1293086 22.5732032, 114.1292655 22.573159)",,,
2883507474,2883504200,0,284628355,False,residential,True,191.284,,,"LINESTRING (114.1301161 22.5733219, 114.1301562 22.5732899, 114.1302688 22.5731413, 114.1303565 22.5729553, 114.1303922 22.5728119, 114.1304003 22.572641, 114.1303708 22.57248, 114.1303091 22.5723611, 114.130209 22.5722692, 114.130065 22.5721877, 114.1298201 22.5720983, 114.1296672 22.5720686)",,,
2883507498,2920173193,0,288456412,False,residential,True,152.783,,,"LINESTRING (114.1353358 22.5750935, 114.1339375 22.5755634)",,,
2883507498,5240881403,0,542054987,False,residential,False,75.516,,东乐路,"LINESTRING (114.1353358 22.5750935, 114.1356126 22.5757227)",,,
2883507498,2920173172,0,288456412,False,residential,False,396.418,,,"LINESTRING (114.1353358 22.5750935, 114.135976 22.5748848, 114.1361047 22.5748204, 114.136211 22.5747359, 114.1362979 22.5746173, 114.136373 22.5744538, 114.1364052 22.5743003, 114.1364159 22.5741368, 114.1363944 22.5740229, 114.1361691 22.5734433, 114.1363837 22.5727845, 114.1361691 22.5724972, 114.1360381 22.5722624)",,,
2883507498,2883507446,0,542054987,False,residential,True,233.36599999999999,,东乐路,"LINESTRING (114.1353358 22.5750935, 114.1352926 22.5749914, 114.1349673 22.5743274, 114.134801 22.5739509, 114.1346274 22.5735945, 114.1344388 22.5731656)",,,
2883507622,8218242173,0,219498389,True,secondary,False,296.946,,太宁路,"LINESTRING (114.1276208 22.571182, 114.1269888 22.5709084, 114.1252031 22.5701626, 114.1249865 22.5700805)",,2,
2883507622,2883507438,0,284628357,False,residential,False,367.84000000000003,,,"LINESTRING (114.1276208 22.571182, 114.1275276 22.571306, 114.1274678 22.5713726, 114.1270762 22.5717466, 114.1270502 22.5718137, 114.1270467 22.5718927, 114.1270816 22.5719646, 114.1271467 22.5720317, 114.1288689 22.5735967)",,,
2883507646,2883507430,0,284628365,False,tertiary,True,9.027,,东乐路,"LINESTRING (114.1334328 22.5713526, 114.1333896 22.5712819)",,,
2883507646,5091912841,0,219498389,True,secondary,False,278.263,,太宁路,"LINESTRING (114.1334328 22.5713526, 114.133156 22.5715007, 114.1328853 22.5716275, 114.132531 22.5717741, 114.132056 22.5719187, 114.1315304 22.5720381, 114.1312131 22.5720904, 114.1310115 22.5721158, 114.1308804 22.57212)",,2,
2883507646,2883507446,0,284628365,False,tertiary,False,226.538,,东乐路,"LINESTRING (114.1334328 22.5713526, 114.1340347 22.5724082, 114.1344388 22.5731656)",,,
2920173166,5383239520,0,558274284,True,trunk,False,49.44,G107,布心路辅路,"LINESTRING (114.1323403 22.5775388, 114.1318775 22.5776616)",,,
2920173166,8549666385,0,1061386087,False,tertiary,True,235.584,,东晓路,"LINESTRING (114.1323403 22.5775388, 114.13237 22.5777119, 114.132616 22.5794878, 114.132621 22.579528, 114.1326352 22.5796398)",,,
2920173170,4472714132,0,972309903,True,trunk,False,66.128,G107,布心路辅路,"LINESTRING (114.1377943 22.5757015, 114.1375373 22.575821, 114.1372181 22.5759672)",,,
2920173172,2883507446,0,542054986,False,tertiary,True,192.488,,太安路,"LINESTRING (114.1360381 22.5722624, 114.1344388 22.5731656)",,,
2920173172,2883507498,0,288456412,False,residential,True,396.41799999999995,,,"LINESTRING (114.1360381 22.5722624, 114.1361691 22.5724972, 114.1363837 22.5727845, 114.1361691 22.5734433, 114.1363944 22.5740229, 114.1364159 22.5741368, 114.1364052 22.5743003, 114.136373 22.5744538, 114.1362979 22.5746173, 114.136211 22.5747359, 114.1361047 22.5748204, 114.135976 22.5748848, 114.1353358 22.5750935)",,,
2920173172,2921637379,0,542054986,False,tertiary,False,169.581,,太安路,"LINESTRING (114.1360381 22.5722624, 114.1372968 22.5715774, 114.1373785 22.5715472, 114.137472 22.5715083)",,,
2920173193,2883507498,0,288456412,False,residential,False,152.783,,,"LINESTRING (114.1339375 22.5755634, 114.1353358 22.5750935)",,,
2920173609,6080171669,0,288456409,False,tertiary,True,82.43900000000001,,东乐路,"LINESTRING (114.1357578 22.5765167, 114.1357586 22.5765564, 114.1357839 22.5772577)",,2,
2920173609,2920173166,0,"[558274274, 558274284]",True,trunk,False,368.867,G107,布心路辅路,"LINESTRING (114.1357578 22.5765167, 114.1331641 22.577311, 114.1330577 22.5773429, 114.1329125 22.5773831, 114.1323403 22.5775388)",,,
2921637379,2920173172,0,542054986,False,tertiary,True,169.581,,太安路,"LINESTRING (114.137472 22.5715083, 114.1373785 22.5715472, 114.1372968 22.5715774, 114.1360381 22.5722624)",,,
3066529096,2883507646,0,219498389,True,secondary,False,203.5,,太宁路,"LINESTRING (114.1351114 22.5703796, 114.1334328 22.5713526)",,2,
3066529096,3066530016,0,302394748,False,residential,False,9.205,,罗湖新泰街,"LINESTRING (114.1351114 22.5703796, 114.1350617 22.5703107)",,,
3066530016,3066529096,0,302394748,False,residential,True,9.205,,罗湖新泰街,"LINESTRING (114.1350617 22.5703107, 114.1351114 22.5703796)",,,
3924653943,3924653949,0,389312262,False,residential,False,45.596,,,"LINESTRING (114.1228945 22.5705992, 114.1230216 22.5702063)",,,
3924653943,6798161734,0,389312263,False,residential,False,19.38,,,"LINESTRING (114.1228945 22.5705992, 114.1230721 22.5706582)",,,
3924653943,3924653945,0,389312263,False,residential,True,63.121,,,"LINESTRING (114.1228945 22.5705992, 114.1223686 22.57045, 114.1223075 22.5704307)",,,
3924653945,6798209374,0,724860404,False,tertiary,False,5.151,,贝丽北路,"LINESTRING (114.1223075 22.5704307, 114.1223134 22.5703847)",,,
3924653945,2286486789,0,724860404,False,tertiary,True,138.823,,贝丽北路,"LINESTRING (114.1223075 22.5704307, 114.1221117 22.571666)",,,
3924653945,3924653943,0,389312263,False,residential,False,63.121,,,"LINESTRING (114.1223075 22.5704307, 114.1223686 22.57045, 114.1228945 22.5705992)",,,
3924653949,3924653943,0,389312262,False,residential,True,45.596,,,"LINESTRING (114.1230216 22.5702063, 114.1228945 22.5705992)",,,
3924653949,6798161734,0,389312265,False,residential,False,66.322,,,"LINESTRING (114.1230216 22.5702063, 114.1232034 22.5702541, 114.1230721 22.5706582)",,,
4472714124,4472714283,0,450353143,False,residential,True,131.783,,祝愿路,"LINESTRING (114.1373171 22.5779063, 114.1373761 22.5767224)",,,
4472714124,8549666515,0,450353143,False,residential,False,88.72800000000001,,祝愿路,"LINESTRING (114.1373171 22.5779063, 114.1373434 22.5781886, 114.1374988 22.5786828)",,,
