u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,access,bridge,maxspeed,tunnel
1783922878,1783922881,0,877893388,False,,residential,False,47.933,"LINESTRING (114.05842 22.5251719, 114.0588865 22.5251838)",,,,,
1783922878,8167985871,0,166998861,False,水围二街,tertiary,True,79.287,"LINESTRING (114.05842 22.5251719, 114.0583041 22.525698, 114.058292 22.5258738)",2,,,,
1783922881,1783922878,0,877893388,False,,residential,True,47.933,"LINESTRING (114.0588865 22.5251838, 114.05842 22.5251719)",,,,,
1982884413,2268995250,0,684241518,True,石厦‎北二街,residential,False,141.83499999999998,"LINESTRING (114.0484733 22.5290041, 114.0481707 22.5290005, 114.0481398 22.5290089, 114.0481178 22.5290237, 114.0481003 22.5290469, 114.0480935 22.5290786, 114.0480836 22.5299591)",1,,,,
1982884415,8167985613,0,97522107,False,皇岗公园街,tertiary,False,179.001,"LINESTRING (114.0541168 22.5242652, 114.0537588 22.5250727, 114.0537349 22.5251352, 114.0537152 22.5252014, 114.0536994 22.5252668, 114.0536902 22.525329, 114.0536864 22.5253912, 114.0536937 22.5257188, 114.0536948 22.5258013)",2,,,,
1982884415,8167985467,0,97522107,False,皇岗公园街,tertiary,True,240.42299999999994,"LINESTRING (114.0541168 22.5242652, 114.0541439 22.5241752, 114.0541601 22.5241144, 114.0541715 22.5240524, 114.0541779 22.5239954, 114.0541804 22.5239458, 114.0541789 22.5238981, 114.0541737 22.5238469, 114.054163 22.5237884, 114.054146 22.5237346, 114.0541224 22.5236791, 114.054093 22.5236178, 114.0538155 22.5230458, 114.0537851 22.5229761, 114.0537594 22.5229102, 114.0537376 22.5228503, 114.0537167 22.5227813, 114.0537066 22.5227389, 114.0536964 22.5226963, 114.0536834 22.5226374, 114.0536737 22.5225836, 114.0536633 22.5225154, 114.0536564 22.5224507, 114.0536549 22.5223878, 114.0536581 22.5223288, 114.053664 22.5222747, 114.0536762 22.5221992)",2,,,,
1982884415,8167985470,0,187659528,False,皇岗公园四街,tertiary,True,191.94299999999998,"LINESTRING (114.0541168 22.5242652, 114.0548754 22.5243032, 114.0559828 22.5243587)",2,,,,
2042400935,9222802794,0,40970722,True,新洲路,primary,False,158.308,"LINESTRING (114.0428103 22.5228165, 114.0420405 22.5215831)",,,,,
2042400935,2042407645,0,684241521,False,新洲六街,residential,True,188.07,"LINESTRING (114.0428103 22.5228165, 114.0415299 22.5234442, 114.0411903 22.5236047)",,,,,
2042407638,2042441665,0,135913046,False,新洲二街,residential,False,135.431,"LINESTRING (114.0415564 22.5249511, 114.0413397 22.5261525)",2,,,,
2042407638,3653137211,0,135913046,False,新洲二街,residential,True,19.667,"LINESTRING (114.0415564 22.5249511, 114.0415834 22.524776)",2,,,,
2042407645,498877620,0,135913046,False,新洲二街,residential,True,190.915,"LINESTRING (114.0411903 22.5236047, 114.0403131 22.522091)",2,,,,
2042407645,3653137211,0,135913046,False,新洲二街,residential,False,138.929,"LINESTRING (114.0411903 22.5236047, 114.0413752 22.5239755, 114.0415679 22.5243947, 114.0416009 22.5245371, 114.0416009 22.5246693, 114.0415834 22.524776)",2,,,,
2042407645,2042400935,0,684241521,False,新洲六街,residential,False,188.07,"LINESTRING (114.0411903 22.5236047, 114.0415299 22.5234442, 114.0428103 22.5228165)",,,,,
2042407651,2042407660,0,1051282783,True,福强路,primary,False,13.281,"LINESTRING (114.0417641 22.52115, 114.0418752 22.5210889)",3,,,,
2042407651,9222802797,0,1052240249,True,新洲路,secondary,False,64.646,"LINESTRING (114.0417641 22.52115, 114.0416673 22.5209876, 114.0414527 22.5206448)",,,,,
2042407660,499287730,0,1052240247,True,新洲路,primary,False,12.912,"LINESTRING (114.0418752 22.5210889, 114.0419376 22.5211897)",,,,,
2042407660,6020564487,0,"[974372186, 1050532708]",True,福强路,primary,False,56.594,"LINESTRING (114.0418752 22.5210889, 114.0419863 22.5210277, 114.0420558 22.5209894, 114.042351 22.5208323)",3,,yes,,
