u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name
8099316487,8099316512,0,868936124,True,,secondary,False,66.839,"LINESTRING (114.0584983 22.5727521, 114.0584867 22.5733531)",凯丰路
8099316487,8099316442,0,868936132,False,,residential,True,8.159,"LINESTRING (114.0584983 22.5727521, 114.0584203 22.5727381)",
8099316487,8099316486,0,868936132,False,,residential,False,105.715,"LINESTRING (114.0584983 22.5727521, 114.0585504 22.5727614, 114.0586002 22.5727689, 114.0586398 22.5727718, 114.0595261 22.5727802)",
8099316491,8105505228,0,996597659,True,2,tertiary,False,8.48,"LINESTRING (114.0583908 22.5740874, 114.0584718 22.5740725)",梅东二路
8099316491,5192417574,0,535832116,False,2,residential,False,92.80199999999999,"LINESTRING (114.0583908 22.5740874, 114.0583001 22.5740862, 114.0582558 22.5740857, 114.0574871 22.5740733)",八一路
8099316491,8099316514,0,996247178,True,,secondary,False,81.89099999999999,"LINESTRING (114.0583908 22.5740874, 114.0583962 22.5738567, 114.0583971 22.5738177, 114.0584072 22.5733511)",凯丰路
8099316494,8099316491,0,996247170,True,,secondary,False,16.287,"LINESTRING (114.0584619 22.574215, 114.0584231 22.5741721, 114.0583999 22.5741291, 114.0583908 22.5740874)",凯丰路
8099316494,8099316507,0,996247184,False,,secondary,True,49.346999999999994,"LINESTRING (114.0584619 22.574215, 114.0584616 22.5742393, 114.0584614 22.5742636, 114.0584523 22.5746587)",凯丰路
8099316507,8099212791,0,868936133,False,,secondary,True,84.605,"LINESTRING (114.0584523 22.5746587, 114.058435 22.5754194)",凯丰路
8099316507,9199405623,0,868936134,False,,secondary,True,147.775,"LINESTRING (114.0584523 22.5746587, 114.0584799 22.5746796, 114.0584967 22.5747003, 114.0585136 22.5747346, 114.0585241 22.5747798, 114.0585252 22.5748462, 114.0585121 22.575333, 114.0585203 22.5754044, 114.0585452 22.5754701, 114.0585986 22.575534, 114.0586485 22.575588, 114.0586699 22.5756581, 114.0586647 22.575925)",凯丰路
8099316507,8099316494,0,996247184,False,,secondary,False,49.346999999999994,"LINESTRING (114.0584523 22.5746587, 114.0584614 22.5742636, 114.0584616 22.5742393, 114.0584619 22.574215)",凯丰路
8099316512,8105505228,0,868936124,True,,secondary,False,80.008,"LINESTRING (114.0584867 22.5733531, 114.0584777 22.5738192, 114.0584768 22.5738601, 114.0584718 22.5740725)",凯丰路
8099316514,8099316512,0,535832112,True,2,residential,False,8.166,"LINESTRING (114.0584072 22.5733511, 114.0584867 22.5733531)",林康路
8099316514,8099316442,0,996247178,True,,secondary,False,68.176,"LINESTRING (114.0584072 22.5733511, 114.0584203 22.5727381)",凯丰路
8105505222,8099316491,0,996247177,True,2,tertiary,False,8.856,"LINESTRING (114.0584707 22.5741174, 114.0583908 22.5740874)",梅东二路
8105505222,8099316494,0,996597658,True,,secondary,False,10.91,"LINESTRING (114.0584707 22.5741174, 114.0584696 22.5741649, 114.0584619 22.574215)",凯丰路
8105505228,8105505222,0,996597658,True,,secondary,False,4.994,"LINESTRING (114.0584718 22.5740725, 114.0584707 22.5741174)",凯丰路
9053077250,9053077337,0,432550533,False,,residential,True,7.29,"LINESTRING (114.0486096 22.5703719, 114.0486806 22.5703723)",
9053077304,9053077316,0,783463639,True,1,secondary_link,False,35.717,"LINESTRING (114.0484197 22.5713853, 114.0484128 22.5713485, 114.0484031 22.5713231, 114.0483809 22.5712913, 114.0483613 22.5712723, 114.0483501 22.5712614, 114.0483104 22.5712335, 114.0482691 22.5712153, 114.0482206 22.5712061, 114.0481733 22.5712032)",
9053077304,9053077313,0,996247154,True,2,tertiary,False,24.167,"LINESTRING (114.0484197 22.5713853, 114.0484347 22.5712843, 114.0484427 22.5712453, 114.0484578 22.5711709)",梅村路
9053077312,9053077313,0,867935335,True,2,secondary,False,7.86,"LINESTRING (114.0485332 22.5711587, 114.0484578 22.5711709)",梅林路
9053077312,9053077320,0,1052240241,True,2,tertiary,False,26.874,"LINESTRING (114.0485332 22.5711587, 114.0485177 22.5712336, 114.0485104 22.571269, 114.0484906 22.5713971)",梅村路
9053077313,9053077321,0,996247154,True,2,tertiary,False,8.348,"LINESTRING (114.0484578 22.5711709, 114.0484727 22.5710971)",梅村路
9053077313,9053077316,0,867935335,True,2,secondary,False,29.442999999999998,"LINESTRING (114.0484578 22.5711709, 114.0483887 22.5711815, 114.0483358 22.5711883, 114.0481733 22.5712032)",梅林路
9053077316,8090185701,0,867935335,True,2,secondary,False,624.5460000000002,"LINESTRING (114.0481733 22.5712032, 114.0476002 22.571256, 114.0475046 22.5712621, 114.047409 22.5712657, 114.0472456 22.5712672, 114.0471472 22.571271, 114.0470379 22.5712782, 114.0463322 22.571357, 114.0461925 22.5713701, 114.0460528 22.5713776, 114.0459245 22.5713809, 114.0457892 22.5713784, 114.0456803 22.571373, 114.0455758 22.5713643, 114.0454736 22.5713485, 114.0453838 22.5713309, 114.0452689 22.5713059, 114.0451944 22.5712859, 114.0451286 22.5712663, 114.0450302 22.5712326, 114.0449312 22.5711945, 114.0448284 22.5711508, 114.0447223 22.5711029, 114.0446406 22.571064, 114.0440833 22.570781, 114.0439983 22.5707403, 114.0439189 22.5707053, 114.0438339 22.5706723, 114.0437452 22.5706434, 114.0436614 22.5706205, 114.0435486 22.5705969, 114.0434372 22.5705769, 114.04333 22.5705648, 114.0432111 22.5705586, 114.0430855 22.5705576, 114.0424587 22.5705648, 114.0424156 22.5705644, 114.0422816 22.5705632)",梅林路
9053077320,9053077341,0,996247155,True,2,tertiary,False,96.74,"LINESTRING (114.0484906 22.5713971, 114.0483577 22.5722584)",梅村路
9053077321,7317055370,0,996247166,True,3,secondary,False,7.68,"LINESTRING (114.0484727 22.5710971, 114.0485472 22.571091)",梅林路
9053077321,9053077336,0,1052240243,True,2,tertiary,False,29.758,"LINESTRING (114.0484727 22.5710971, 114.0484894 22.5710152, 114.0484989 22.5709684, 114.0485239 22.5708337)",梅村路
9053077332,7317055370,0,228225912,True,2,tertiary,False,34.369,"LINESTRING (114.0486058 22.5707867, 114.0485763 22.5709497, 114.0485637 22.5710109, 114.0485472 22.571091)",梅村路
9053077332,8099204894,0,783463648,True,1,secondary_link,False,42.797,"LINESTRING (114.0486058 22.5707867, 114.0486082 22.5708296, 114.0486157 22.5708697, 114.0486277 22.5709097, 114.0486461 22.5709479, 114.0486695 22.5709803, 114.0487158 22.5710318, 114.0488277 22.5710751)",
9053077336,9053077250,0,119460300,True,2,tertiary,False,52.098,"LINESTRING (114.0485239 22.5708337, 114.0486096 22.5703719)",梅村路
9053077337,9053077332,0,228225912,True,2,tertiary,False,46.715,"LINESTRING (114.0486806 22.5703723, 114.0486058 22.5707867)",梅村路
9053077337,9053077250,0,432550533,False,,residential,False,7.29,"LINESTRING (114.0486806 22.5703723, 114.0486096 22.5703719)",
9053077337,4315573161,0,432550533,False,,residential,True,81.716,"LINESTRING (114.0486806 22.5703723, 114.0493693 22.5703763, 114.0494071 22.5704084, 114.0494071 22.5704599)",
9053077341,7311273906,0,782915633,False,,tertiary,True,6.703,"LINESTRING (114.0483577 22.5722584, 114.0482927 22.5722528)",环林街
9053077341,2311680467,0,782915633,False,,tertiary,False,426.01700000000005,"LINESTRING (114.0483577 22.5722584, 114.0484302 22.5722647, 114.0488265 22.572293, 114.0490595 22.5723095, 114.0491626 22.5723168, 114.0502515 22.5723845, 114.0519565 22.5724905, 114.0523209 22.5724359, 114.0523984 22.5723994, 114.0524658 22.5723511)",环林街
9053077341,1342323016,0,996247155,True,2,tertiary,False,28.055000000000003,"LINESTRING (114.0483577 22.5722584, 114.0483438 22.5723486, 114.0483337 22.5723841, 114.0483122 22.5724297, 114.0482875 22.5724666, 114.0482636 22.5724889)",梅村路
9199405623,8099316507,0,868936134,False,,secondary,False,147.77499999999998,"LINESTRING (114.0586647 22.575925, 114.0586699 22.5756581, 114.0586485 22.575588, 114.0585986 22.575534, 114.0585452 22.5754701, 114.0585203 22.5754044, 114.0585121 22.575333, 114.0585252 22.5748462, 114.0585241 22.5747798, 114.0585136 22.5747346, 114.0584967 22.5747003, 114.0584799 22.5746796, 114.0584523 22.5746587)",凯丰路
9199405623,2311661728,0,996247169,False,2,tertiary,False,294.647,"LINESTRING (114.0586647 22.575925, 114.0579984 22.5759547, 114.0578077 22.5759879, 114.0569524 22.5762321, 114.0559492 22.5766779)",梅坳八路
9199405623,2311661612,0,996247183,False,2,tertiary,True,158.74999999999997,"LINESTRING (114.0586647 22.575925, 114.0588085 22.575925, 114.0589318 22.57593, 114.0590684 22.575983, 114.059181 22.5760424, 114.0596531 22.5764585, 114.059755 22.5765377, 114.059876 22.5765987, 114.0599404 22.5766383)",梅坳八路
