u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,access,bridge
2091821669,4493600690,0,1050682021,False,八卦路,tertiary,,True,134.611,,"LINESTRING (114.0946146 22.5598142, 114.0946588 22.5586043)",,
2885151922,2885151939,0,393911183,True,八卦一路,tertiary,,False,236.914,2,"LINESTRING (114.0969224 22.5598541, 114.0992295 22.5598696)",,
2885151926,4493600691,0,96946522,False,园岭六街,residential,,True,49.189,2,"LINESTRING (114.0969884 22.5571153, 114.0974674 22.557119)",,
2885151926,7205081112,0,96946522,False,园岭六街,residential,,False,457.174,2,"LINESTRING (114.0969884 22.5571153, 114.0969497 22.5571148, 114.096555 22.5571116, 114.096098 22.5571081, 114.0959216 22.5571067, 114.0956433 22.5571043, 114.0954892 22.557103, 114.0947531 22.557098, 114.0945676 22.5570955, 114.0935379 22.5570871, 114.0934747 22.5570866, 114.0930904 22.5570836, 114.093029 22.5570802, 114.0929684 22.55707, 114.0929099 22.5570525, 114.0928543 22.5570281, 114.0928027 22.5569971, 114.092756 22.5569601, 114.0927149 22.5569177, 114.0926803 22.5568708, 114.0926526 22.55682)",,
2885151926,2885151959,0,96946621,False,园岭东路,tertiary,,False,65.80600000000001,2,"LINESTRING (114.0969884 22.5571153, 114.096989 22.5569771, 114.0969897 22.5567985, 114.0969908 22.5565235)",,
2885151935,2885151970,0,284811743,True,,primary_link,,False,65.035,,"LINESTRING (114.0946612 22.558324, 114.0947984 22.558332, 114.0949874 22.5583611, 114.0952852 22.5584186)",,
2885151935,2885151953,0,"[284811729, 284811746, 96946653]",False,园岭中路,tertiary,,True,299.953,,"LINESTRING (114.0946612 22.558324, 114.0946649 22.5579904, 114.0946733 22.5571926, 114.0946745 22.5570273, 114.094675 22.5569506, 114.0946786 22.5566126, 114.0946831 22.5561921, 114.0946854 22.5559741, 114.0946882 22.5557366, 114.0946892 22.5556266)",,yes
2885151939,2885180140,0,881943263,True,红岭路,primary,,False,86.785,4,"LINESTRING (114.0992295 22.5598696, 114.0992472 22.5590893)",,
2885151947,2885151935,0,284811743,True,,primary_link,,False,86.226,,"LINESTRING (114.0938287 22.5583988, 114.094065 22.5583499, 114.0942227 22.5583322, 114.0944283 22.5583245, 114.0946612 22.558324)",,
2885151947,2885151970,0,996647553,True,笋岗西路,primary,60,False,149.58,,"LINESTRING (114.0938287 22.5583988, 114.0946472 22.5584095, 114.0952852 22.5584186)",,
2885151948,4493600690,0,284811739,True,,primary_link,,False,64.513,,"LINESTRING (114.0952799 22.5585304, 114.0949138 22.5585921, 114.0948051 22.5586063, 114.0946588 22.5586043)",,
2885151948,2885153108,0,996647555,True,笋岗西路,primary,,False,146.82999999999998,,"LINESTRING (114.0952799 22.5585304, 114.0946504 22.5585187, 114.0938502 22.5585108)",,
2885151952,2885153103,0,996647555,True,笋岗西路,primary,,False,97.782,,"LINESTRING (114.0926217 22.5584987, 114.0916695 22.5584919)",,
2885151952,9555650129,0,"[284811733, 927162333]",False,,residential,,True,147.3,,"LINESTRING (114.0926217 22.5584987, 114.0926217 22.5586135, 114.0926217 22.5586513, 114.0926217 22.5587283, 114.0926217 22.5598234)",no,
2885151953,2885151999,0,96946653,False,园岭中路,tertiary,,True,63.629,,"LINESTRING (114.0946892 22.5556266, 114.0946953 22.5550544)",,
2885151953,1123464436,0,958581839,False,园岭五街,residential,,True,76.75,,"LINESTRING (114.0946892 22.5556266, 114.0939418 22.5556265)",,
2885151953,2885151935,0,"[284811729, 284811746, 96946653]",False,园岭中路,tertiary,,False,299.953,,"LINESTRING (114.0946892 22.5556266, 114.0946882 22.5557366, 114.0946854 22.5559741, 114.0946831 22.5561921, 114.0946786 22.5566126, 114.094675 22.5569506, 114.0946745 22.5570273, 114.0946733 22.5571926, 114.0946649 22.5579904, 114.0946612 22.558324)",,yes
2885151954,7461143538,0,1049508299,True,笋岗西路,primary,,False,96.72800000000001,,"LINESTRING (114.0901087 22.5584728, 114.0896627 22.5584962, 114.0891789 22.558594)",,
2885151955,7205080899,0,96945650,True,园岭西路,residential,,False,149.987,2,"LINESTRING (114.0917363 22.5583776, 114.0917534 22.5573783, 114.0917594 22.5570289)",,
2885151955,2885151947,0,996647553,True,笋岗西路,primary,60,False,214.87699999999998,,"LINESTRING (114.0917363 22.5583776, 114.0935192 22.5583957, 114.0938287 22.5583988)",,
2885151959,1123454279,0,96946454,False,园岭七街,residential,,False,49.716,,"LINESTRING (114.0969908 22.5565235, 114.0970564 22.5565243, 114.0974749 22.5565291)",,
2885151959,1123464433,0,96946621,False,园岭东路,tertiary,,False,95.995,2,"LINESTRING (114.0969908 22.5565235, 114.0969913 22.5564136, 114.0969938 22.5558098, 114.0969944 22.5556602)",,
2885151959,2885151926,0,96946621,False,园岭东路,tertiary,,True,65.806,2,"LINESTRING (114.0969908 22.5565235, 114.0969897 22.5567985, 114.096989 22.5569771, 114.0969884 22.5571153)",,
2885151961,7174533105,0,96946621,False,园岭东路,tertiary,,False,54.386,2,"LINESTRING (114.0969968 22.5550801, 114.0969988 22.554591)",,
2885151961,1123464433,0,96946621,False,园岭东路,tertiary,,True,64.505,2,"LINESTRING (114.0969968 22.5550801, 114.0969963 22.5552011, 114.0969944 22.5556602)",,
2885151961,8201901219,0,259359564,True,园岭八街,tertiary,,False,232.183,,"LINESTRING (114.0969968 22.5550801, 114.0976927 22.555088, 114.098509 22.5550968, 114.0992577 22.5551012)",,
2885151970,2885153126,0,996647553,True,笋岗西路,primary,60,False,222.377,,"LINESTRING (114.0952852 22.5584186, 114.0967588 22.5584426, 114.0974505 22.5584495)",,
2885151999,2885151953,0,96946653,False,园岭中路,tertiary,,False,63.629,,"LINESTRING (114.0946953 22.5550544, 114.0946892 22.5556266)",,
2885151999,2885153121,0,96946653,False,园岭中路,tertiary,,True,100.804,,"LINESTRING (114.0946953 22.5550544, 114.094699 22.5547116, 114.094705 22.5541479)",,
2885151999,7180438580,0,259359564,True,园岭八街,tertiary,,False,80.884,,"LINESTRING (114.0946953 22.5550544, 114.095393 22.5550622, 114.0954829 22.5550632)",,
2885153103,8602557883,0,1049508299,True,笋岗西路,primary,,False,20.066,,"LINESTRING (114.0916695 22.5584919, 114.0914741 22.5584905)",,
2885153103,9557025614,0,284811735,True,,primary_link,,False,105.71900000000001,,"LINESTRING (114.0916695 22.5584919, 114.0912254 22.5585923, 114.091115 22.5586366, 114.0910055 22.5587053, 114.0909042 22.5587955, 114.0907882 22.5589212)",,
2885153108,2885151952,0,996647555,True,笋岗西路,primary,,False,126.159,,"LINESTRING (114.0938502 22.5585108, 114.0926217 22.5584987)",,
2885153112,278217284,0,771790236,True,上步中路,primary,40,False,165.426,2,"LINESTRING (114.0909228 22.5577765, 114.0909169 22.5562888)",,
2885153121,1123433895,0,96945487,False,园岭四街,residential,,False,164.79399999999998,2,"LINESTRING (114.094705 22.5541479, 114.0939127 22.5541418, 114.0936211 22.5541395, 114.0931003 22.5541355)",,
2885153121,1123433068,0,96945487,False,园岭四街,residential,,True,136.49099999999999,2,"LINESTRING (114.094705 22.5541479, 114.0950889 22.5541509, 114.095415 22.5541534, 114.0957586 22.5541561, 114.0960341 22.5541582)",,
2885153121,2885151999,0,96946653,False,园岭中路,tertiary,,False,100.804,,"LINESTRING (114.094705 22.5541479, 114.094699 22.5547116, 114.0946953 22.5550544)",,
2885153126,4493600691,0,96946455,False,园岭东路,tertiary,,True,147.95499999999998,,"LINESTRING (114.0974505 22.5584495, 114.0974544 22.5581449, 114.0974622 22.5575295, 114.0974634 22.5574657, 114.0974667 22.5571736, 114.0974674 22.557119)",,
2885153126,2885180242,0,996647553,True,笋岗西路,primary,60,False,136.601,,"LINESTRING (114.0974505 22.5584495, 114.0977965 22.5584544, 114.0985442 22.5584651, 114.0987806 22.5584685)",,
2885180140,2885180304,0,284814226,True,,primary_link,,False,81.088,,"LINESTRING (114.0992472 22.5590893, 114.0991651 22.558857, 114.0990661 22.5587589, 114.0989585 22.5586911, 114.0987319 22.5585945)",,
2885180140,564275581,0,881943263,True,红岭路,primary,,False,54.006,4,"LINESTRING (114.0992472 22.5590893, 114.0992374 22.5588105, 114.0992292 22.5586039)",,
2885180152,2885180295,0,284814239,True,,primary_link,,False,81.98899999999999,,"LINESTRING (114.0999442 22.5586148, 114.0996733 22.5587153, 114.0995755 22.5587803, 114.0994989 22.5588664, 114.0993887 22.5590893)",,
