u,v,key,osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge
8324496448,8324496457,0,895545992,True,secondary_link,False,30.62,"LINESTRING (114.0618438 22.5710358, 114.0618179 22.5710536, 114.0617904 22.571065, 114.0617577 22.5710765, 114.0617205 22.5710814, 114.0616851 22.5710797, 114.0616542 22.5710724, 114.061625 22.5710569, 114.0615993 22.5710373, 114.0615818 22.5710161)",,,
8324496448,8099204878,0,1055004291,True,secondary,False,22.311999999999998,"LINESTRING (114.0618438 22.5710358, 114.0618323 22.5710865, 114.0618202 22.5711462, 114.0618026 22.5712328)",彩田路辅路,,
8105505346,8105505347,0,362117116,True,secondary_link,False,6.397,"LINESTRING (114.060586 22.5744781, 114.0605988 22.5744218)",,,
8105505347,1722057351,0,362117116,True,secondary_link,False,142.382,"LINESTRING (114.0605988 22.5744218, 114.0606081 22.5743809, 114.0606154 22.5743486, 114.0607466 22.5737733, 114.0607754 22.573685, 114.0608089 22.5736176, 114.0608688 22.573534, 114.0609898 22.5733999, 114.0610422 22.5733382, 114.0610898 22.5732504)",,,
8105505347,8105505322,0,869955071,True,tertiary,False,87.13900000000001,"LINESTRING (114.0605988 22.5744218, 114.061255 22.5745348, 114.0614331 22.5745655)",梅东二路,2,
8324496457,6043430725,0,1049968042,True,secondary,False,23.498,"LINESTRING (114.0615818 22.5710161, 114.0616319 22.5708099)",彩田路辅路,,
8324496458,8324496459,0,895545994,True,secondary_link,False,7.175,"LINESTRING (114.0623692 22.5712281, 114.0623712 22.5711636)",,1,
8324496458,6043430743,0,"[996247173, 641794238]",True,"['secondary_link', 'secondary']",False,74.644,"LINESTRING (114.0623692 22.5712281, 114.0620625 22.5712263, 114.0619672 22.5712423, 114.061895 22.5712733, 114.061836 22.5713193, 114.061791 22.5713807, 114.0617575 22.5714541)",梅林路,,
8324496459,2889086253,0,868936129,True,secondary,False,157.563,"LINESTRING (114.0623712 22.5711636, 114.0637871 22.5711729, 114.0639057 22.5711737)",梅林路,,
8099316435,8099204898,0,285224627,False,tertiary,True,6.95,"LINESTRING (114.0655224 22.5712468, 114.0655231 22.5711843)",梅东一路,,
8099316435,8624023667,0,285224627,False,tertiary,False,314.242,"LINESTRING (114.0655224 22.5712468, 114.065521 22.5713807, 114.065497 22.572541, 114.0654322 22.5726188, 114.0639144 22.572561, 114.0638811 22.5725603)",梅东一路,,
8099316435,8624023669,0,868936128,True,secondary,False,166.126,"LINESTRING (114.0655224 22.5712468, 114.0654285 22.5712462, 114.0640859 22.5712383, 114.0640419 22.571238, 114.0639045 22.5712373)",梅林路,,
6043430741,8099204879,0,1049968042,True,secondary,False,47.483999999999995,"LINESTRING (114.0614463 22.5715748, 114.0615096 22.5713139, 114.0615173 22.5712824, 114.0615474 22.5711581)",彩田路辅路,,
8099316437,8099204897,0,285295927,False,tertiary,True,6.874,"LINESTRING (114.0664249 22.5712521, 114.0664266 22.5711903)",梅东三路,,
8099316437,8624023677,0,285295927,False,tertiary,False,392.34800000000007,"LINESTRING (114.0664249 22.5712521, 114.0664215 22.5713791, 114.0664154 22.5721529, 114.0664025 22.5723757, 114.0663725 22.5725889, 114.0663269 22.5728093, 114.0662705 22.5730322, 114.0662008 22.5732898, 114.0661069 22.5735399, 114.0660273 22.5737224, 114.0659404 22.5739065, 114.0658696 22.5740431, 114.0657771 22.5742049, 114.0657079 22.574317, 114.0656261 22.5744387, 114.065504 22.574606)",梅东三路,,
8099316437,8099316435,0,868936128,True,secondary,False,92.669,"LINESTRING (114.0664249 22.5712521, 114.0663134 22.5712514, 114.0656603 22.5712476, 114.0655224 22.5712468)",梅林路,,
6043430743,2889086236,0,285224624,True,secondary,False,120.221,"LINESTRING (114.0617575 22.5714541, 114.061519 22.5725126)",彩田路辅路,,
2787087445,875924182,0,1059172733,True,trunk,False,436.40600000000006,"LINESTRING (114.066691 22.5750824, 114.0669212 22.5746038, 114.0670541 22.5743106, 114.0671625 22.573999, 114.0672449 22.5736902, 114.0673304 22.5732164, 114.0673701 22.5728485, 114.0673918 22.5724773, 114.0674347 22.5712619)",皇岗路,,
875924182,2889086261,0,74033690,True,trunk,False,9.959,"LINESTRING (114.0674347 22.5712619, 114.0673999 22.5711783)",皇岗路,,
875924182,8099316437,0,868936128,True,secondary,False,103.69399999999999,"LINESTRING (114.0674347 22.5712619, 114.067236 22.5712569, 114.0665317 22.5712527, 114.0664249 22.5712521)",梅林路,,
8105505258,3664891197,0,641035028,True,primary_link,False,70.38199999999999,"LINESTRING (114.0618921 22.5746753, 114.0617909 22.5746934, 114.0617126 22.5747131, 114.0616498 22.5747337, 114.061578 22.5747626, 114.0615216 22.5747911, 114.0614869 22.5748106, 114.0613581 22.5748919, 114.0612848 22.5749482)",,,
8105505258,8105505323,0,996597677,True,tertiary,False,49.041,"LINESTRING (114.0618921 22.5746753, 114.0618314 22.5746764, 114.0617783 22.5746742, 114.0617275 22.5746699, 114.0616703 22.5746629, 114.0616154 22.5746548, 114.0615409 22.5746421, 114.0614843 22.5746325, 114.0614193 22.5746212)",梅东二路,2,
6043430762,8324496448,0,1055004291,True,secondary,False,32.595,"LINESTRING (114.0619089 22.5707489, 114.0618438 22.5710358)",彩田路辅路,,
6043430762,8324496459,0,"[641794241, 1039311782]",True,"['secondary_link', 'secondary']",False,83.596,"LINESTRING (114.0619089 22.5707489, 114.0619046 22.570834, 114.0619049 22.5709103, 114.0619099 22.5709643, 114.0619197 22.5710036, 114.0619321 22.5710394, 114.0619516 22.5710738, 114.0619721 22.571098, 114.0619958 22.5711202, 114.0620155 22.5711352, 114.0620528 22.5711531, 114.0620896 22.5711617, 114.0623712 22.5711636)",梅林路,,
1722057336,8624023677,0,285295927,False,tertiary,True,6.433,"LINESTRING (114.065466 22.574652, 114.065504 22.574606)",梅东三路,,
1722057336,8105505334,0,869955072,True,tertiary,False,189.136,"LINESTRING (114.065466 22.574652, 114.0653021 22.574553, 114.0652582 22.5745265, 114.0643729 22.573992, 114.0643072 22.5739623, 114.0642348 22.573935, 114.064153 22.573909, 114.0640712 22.5738929, 114.0639827 22.5738843, 114.0639183 22.5738806, 114.0638573 22.5738811)",梅东二路,2,
504650862,504650872,0,377732301,True,trunk,False,324.963,"LINESTRING (114.0640193 22.5772947, 114.0644027 22.5771248, 114.0647735 22.5769452, 114.0650827 22.5767836, 114.0653104 22.5766468, 114.0654901 22.5765255, 114.0656974 22.5763564, 114.0658638 22.5761989, 114.066108 22.5759356, 114.0662786 22.5757205, 114.0664469 22.5754997)",皇岗路,,
8624023667,2889086236,0,285224627,False,tertiary,False,242.591,"LINESTRING (114.0638811 22.5725603, 114.061519 22.5725126)",梅东一路,,
8624023667,8099316435,0,285224627,False,tertiary,True,314.24199999999996,"LINESTRING (114.0638811 22.5725603, 114.0639144 22.572561, 114.0654322 22.5726188, 114.065497 22.572541, 114.065521 22.5713807, 114.0655224 22.5712468)",梅东一路,,
8624023667,8624023669,0,285224628,False,tertiary,False,147.13,"LINESTRING (114.0638811 22.5725603, 114.0639029 22.5713262, 114.0639039 22.5712697, 114.0639045 22.5712373)",梅东五路,,
8624023667,8624023668,0,285224628,False,tertiary,True,138.423,"LINESTRING (114.0638811 22.5725603, 114.0638619 22.5736399, 114.0638609 22.5736928, 114.0638588 22.573805)",梅东五路,,
8624023668,8105505334,0,996247172,False,tertiary,True,8.463,"LINESTRING (114.0638588 22.573805, 114.0638573 22.5738811)",梅东五路,,
8624023668,8624023667,0,285224628,False,tertiary,False,138.423,"LINESTRING (114.0638588 22.573805, 114.0638609 22.5736928, 114.0638619 22.5736399, 114.0638811 22.5725603)",梅东五路,,
8624023668,8624023677,0,996247171,True,tertiary,False,193.86899999999997,"LINESTRING (114.0638588 22.573805, 114.0639466 22.573804, 114.0640116 22.5738094, 114.0640919 22.5738234, 114.0641641 22.5738413, 114.0642179 22.5738582, 114.0642779 22.5738807, 114.0643308 22.5739032, 114.0643785 22.5739257, 114.0644253 22.573952, 114.0653042 22.5744849, 114.0653378 22.5745052, 114.065504 22.574606)",梅东二路,2,
8624023669,2889086253,0,996247174,False,tertiary,False,7.073,"LINESTRING (114.0639045 22.5712373, 114.0639057 22.5711737)",梅东五路,,
8624023669,8624023667,0,285224628,False,tertiary,True,147.13,"LINESTRING (114.0639045 22.5712373, 114.0639039 22.5712697, 114.0639029 22.5713262, 114.0638811 22.5725603)",梅东五路,,
8624023669,8324496458,0,996247173,True,secondary,False,157.644,"LINESTRING (114.0639045 22.5712373, 114.0637127 22.5712361, 114.0632947 22.5712336, 114.0629935 22.5712318, 114.0626533 22.5712298, 114.0623692 22.5712281)",梅林路,,
504650872,1722057336,0,"[869955072, 273908665]",True,"['tertiary_link', 'tertiary']",False,146.37199999999999,"LINESTRING (114.0664469 22.5754997, 114.0664577 22.5754385, 114.0664564 22.5753877, 114.066445 22.5753363, 114.066428 22.5752915, 114.0664066 22.5752538, 114.0663778 22.5752162, 114.0663471 22.575184, 114.065664 22.5747715, 114.0656192 22.5747445, 114.065466 22.574652)",梅东二路,2,
504650872,2787087445,0,1059172733,True,trunk,False,52.873999999999995,"LINESTRING (114.0664469 22.5754997, 114.0665944 22.5752833, 114.066691 22.5750824)",皇岗路,,
8624023677,1722057336,0,285295927,False,tertiary,False,6.433,"LINESTRING (114.065504 22.574606, 114.065466 22.574652)",梅东三路,,
8624023677,8099316437,0,285295927,False,tertiary,True,392.34799999999996,"LINESTRING (114.065504 22.574606, 114.0656261 22.5744387, 114.0657079 22.574317, 114.0657771 22.5742049, 114.0658696 22.5740431, 114.0659404 22.5739065, 114.0660273 22.5737224, 114.0661069 22.5735399, 114.0662008 22.5732898, 114.0662705 22.5730322, 114.0663269 22.5728093, 114.0663725 22.5725889, 114.0664025 22.5723757, 114.0664154 22.5721529, 114.0664215 22.5713791, 114.0664249 22.5712521)",梅东三路,,
8624023677,2787087445,0,"[273908664, 996247171]",True,"['tertiary_link', 'tertiary']",False,142.85600000000002,"LINESTRING (114.065504 22.574606, 114.0656508 22.574695, 114.0656882 22.5747177, 114.0663808 22.5751376, 114.0664099 22.5751479, 114.0664444 22.5751582, 114.0664894 22.575164, 114.0665531 22.5751591, 114.0666027 22.5751461, 114.066651 22.5751238, 114.066691 22.5750824)",梅东二路,2,
