u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,maxspeed
2550463148,2550463263,1,248219675,False,,residential,True,168.52700000000004,"LINESTRING (113.9866377 22.5641832, 113.9866109 22.5642551, 113.9866035 22.5643138, 113.986641 22.564445, 113.9866759 22.564502, 113.9867108 22.5645367, 113.9867591 22.564554, 113.986812 22.5645473, 113.9873136 22.5643566, 113.9873706 22.5643187, 113.9874075 22.5642873, 113.9874296 22.5642271, 113.9874296 22.5641726, 113.9873702 22.5640019, 113.9873202 22.5639686, 113.9872472 22.5639571)",,,
2550463148,3663282460,0,248219675,False,,residential,True,23.270000000000003,"LINESTRING (113.9866377 22.5641832, 113.9865566 22.5642168, 113.9864309 22.5642688)",,,
2550463188,2367037750,0,248219660,False,,tertiary,False,176.615,"LINESTRING (113.9853957 22.5617682, 113.984972 22.560614, 113.9849432 22.5605216, 113.9849147 22.5602494)",,,
2550463188,2550463233,0,248219668,True,,tertiary,False,118.471,"LINESTRING (113.9853957 22.5617682, 113.9854796 22.5618963, 113.9858223 22.5627556)",,,
2550463188,2550463315,0,248219674,False,,residential,False,214.95499999999998,"LINESTRING (113.9853957 22.5617682, 113.9871732 22.5610579, 113.9871333 22.5609181)",,,
2550463192,3663282460,0,248219667,True,,tertiary,False,120.628,"LINESTRING (113.9860191 22.5632528, 113.9864309 22.5642688)",,,
2550463192,2550463042,0,248219663,True,,tertiary,False,8.563,"LINESTRING (113.9860191 22.5632528, 113.9859902 22.5632887, 113.9859584 22.5633021)",,,
2550463194,2550463202,0,248219671,False,,unclassified,False,41.658,"LINESTRING (113.9873006 22.5675208, 113.9873141 22.5673723, 113.9873378 22.5672329, 113.9873389 22.5671484)",,,
2550463202,2550463018,0,"[733782575, 248219671]",False,,unclassified,False,537.28,"LINESTRING (113.9873389 22.5671484, 113.9873117 22.5670734, 113.9872455 22.5669558, 113.9870784 22.5665712, 113.9870623 22.5664503, 113.9869671 22.566284, 113.9868842 22.5661723, 113.9866977 22.5659461, 113.9865362 22.5657795, 113.9863375 22.5656158, 113.985475 22.5650046, 113.9847398 22.5645336, 113.9842426 22.5642129, 113.9839589 22.5639991, 113.9837444 22.5638037)",,,
2550463202,2550463194,0,248219671,False,,unclassified,True,41.658,"LINESTRING (113.9873389 22.5671484, 113.9873378 22.5672329, 113.9873141 22.5673723, 113.9873006 22.5675208)",,,
2550463202,1116448489,0,248219673,True,,unclassified,False,85.594,"LINESTRING (113.9873389 22.5671484, 113.9873444 22.5670561, 113.9873357 22.5669405, 113.9872935 22.5667103, 113.9872625 22.5665688, 113.9872325 22.5663873)",,,
2550463204,2550463192,0,248219663,True,,tertiary,False,14.43,"LINESTRING (113.9859757 22.5631405, 113.9860069 22.5631654, 113.9860223 22.5631936, 113.9860262 22.5632213, 113.9860191 22.5632528)",,,
2550463213,2550463315,0,248219670,False,,residential,True,82.729,"LINESTRING (113.986397 22.5612201, 113.9871333 22.5609181)",,,
2550463221,2550463233,0,248219654,False,,residential,False,8.81,"LINESTRING (113.9857444 22.5627888, 113.9858223 22.5627556)",,,
2550463221,2550463188,0,248219672,True,,tertiary,False,119.90899999999999,"LINESTRING (113.9857444 22.5627888, 113.9853967 22.5619252, 113.9853957 22.5617682)",,,
2550463222,2550463139,0,96395027,False,,tertiary,False,85.405,"LINESTRING (113.9850399 22.5634655, 113.9858359 22.5632428)",,,
2550463222,2550463018,0,96395027,False,,tertiary,True,138.24,"LINESTRING (113.9850399 22.5634655, 113.9837444 22.5638037)",,,
2550463222,6872433082,0,504921631,False,,residential,False,382.44200000000006,"LINESTRING (113.9850399 22.5634655, 113.9860311 22.5644923, 113.9861825 22.5646283, 113.9863705 22.5647727, 113.9865549 22.5648922, 113.9866928 22.5649625, 113.9868515 22.565037, 113.9872649 22.5652194, 113.9874441 22.5652946, 113.9875427 22.5653242, 113.9876404 22.5653411, 113.9877362 22.5653482, 113.9878589 22.5653496, 113.9880001 22.5653416)",,,
2550463233,2550463221,0,248219654,False,,residential,True,8.81,"LINESTRING (113.9858223 22.5627556, 113.9857444 22.5627888)",,,
