u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,access,bridge
1982876368,7637867844,0,808268035,False,2,residential,False,9.437,"LINESTRING (114.0657345 22.5328794, 114.0657761 22.5328871, 114.0658064 22.5329232)",,,,,
1982876369,8318215966,0,894880939,False,,residential,False,9.651,"LINESTRING (114.0640636 22.5360686, 114.0641563 22.5360828)",,,,,
1982876369,8516218128,0,187658563,False,2,residential,False,248.937,"LINESTRING (114.0640636 22.5360686, 114.0640718 22.5353137, 114.0640658 22.5348581, 114.0640763 22.5347499, 114.0640934 22.5338305)",保华一路,,,,
1982876369,1812925769,0,187658563,False,2,residential,True,165.34199999999998,"LINESTRING (114.0640636 22.5360686, 114.0640507 22.5367186, 114.064034 22.5375553)",保华一路,,,,
1982876369,8516154908,0,894880939,False,,residential,True,107.527,"LINESTRING (114.0640636 22.5360686, 114.0631894 22.5359251, 114.0630325 22.535901)",,,,,
1982876589,2530742285,0,245978166,False,,residential,False,99.046,"LINESTRING (114.0666787 22.538849, 114.0666691 22.5397397)",,,,,
1982876589,6413071010,0,245978166,False,,residential,True,25.087,"LINESTRING (114.0666787 22.538849, 114.0666812 22.5386234)",,,,,
1982876589,2530742222,0,187658597,False,,residential,False,171.836,"LINESTRING (114.0666787 22.538849, 114.0672227 22.5388764, 114.0674212 22.5389259, 114.0674802 22.5390077, 114.0675071 22.5391737, 114.0675014 22.5397598)",,,,,
2298877655,2530742232,0,245978175,False,,residential,False,204.611,"LINESTRING (114.0635882 22.5394727, 114.0636747 22.5392895, 114.0637574 22.5387354, 114.064028 22.5381021, 114.0640406 22.5377022)",,,,,
2298877655,7791604199,0,245978178,False,,residential,False,53.724,"LINESTRING (114.0635882 22.5394727, 114.0631791 22.5394709, 114.0630651 22.5394704)",,,,,
2530742222,2530742285,0,245978173,False,,residential,False,85.508,"LINESTRING (114.0675014 22.5397598, 114.0666691 22.5397397)",,,,,
