u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge,tunnel
2286399088,2286399084,0,219489363,False,,,unclassified,True,39.234,"LINESTRING (114.1141905 22.5775357, 114.1145722 22.577519)",,,
2286399088,2286399043,0,"[219489372, 219489373, 996519940]",True,,"['泥岗路辅路', '洪湖西路']","['primary', 'secondary']",False,363.94100000000003,"LINESTRING (114.1141905 22.5775357, 114.1140961 22.5776032, 114.1139774 22.5776517, 114.1138534 22.5776708, 114.1137294 22.5776657, 114.1136164 22.5776412, 114.1135211 22.5775955, 114.1134445 22.5775391, 114.1133758 22.5774517, 114.1133328 22.5773623, 114.1132097 22.5769253, 114.1131702 22.5768569, 114.1131072 22.5767965, 114.1130255 22.5767609, 114.1129191 22.5767482, 114.1128127 22.5767456, 114.1115647 22.57673, 114.1112794 22.5767268)",,yes,
2286399093,2286399084,0,219489366,False,,,unclassified,True,38.904,"LINESTRING (114.1145548 22.5778685, 114.1145722 22.577519)",,,
2286439708,581267033,0,45586084,True,,布心路辅路,primary,False,136.144,"LINESTRING (114.1164409 22.5763493, 114.1177663 22.5763855)",,,
2286439709,7001120021,0,219493671,True,,布心路辅路,primary,False,125.195,"LINESTRING (114.1186273 22.5764276, 114.1198466 22.5764184)",,,
2286439711,6798209359,0,45586083,True,,,trunk_link,False,12.216,"LINESTRING (114.1153885 22.5763573, 114.1154859 22.5762942)",,,
2286439711,2286439708,0,45586084,True,,布心路辅路,primary,False,108.058,"LINESTRING (114.1153885 22.5763573, 114.1164409 22.5763493)",,,
2286439715,581267131,0,582418909,True,,布心路辅路,primary,False,49.074,"LINESTRING (114.115658 22.5767693, 114.1151801 22.5767763)",,,
2286439715,2286057498,0,219493669,True,,,trunk_link,False,51.474999999999994,"LINESTRING (114.115658 22.5767693, 114.1154091 22.5767029, 114.1151822 22.5766245)",1,,
2312654058,3068097564,0,627687964,True,,泥岗路辅路,primary,False,117.351,"LINESTRING (114.101944 22.5714226, 114.1023288 22.5716734, 114.102858 22.5720557)",,,
2312654058,9553523432,0,1050747504,True,,宝安北路,tertiary,False,198.855,"LINESTRING (114.101944 22.5714226, 114.1020846 22.5714784, 114.1023611 22.5716505, 114.1024299 22.5716751, 114.1024874 22.5716838, 114.1025506 22.5716857, 114.1026072 22.5716727, 114.1026863 22.571635, 114.1027534 22.5715769, 114.1028181 22.5715018, 114.1033081 22.5707919)",,,
2788962649,581064766,0,274121648,True,,,trunk_link,False,131.096,"LINESTRING (114.1052553 22.5741291, 114.1043293 22.5733174)",,,
2788962649,3012449803,0,894257286,True,,泥岗路辅路,primary,False,70.767,"LINESTRING (114.1052553 22.5741291, 114.1046644 22.5738015)",,,
2788962652,3012450186,0,297370087,False,,,residential,False,51.843,"LINESTRING (114.1015303 22.5719411, 114.10126 22.5723349)",,,
2788962652,8264164774,0,1059457692,True,,泥岗路辅路,primary,False,94.899,"LINESTRING (114.1015303 22.5719411, 114.100756 22.5714751)",,,
2789096589,9553523374,0,274137588,False,,清笋南路,residential,False,348.56399999999996,"LINESTRING (114.1116182 22.5789839, 114.1116205 22.5786425, 114.1116236 22.5785268, 114.1116365 22.5783993, 114.111653 22.5782696, 114.1117479 22.5776271, 114.1117613 22.577528, 114.1117688 22.5774376, 114.111772 22.577349, 114.1117712 22.5764275, 114.1117681 22.5763284, 114.1117537 22.5762117, 114.1117295 22.5760921, 114.111706 22.5759947, 114.111675 22.5758661)",2,,
