u,v,key,osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,tunnel
4427388574,4427388575,0,445286575,,金錢徑 Kam Tsin Path,residential,False,False,63.172,,"LINESTRING (114.1090477 22.5006611, 114.1090431 22.500093)",
4427388574,1652496965,0,103624536,2,金坑路 Kam Hang Road,unclassified,False,False,130.711,,"LINESTRING (114.1090477 22.5006611, 114.1091853 22.5006692, 114.1097156 22.5006768, 114.1103197 22.5006831)",
4427388574,4427383322,0,103624536,2,金坑路 Kam Hang Road,unclassified,False,True,242.91199999999998,,"LINESTRING (114.1090477 22.5006611, 114.1087541 22.5006341, 114.108467 22.5005631, 114.108077 22.5004339, 114.1078539 22.5003699, 114.1077484 22.5003439, 114.1075831 22.5003207, 114.1074343 22.5003143, 114.1073022 22.500332, 114.1071598 22.5003556, 114.1070038 22.5003863, 114.1067666 22.5004877)",
4427388575,4427388574,0,445286575,,金錢徑 Kam Tsin Path,residential,False,True,63.172,,"LINESTRING (114.1090431 22.500093, 114.1090477 22.5006611)",
4449730322,7889150831,0,"[848445063, 845593335]",2,,residential,False,True,264.28,,"LINESTRING (114.1185844 22.5044293, 114.1184459 22.5043464, 114.1181378 22.5041619, 114.1180461 22.5041054, 114.1180403 22.5040904, 114.1180414 22.5040762, 114.1180472 22.5040595, 114.1181531 22.5039032, 114.1182372 22.5037623, 114.1183105 22.5036707, 114.1184818 22.5035496, 114.1184887 22.5035294, 114.1184933 22.503499, 114.1184737 22.5034354, 114.1184477 22.5033938, 114.1183788 22.5033406, 114.1183319 22.5032922, 114.1183128 22.5032686, 114.118296 22.5032305, 114.1182679 22.503143, 114.1182414 22.5031021, 114.1182118 22.5030701, 114.1181413 22.5030238, 114.1181188 22.5030079, 114.1180962 22.5029887, 114.1179967 22.5028102, 114.1179167 22.5027081, 114.1178798 22.5026713)",
6502331583,3971771863,0,103624536,2,金坑路 Kam Hang Road,unclassified,False,False,41.321,,"LINESTRING (114.1050935 22.5019146, 114.1051241 22.5018267, 114.1051504 22.5017512, 114.1051763 22.5017138, 114.1052661 22.5015822)",
6502331583,598512061,0,"[46875851, 46875852, 185460582]",2,古洞路 Kwu Tung Road,tertiary,False,False,401.04099999999994,yes,"LINESTRING (114.1050935 22.5019146, 114.1051834 22.5019963, 114.1053215 22.5021295, 114.1054509 22.5022728, 114.1055127 22.5023656, 114.1056739 22.5026924, 114.1060454 22.5034093, 114.1062118 22.5037184, 114.1062763 22.5037854, 114.1063488 22.5038411, 114.1064192 22.5038797, 114.1064884 22.5039113, 114.1065798 22.503938, 114.1066441 22.5039397, 114.1067122 22.5039351, 114.1067906 22.5039235, 114.1068658 22.5038859, 114.1069327 22.503845, 114.1069655 22.5038095, 114.1070078 22.5037575, 114.1070429 22.503677, 114.1070567 22.5035792, 114.1070337 22.5032018, 114.1070249 22.5031277)",
6739112282,1381152017,0,"[241102578, 845593333, 845593334]",2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,False,106.673,,"LINESTRING (114.1157752 22.502371, 114.1158855 22.5022978, 114.115914 22.5022759, 114.1162419 22.5020244, 114.1165799 22.5017651)",yes
6739112282,7889043402,0,241102578,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,True,306.522,,"LINESTRING (114.1157752 22.502371, 114.115638 22.5024485, 114.1154465 22.5025294, 114.1152994 22.5025672, 114.115171 22.5025834, 114.1149432 22.5025898, 114.1145568 22.502579, 114.1139089 22.5025272, 114.1134524 22.5025089, 114.1133711 22.5025092, 114.1132715 22.5025096, 114.1131465 22.50251, 114.1128444 22.5025242)",
6739112282,7889150831,0,845593329,2,,unclassified,False,False,226.29,,"LINESTRING (114.1157752 22.502371, 114.1158285 22.5024443, 114.1158797 22.5024917, 114.1159439 22.5025165, 114.116015 22.5025316, 114.1160756 22.5025348, 114.1165027 22.5025079, 114.1165912 22.5025087, 114.1167089 22.5025098, 114.1167818 22.5025141, 114.1170301 22.5025287, 114.1171278 22.5025336, 114.1176799 22.5025832, 114.1177814 22.5026159, 114.1178429 22.5026486, 114.1178798 22.5026713)",
7572497227,7572497228,0,809952418,,柏蕙里 Pak Wai Lane,residential,False,False,62.432,,"LINESTRING (114.1176839 22.501641, 114.1176556 22.5015953, 114.1174289 22.5012291, 114.1173822 22.5011536)",
7572497228,7572497227,0,809952418,,柏蕙里 Pak Wai Lane,residential,False,True,62.432,,"LINESTRING (114.1173822 22.5011536, 114.1174289 22.5012291, 114.1176556 22.5015953, 114.1176839 22.501641)",
7572497228,1381152017,0,845593333,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,True,106.851,,"LINESTRING (114.1173822 22.5011536, 114.1173149 22.501205, 114.1169391 22.5014868, 114.1165799 22.5017651)",
7649330589,7888948356,0,"[819082484, 845575774]",,燕崗路 Yin Kong Road,residential,False,False,262.786,,"LINESTRING (114.1107166 22.5044727, 114.1107618 22.504485, 114.1108909 22.50455, 114.110907 22.5045579, 114.1110725 22.5046387, 114.1110827 22.5046444, 114.1112661 22.5047468, 114.1113108 22.5047692, 114.1113558 22.504775, 114.111394 22.5047749, 114.1116366 22.5047139, 114.1116822 22.504712, 114.1117177 22.5047163, 114.111737 22.5047186, 114.1117685 22.5047205, 114.1118608 22.5046981, 114.1119681 22.5046746, 114.1120176 22.5046762, 114.112091 22.5046959, 114.1121176 22.5046918, 114.1123167 22.504619, 114.112328 22.5045978, 114.1123076 22.5045299, 114.1123038 22.5045171, 114.1122368 22.5043276, 114.1122241 22.5043099, 114.112199 22.504275, 114.1121782 22.5042179, 114.1121555 22.5041555, 114.1121468 22.5041316, 114.1121043 22.5040147, 114.1120656 22.5039082, 114.1120538 22.5038911)",
7649330589,7888948356,1,819082485,,,residential,False,False,175.773,,"LINESTRING (114.1107166 22.5044727, 114.110766 22.5044739, 114.1108268 22.5044598, 114.1108731 22.5044384, 114.1108806 22.5044349, 114.1108972 22.504419, 114.1109157 22.5044014, 114.110945 22.5043647, 114.1109673 22.5043023, 114.1109709 22.5042846, 114.1109936 22.5041733, 114.1109949 22.5041667, 114.1110117 22.5041128, 114.1110269 22.5040652, 114.1110503 22.5040306, 114.1111123 22.5039852, 114.1111556 22.5039722, 114.1112999 22.503963, 114.1113604 22.5039592, 114.1113955 22.5039571, 114.1114374 22.5039467, 114.1115668 22.5039145, 114.1117038 22.5038805, 114.1118066 22.5038549, 114.1118282 22.503879, 114.111883 22.503907, 114.1118936 22.5039074, 114.1119436 22.5039091, 114.1119809 22.5039037, 114.1120538 22.5038911)",
7649330589,7649330606,0,819082484,,燕崗路 Yin Kong Road,residential,False,True,225.88100000000003,,"LINESTRING (114.1107166 22.5044727, 114.1104079 22.5044604, 114.1103716 22.5044473, 114.1103441 22.5044252, 114.1103255 22.5043982, 114.1103051 22.5043482, 114.1103005 22.5043068, 114.1103529 22.5039164, 114.1103503 22.5038992, 114.1103122 22.5038656, 114.1102332 22.5038099, 114.1102119 22.503782, 114.1101995 22.5037492, 114.1101977 22.5037197, 114.1101986 22.5036755, 114.1103039 22.5032271, 114.1103741 22.5028931, 114.1103916 22.5028392)",
