u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes
8571950263,8571950104,0,"[923403602, 1050682045, 1077837430]",红岗路,secondary,True,False,546.946,"LINESTRING (114.1014364 22.5861982, 114.1012192 22.5859121, 114.1011485 22.5858094, 114.1010986 22.5857226, 114.1010645 22.5856504, 114.1010285 22.5855547, 114.1010012 22.5854636, 114.1009821 22.5853783, 114.1009695 22.5852974, 114.1009635 22.5851996, 114.1009656 22.5851139, 114.1009731 22.5850366, 114.1012764 22.5832375, 114.1012882 22.5831418, 114.1012957 22.5830479, 114.1012968 22.58296, 114.1012941 22.5828681, 114.1012863 22.5827691, 114.1012679 22.5826534, 114.1012431 22.5825473, 114.1012132 22.5824442, 114.100912 22.5816691, 114.1008993 22.5816325, 114.1008466 22.5814798)",2
2789096508,2789096596,0,274137578,,residential,False,False,53.066,"LINESTRING (114.1059673 22.5895533, 114.1054781 22.5897074)",
2789096508,2789096549,0,274137578,,residential,False,True,116.357,"LINESTRING (114.1059673 22.5895533, 114.1070988 22.5896134)",
2789096508,2789096549,1,274137589,,residential,False,True,249.022,"LINESTRING (114.1059673 22.5895533, 114.1059762 22.5888219, 114.1060289 22.5887683, 114.1064205 22.5888029, 114.1070938 22.5894097, 114.1070988 22.5896134)",
2789096517,8571950110,0,274137579,清水河五路,unclassified,False,False,311.486,"LINESTRING (114.1075941 22.5843319, 114.1076349 22.5815309)",
2789096517,2789096620,0,"[274137579, 923403597]",清水河五路,unclassified,False,True,310.732,"LINESTRING (114.1075941 22.5843319, 114.1075853 22.5849067, 114.1075767 22.5854662, 114.1075687 22.5859889, 114.1075602 22.5865434, 114.1075512 22.5871261)",
2789096517,2789096578,0,274137584,清水河二路,unclassified,False,True,184.269,"LINESTRING (114.1075941 22.5843319, 114.1066656 22.5843229, 114.1057994 22.5843146)",
2789096523,2789096578,0,274137586,清水河四路,unclassified,False,False,281.451,"LINESTRING (114.1057243 22.5868448, 114.1057731 22.5851993, 114.1057994 22.5843146)",
2789096523,2789096620,0,652157923,环仓路,unclassified,False,False,190.151,"LINESTRING (114.1057243 22.5868448, 114.1066072 22.5869807, 114.1075512 22.5871261)",
2789096523,3969579154,0,652157923,环仓路,unclassified,False,True,232.73899999999998,"LINESTRING (114.1057243 22.5868448, 114.1055242 22.5867809, 114.1052535 22.5866615, 114.1040333 22.5859523, 114.1039074 22.5858908, 114.1037559 22.5858177)",
2312654035,2789096605,0,274137581,清水河三路,unclassified,False,False,228.859,"LINESTRING (114.1039115 22.5822323, 114.1038588 22.5842899)",
2312654035,8571950207,0,297367957,清水河三路,tertiary,True,False,81.35600000000001,"LINESTRING (114.1039115 22.5822323, 114.1038842 22.5819585, 114.1038965 22.5817907, 114.1039052 22.5815023)",
2789096549,2789096508,0,274137578,,residential,False,False,116.357,"LINESTRING (114.1070988 22.5896134, 114.1059673 22.5895533)",
2789096549,2789096508,1,274137589,,residential,False,False,249.02200000000002,"LINESTRING (114.1070988 22.5896134, 114.1070938 22.5894097, 114.1064205 22.5888029, 114.1060289 22.5887683, 114.1059762 22.5888219, 114.1059673 22.5895533)",
2789096549,2789096593,0,274137589,,residential,False,True,35.257999999999996,"LINESTRING (114.1070988 22.5896134, 114.1071035 22.5898017, 114.1071066 22.5899304)",
2789096559,3969579154,0,652157923,环仓路,unclassified,False,False,271.576,"LINESTRING (114.1023528 22.5843476, 114.1022568 22.5844931, 114.1022479 22.584611, 114.1022744 22.5847451, 114.1024084 22.5852142, 114.1024893 22.5854962, 114.102668 22.5856381, 114.1035391 22.5858112, 114.1037559 22.5858177)",
2789096559,2789096605,0,"[274137584, 652157923]","['清水河二路', '环仓路']",unclassified,False,"[False, True]",155.80900000000003,"LINESTRING (114.1023528 22.5843476, 114.1025427 22.5842854, 114.1038588 22.5842899)",
2789096559,8571923507,0,652157925,清水河二路,unclassified,False,False,169.735,"LINESTRING (114.1023528 22.5843476, 114.1022271 22.5842633, 114.1021294 22.5841619, 114.1015442 22.5832539, 114.1014736 22.5831691, 114.1014086 22.5831107)",
2789096561,2789096620,0,652157923,环仓路,unclassified,False,True,25.615,"LINESTRING (114.1077973 22.587164, 114.1075512 22.5871261)",
9613224697,9613224698,0,1044769939,清水河六路,tertiary,False,False,322.374,"LINESTRING (114.1088151 22.5844186, 114.1088718 22.5815199)",
9613224698,2789096453,0,923403587,清水河一路,tertiary,False,True,21.223,"LINESTRING (114.1088718 22.5815199, 114.1086652 22.5815136)",
9613224698,9613224697,0,1044769939,清水河六路,tertiary,False,True,322.374,"LINESTRING (114.1088718 22.5815199, 114.1088151 22.5844186)",
9613224698,2789096585,0,"[923403587, 274137587]",清水河一路,"['unclassified', 'tertiary']",False,False,206.281,"LINESTRING (114.1088718 22.5815199, 114.1095747 22.5815414, 114.1098021 22.5815807, 114.1100004 22.5816661, 114.1106256 22.5816594, 114.1108213 22.581547)",
8571950203,2789096585,0,"[923403596, 274137583]",,residential,False,True,569.503,"LINESTRING (114.1102708 22.5859103, 114.1106523 22.5850291, 114.1110737 22.5842871, 114.1112945 22.5836393, 114.1113689 22.5831792, 114.1114019 22.5825876, 114.1115253 22.5816554, 114.1108213 22.581547)",
8571950205,8571950207,0,495598824,清水河一路,tertiary,True,False,10.424,"LINESTRING (114.1040067 22.5815047, 114.1039052 22.5815023)",2
8571950205,2312654035,0,297367959,清水河三路,tertiary,True,False,81.871,"LINESTRING (114.1040067 22.5815047, 114.1039995 22.5816629, 114.1039951 22.5818006, 114.1039843 22.58196, 114.1039115 22.5822323)",
8571950207,8571950212,0,297367957,清水河三路,tertiary,True,False,8.079,"LINESTRING (114.1039052 22.5815023, 114.1039255 22.5814321)",
8571950207,8571950353,0,495598824,清水河一路,tertiary,True,False,305.01599999999996,"LINESTRING (114.1039052 22.5815023, 114.1037301 22.5814983, 114.1010975 22.5814795, 114.1010228 22.5814796, 114.1009345 22.5814797)",2
