u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,ref,tunnel
4127126161,8889245610,0,34900302,False,彩田工业区一号路,residential,False,24.729,2,"LINESTRING (114.0674174 22.564411, 114.0671766 22.5644078)",,,
4127126161,7947470102,0,34900302,False,彩田工业区一号路,residential,True,10.826,2,"LINESTRING (114.0674174 22.564411, 114.0675228 22.5644134)",,,
4127126161,3671792017,0,362953584,True,皇岗路辅路,primary,False,407.882,,"LINESTRING (114.0674174 22.564411, 114.0674495 22.5633158, 114.0674516 22.5627702, 114.0674933 22.5607436)",,,
4899192495,2889086231,0,"[498524802, 641794243, 44419748]",True,,trunk_link,False,577.3249999999999,,"LINESTRING (114.060002 22.5670788, 114.060245 22.5671931, 114.0603329 22.5672251, 114.0604113 22.5672414, 114.0605131 22.5672492, 114.0605856 22.5672488, 114.0606839 22.5672374, 114.0607975 22.5672117, 114.0608872 22.5671795, 114.060984 22.5671361, 114.06154 22.5668427, 114.0616156 22.5668042, 114.0616988 22.5667722, 114.0617803 22.5667563, 114.0618664 22.5667522, 114.061952 22.5667656, 114.0620474 22.5667922, 114.0621226 22.5668315, 114.0621894 22.5668762, 114.0622555 22.5669464, 114.0623032 22.5670178, 114.0623344 22.5671039, 114.0623469 22.5672096, 114.062345 22.5673091, 114.0623047 22.5679929, 114.0622379 22.5686024, 114.0622137 22.5687807, 114.0621856 22.5689516, 114.0620309 22.5698069)",yes,,
4899192495,6043430898,0,"[498524803, 641794244, 641794245]",True,,trunk_link,False,274.918,,"LINESTRING (114.060002 22.5670788, 114.0602785 22.5671522, 114.0604006 22.5671671, 114.0605076 22.5671705, 114.060616 22.567163, 114.0607253 22.5671438, 114.0608096 22.5671212, 114.0608941 22.5670866, 114.0610322 22.5670222, 114.061625 22.5667175, 114.0618677 22.5665938, 114.0619328 22.5665612, 114.0619894 22.5665291, 114.0620419 22.5664941, 114.0620872 22.5664584, 114.0621303 22.5664196, 114.0621732 22.5663781, 114.0622055 22.5663359, 114.0622295 22.5662984, 114.0622478 22.5662639, 114.0622653 22.5662165, 114.0622801 22.5661601)",yes,,
6043430510,504640847,0,"[41275555, 1057874093]",True,皇岗路,trunk,False,182.558,3,"LINESTRING (114.0674262 22.5692569, 114.0674473 22.5681257, 114.06745 22.5676153)",yes,,
6043430779,564639012,0,"[25421969, 641794242]",True,,trunk_link,False,249.46399999999997,,"LINESTRING (114.0622668 22.5673774, 114.0622519 22.5673032, 114.0622243 22.5672319, 114.0621984 22.5671929, 114.0621654 22.5671492, 114.0621256 22.5671053, 114.0620847 22.5670664, 114.0620443 22.5670348, 114.0620017 22.5670072, 114.061954 22.5669805, 114.0619019 22.5669559, 114.0618552 22.5669381, 114.0618055 22.5669226, 114.0617592 22.5669137, 114.0617041 22.5669081, 114.0616513 22.5669074, 114.0616013 22.5669123, 114.0615472 22.5669268, 114.0614855 22.5669503, 114.0614314 22.5669791, 114.0613879 22.5670072, 114.0613566 22.5670338, 114.0613154 22.567078, 114.0612538 22.5671704, 114.0612143 22.567264, 114.0611961 22.5673517, 114.0612015 22.567448, 114.0612218 22.5675474, 114.061268 22.5676546, 114.0613165 22.5677318, 114.0613766 22.567798, 114.06162 22.5679803)",yes,,
6043430779,6043430898,0,"[44419746, 1055004294]",True,彩田路,primary,False,135.366,,"LINESTRING (114.0622668 22.5673774, 114.0622691 22.5673082, 114.0622801 22.5661601)",yes,,
6043430898,8624031087,0,44419746,True,彩田路,primary,False,207.757,,"LINESTRING (114.0622801 22.5661601, 114.0623314 22.5642923)",,,
6413071296,6413071297,0,866645924,True,,unclassified,False,82.113,,"LINESTRING (114.0627437 22.560344, 114.0627288 22.5604593, 114.062722 22.5606172, 114.0627203 22.5606581, 114.0627132 22.5608243, 114.0625598 22.5610388)",,,
6413071297,503313295,0,44380098,True,彩田路,primary,False,367.826,,"LINESTRING (114.0625598 22.5610388, 114.0624843 22.564346)",,,
