u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,tunnel,bridge,maxspeed,access
2268752831,8869448110,0,217589455,长宝路,residential,False,True,10.608,"LINESTRING (114.054111 22.5123039, 114.0542106 22.5123291)",,,,,
2268752831,2268753016,0,217589455,长宝路,residential,False,False,138.34300000000002,"LINESTRING (114.054111 22.5123039, 114.0537927 22.5121807, 114.0532777 22.5119032, 114.0528945 22.5117808)",,,,,
2268752972,598723474,0,825084776,椰风道,residential,False,False,64.5,"LINESTRING (114.0559278 22.5129579, 114.0561689 22.5124223)",3,,,,
2268752972,598723470,0,825084776,椰风道,residential,False,True,113.636,"LINESTRING (114.0559278 22.5129579, 114.055503 22.5139015)",3,,,,
2268752972,8869448110,0,217589455,长宝路,residential,False,False,193.572,"LINESTRING (114.0559278 22.5129579, 114.0557238 22.512814, 114.0555166 22.5126867, 114.0552947 22.5125599, 114.0550791 22.5124778, 114.0548166 22.5124184, 114.0543258 22.5123582, 114.0542106 22.5123291)",,,,,
2268753016,598723535,0,46898365,紫荆道,residential,True,False,37.624,"LINESTRING (114.0528945 22.5117808, 114.0529374 22.5116185, 114.0529814 22.5114521)",,,,,
2268753016,2268752831,0,217589455,长宝路,residential,False,True,138.34300000000002,"LINESTRING (114.0528945 22.5117808, 114.0532777 22.5119032, 114.0537927 22.5121807, 114.054111 22.5123039)",,,,,
2268825364,7656321579,0,34900349,福桂街,residential,True,False,79.235,"LINESTRING (114.0530238 22.5181799, 114.0530735 22.5174688)",2,,,,
2268825364,409391960,0,996188191,福强路,primary,True,False,221.328,"LINESTRING (114.0530238 22.5181799, 114.0535217 22.5182309, 114.054243 22.5183212, 114.0546962 22.5183998, 114.0551493 22.5184954)",3,,,,
2268825369,8195511793,0,34900347,银桂道,residential,False,False,133.355,"LINESTRING (114.0556914 22.5157327, 114.0555193 22.5169214)",,,,,
2268825369,598723406,0,46898356,菩提路,tertiary,False,False,99.332,"LINESTRING (114.0556914 22.5157327, 114.0548566 22.5152818)",2,,,,
2268825369,409391970,0,46898356,菩提路,tertiary,False,True,443.14799999999997,"LINESTRING (114.0556914 22.5157327, 114.05655 22.5161965, 114.0569399 22.516414, 114.0572028 22.5165731, 114.0585748 22.5173583, 114.0593271 22.5178725)",2,,,,
2319207111,598724199,0,"[1054407542, 830725879]",桂花路,tertiary,True,False,165.48700000000002,"LINESTRING (114.0561043 22.5142104, 114.0565007 22.5144197, 114.0569317 22.5146441, 114.0572363 22.514805, 114.0573233 22.5148432, 114.0573446 22.5148894, 114.0574066 22.5150238)",2,,,,
2459094273,2459094324,0,564122743,,secondary,True,False,265.682,"LINESTRING (114.0599586 22.516211, 114.0598815 22.5160458, 114.0598248 22.5159416, 114.0597313 22.5158401, 114.0591301 22.5154262, 114.0590255 22.515332, 114.0589374 22.5151934, 114.0588297 22.5149133, 114.0586902 22.514663, 114.0584527 22.5143376)",,,,,
2459094324,598723956,0,885105258,,secondary,True,False,270.628,"LINESTRING (114.0584527 22.5143376, 114.0582964 22.5142115, 114.0580597 22.5139771, 114.0577966 22.5136709, 114.0574267 22.5132154, 114.0569628 22.5126555, 114.0569058 22.5125477, 114.056855 22.5124199)",,,,,
2531897569,2319207111,0,246111928,绒花路,living_street,True,False,371.927,"LINESTRING (114.0575171 22.5145617, 114.0576581 22.5143221, 114.0576877 22.5142455, 114.0576984 22.5141584, 114.0576926 22.5140839, 114.0576623 22.5140131, 114.0568571 22.512941, 114.0561043 22.5142104)",,,,,
2843245410,9731824018,0,816544573,益田路,tertiary,True,False,179.573,"LINESTRING (114.0505189 22.5167374, 114.050416 22.5164454, 114.0503836 22.5162697, 114.0503584 22.5160485, 114.0503484 22.5158561, 114.0503483 22.5156038, 114.0503609 22.515356, 114.0503933 22.5151439)",2,,,40,
2843245410,8146989209,0,"[46898413, 46898414, 996181407]","['益田路', '红棉道']",secondary,True,False,634.055,"LINESTRING (114.0505189 22.5167374, 114.0504851 22.5164493, 114.0504835 22.5162285, 114.0504998 22.5160229, 114.0505377 22.515816, 114.0506113 22.5154733, 114.0513136 22.5122606, 114.0513638 22.512022, 114.0513882 22.5118919, 114.0514082 22.5117874, 114.0514214 22.5116984, 114.0514301 22.5115981, 114.0514392 22.5114767, 114.0514448 22.5113674, 114.0514424 22.5112769, 114.0514332 22.5112008, 114.0514157 22.5111237)",3,,yes,,
2843245410,3635718885,0,1059172728,,residential,True,False,104.011,"LINESTRING (114.0505189 22.5167374, 114.0504015 22.5166296, 114.0503405 22.516515, 114.050306 22.516408, 114.0502755 22.5162334, 114.0502613 22.5160662, 114.0502527 22.5158678)",1,,,,
2843245423,2843245424,0,358679754,,living_street,False,False,211.109,"LINESTRING (114.046028 22.5166399, 114.0480126 22.5161465)",,,,,
2843245424,3635718883,0,358679754,,living_street,False,False,99.975,"LINESTRING (114.0480126 22.5161465, 114.0489761 22.5160193)",,,,,
2843245424,2843245423,0,358679754,,living_street,False,True,211.109,"LINESTRING (114.0480126 22.5161465, 114.046028 22.5166399)",,,,,
2843245424,9769467918,0,280169882,,residential,False,False,205.22699999999998,"LINESTRING (114.0480126 22.5161465, 114.0477965 22.5153001, 114.0475718 22.514386, 114.0475636 22.5143481)",,,,,
2843245424,3635737695,0,280169882,,residential,False,True,253.088,"LINESTRING (114.0480126 22.5161465, 114.0481942 22.5170648, 114.0484086 22.5180026, 114.0484995 22.5183774)",,,,,
3084645114,3414036535,0,687538022,,tertiary,True,False,11.035,"LINESTRING (114.0404717 22.5133445, 114.0404939 22.5132474)",,,,,
3084645119,598723761,0,996181425,福荣路,tertiary,True,False,8.08,"LINESTRING (114.0409636 22.5147708, 114.041039 22.5147501)",2,,,,
3084645119,3084645114,0,"[303958164, 687538021, 687538022]",福保隧道,tertiary,True,False,166.461,"LINESTRING (114.0409636 22.5147708, 114.0408401 22.5144229, 114.0406285 22.5137847, 114.0404717 22.5133445)",,yes,,,
3414036535,598723939,0,303958186,,tertiary,True,False,10.322,"LINESTRING (114.0404939 22.5132474, 114.0405557 22.5133206)",,,,,
3414036535,3414036538,0,334289453,,residential,False,False,180.643,"LINESTRING (114.0404939 22.5132474, 114.0400624 22.5116725)",,,,,
3414036535,598723859,0,1054407528,桂花路,tertiary,True,False,148.692,"LINESTRING (114.0404939 22.5132474, 114.041877 22.5128529)",2,,,,
3414036538,3414036535,0,334289453,,residential,False,True,180.643,"LINESTRING (114.0400624 22.5116725, 114.0404939 22.5132474)",,,,,
3635718882,7702665406,0,358676797,,residential,False,False,23.274,"LINESTRING (114.0485343 22.5144037, 114.0484891 22.5141986)",,,,,
3635718882,9769467918,0,816544575,福荣路辅路,unclassified,True,False,99.902,"LINESTRING (114.0485343 22.5144037, 114.0475636 22.5143481)",1,,,,
3635718882,3635718883,0,358676796,,residential,False,False,185.29100000000003,"LINESTRING (114.0485343 22.5144037, 114.0485546 22.5144829, 114.0489761 22.5160193)",,,,,
3635718883,3635718884,0,358676796,,residential,False,False,97.585,"LINESTRING (114.0489761 22.5160193, 114.0491126 22.5168878)",,,,,
