u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,junction
1599358988,1599358982,0,146667645,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,16.69,"LINESTRING (114.1539975 22.5065099, 114.153967 22.5064685, 114.1539261 22.5064358, 114.1538775 22.5064137)",,roundabout
1599358988,2001310758,0,189532781,True,,龍馬路 Lung Ma Road,residential,False,35.738,"LINESTRING (114.1539975 22.5065099, 114.1540186 22.5064638, 114.154073 22.5064066, 114.1541028 22.5063892, 114.15425 22.5063)",,
1599358989,1599359001,0,146667645,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,39.974,"LINESTRING (114.1535958 22.5065755, 114.1535989 22.5066056, 114.1536071 22.5066522, 114.1536324 22.5067036, 114.1536726 22.506746, 114.1537242 22.5067761, 114.1537831 22.5067912, 114.1538441 22.5067901)",,roundabout
1599358990,1599358988,0,146667645,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,14.453,"LINESTRING (114.1540161 22.5066369, 114.1540184 22.5065719, 114.1539975 22.5065099)",,roundabout
1599359001,2001310849,0,34360898,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,498.08,"LINESTRING (114.1538441 22.5067901, 114.1539645 22.5067969, 114.1540572 22.506831, 114.1541962 22.5069151, 114.1555276 22.5077562, 114.1555725 22.5077847, 114.1558136 22.507938, 114.1558474 22.5079594, 114.1562655 22.5082259, 114.1570878 22.508733, 114.1573922 22.5089164, 114.1574367 22.5089432, 114.1579127 22.5091938)",,
1599359001,1599358990,0,146667645,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,25.996000000000002,"LINESTRING (114.1538441 22.5067901, 114.1539043 22.506772, 114.1539559 22.5067382, 114.1539943 22.5066917, 114.1540161 22.5066369)",,roundabout
1802128325,6028049275,0,146667658,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,10.557,"LINESTRING (114.1470874 22.5013396, 114.1470193 22.5012685)",,
1802128332,394175236,0,521943277,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,10.468,"LINESTRING (114.146905 22.5013573, 114.1469785 22.5014225)",,
1802128332,1599358839,0,146667596,True,2,馬適路 Ma Sik Road,secondary,False,313.123,"LINESTRING (114.146905 22.5013573, 114.1468478 22.5014012, 114.1467077 22.5015269, 114.1465857 22.5016266, 114.1463819 22.5017932, 114.1463402 22.5018249, 114.1462994 22.5018559, 114.1460372 22.5020636, 114.1459013 22.5021423, 114.1457837 22.5022089, 114.1456523 22.502247, 114.1455508 22.5022649, 114.1454991 22.5022703, 114.1453487 22.5022687, 114.1444372 22.5021579, 114.144412 22.5021548, 114.1443761 22.5021507, 114.1443391 22.5021454, 114.144291 22.5021379, 114.1442105 22.5021227)",,
2001310748,2001310797,0,189532752,False,1,凱榮路 Hai Wing Road,residential,False,306.876,"LINESTRING (114.1543338 22.5054705, 114.1544096 22.5055177, 114.154726 22.5057149, 114.1548964 22.5058292, 114.1550247 22.5059145, 114.1552338 22.5060542, 114.1552656 22.5060759, 114.1560907 22.5066382, 114.1561129 22.5066533, 114.1567669 22.5070711)",,
2001310748,2001310758,0,783978333,False,,龍馬路 Lung Ma Road,residential,False,98.794,"LINESTRING (114.1543338 22.5054705, 114.1543161 22.5056117, 114.1543116 22.5056927, 114.1543168 22.5057219, 114.154319 22.5057341, 114.1543358 22.5057873, 114.1543922 22.5060112, 114.1543937 22.5060608, 114.154386 22.5061227, 114.154369 22.5061875, 114.1543498 22.5062184, 114.1543397 22.5062314, 114.1543157 22.5062531, 114.15425 22.5063)",,
2001310748,7496893668,0,783978333,False,,龍馬路 Lung Ma Road,residential,True,142.004,"LINESTRING (114.1543338 22.5054705, 114.1543878 22.505166, 114.1543936 22.5051334, 114.1544258 22.5050139, 114.1544528 22.5049371, 114.1544684 22.504895, 114.1545517 22.5047092, 114.1545684 22.5046764, 114.1546926 22.5044656, 114.1548091 22.5042856)",,
2001310755,2001310797,0,850862087,False,,道揚路 Dao Yang Road,residential,True,142.781,"LINESTRING (114.1575818 22.506031, 114.1573825 22.5062966, 114.1573732 22.5063083, 114.1571686 22.5065657, 114.1567669 22.5070711)",,
2001310758,1599358982,0,189532776,True,,龍馬路 Lung Ma Road,residential,False,41.141999999999996,"LINESTRING (114.15425 22.5063, 114.1540652 22.5063923, 114.1539833 22.5064119, 114.1538775 22.5064137)",,
2001310758,2001310748,0,783978333,False,,龍馬路 Lung Ma Road,residential,True,98.79400000000001,"LINESTRING (114.15425 22.5063, 114.1543157 22.5062531, 114.1543397 22.5062314, 114.1543498 22.5062184, 114.154369 22.5061875, 114.154386 22.5061227, 114.1543937 22.5060608, 114.1543922 22.5060112, 114.1543358 22.5057873, 114.154319 22.5057341, 114.1543168 22.5057219, 114.1543116 22.5056927, 114.1543161 22.5056117, 114.1543338 22.5054705)",,
