u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
1703715901,1703715918,0,193702052,,residential,False,False,26.756,"LINESTRING (114.0643418 22.5517873, 114.0643263 22.5515471)",,,,
1703715901,9364887314,0,193702052,,residential,False,True,14.392,"LINESTRING (114.0643418 22.5517873, 114.0643501 22.5519165)",,,,
1703715901,2042184685,0,"[308238960, 193702050]",,residential,False,False,157.111,"LINESTRING (114.0643418 22.5517873, 114.0637184 22.5518442, 114.0630981 22.5519001, 114.0630957 22.5521589)",,,,
1703715906,9364887310,0,193702047,,living_street,False,True,21.594,"LINESTRING (114.0637303 22.5521282, 114.0637295 22.5523224)",,,,
1703715906,2042184685,0,193702053,,living_street,False,False,65.258,"LINESTRING (114.0637303 22.5521282, 114.0630957 22.5521589)",,,,
1703715906,2042184681,0,193702053,,living_street,False,True,64.944,"LINESTRING (114.0637303 22.5521282, 114.0643609 22.552084)",,,,
1703715916,1703715896,0,308238960,,residential,False,False,61.305,"LINESTRING (114.06393 22.55295, 114.0643273 22.5533615)",,,,
1703715916,2042191621,0,1015193620,,residential,True,False,10.556,"LINESTRING (114.06393 22.55295, 114.0638667 22.5528752)",1,5,,
1703715916,9364954900,0,308238960,,residential,False,True,128.164,"LINESTRING (114.06393 22.55295, 114.0637359 22.5529548, 114.0630882 22.5529558, 114.0630917 22.5525807)",,,,
1703715918,2042184693,0,193702049,,residential,True,False,121.124,"LINESTRING (114.0643263 22.5515471, 114.0655039 22.5514856)",,5,,
1703715918,1703715901,0,193702052,,residential,False,True,26.756,"LINESTRING (114.0643263 22.5515471, 114.0643418 22.5517873)",,,,
1703715918,8624031186,0,193702052,,residential,False,False,19.403,"LINESTRING (114.0643263 22.5515471, 114.0643228 22.5514918, 114.0643177 22.5513728)",,,,
1703715921,2042184681,0,193702052,,residential,False,False,27.771,"LINESTRING (114.064377 22.5523333, 114.0643684 22.5521999, 114.0643609 22.552084)",,,,
1703715921,1703698700,0,1015194530,,unclassified,False,False,170.529,"LINESTRING (114.064377 22.5523333, 114.0649377 22.5523164, 114.0656834 22.552294, 114.0657782 22.5519795)",,,,
1703725326,2042184673,0,158112572,,residential,False,True,113.702,"LINESTRING (114.0654233 22.5544607, 114.0643175 22.5544087)",,,,
1703725326,2889067761,0,158112572,,residential,False,False,54.072,"LINESTRING (114.0654233 22.5544607, 114.0658549 22.554469, 114.0659497 22.554466)",,,,
