u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge,name,tunnel
5808598735,5808598702,0,"[614006562, 614006563, 614006564]",False,,"['unclassified', 'residential']",False,297.446,"LINESTRING (113.9883231 22.5897636, 113.9888934 22.5884914, 113.9889422 22.5883796, 113.9889689 22.5883036, 113.9889934 22.5882296, 113.9890067 22.5881638, 113.9890112 22.5880857, 113.9890031 22.5880143, 113.9889896 22.587941, 113.988986 22.5878857, 113.9890022 22.5878139, 113.9890341 22.587758, 113.9890766 22.5877146, 113.9891208 22.5876858, 113.9891704 22.587666, 113.9892303 22.5876553, 113.9893092 22.5876608, 113.9893744 22.5876764, 113.9894296 22.5876932, 113.9895627 22.5877454)",yes,,
9196855390,1943410930,0,860549495,False,,unclassified,True,6.994,"LINESTRING (113.9832418 22.5887299, 113.9832416 22.588667)",,塘朗九号路,
9196855390,10221372041,0,860549495,False,,unclassified,False,135.268,"LINESTRING (113.9832418 22.5887299, 113.9832423 22.5888527, 113.9832174 22.5895409, 113.9830027 22.5898942)",,塘朗九号路,
9204756027,1943410914,0,753281470,True,4,primary,False,39.377,"LINESTRING (113.9836747 22.5883183, 113.9834517 22.5882316, 113.9834176 22.5882195, 113.9833195 22.5881848)",,留仙大道,
9204756027,9204756032,0,996877063,True,1,primary_link,False,44.489999999999995,"LINESTRING (113.9836747 22.5883183, 113.9835775 22.5883076, 113.9834928 22.5883147, 113.9834173 22.588346, 113.9833633 22.5883858, 113.9833083 22.5884613)",,,
9204756032,1943410930,0,860549497,True,,secondary,False,25.009,"LINESTRING (113.9833083 22.5884613, 113.9833027 22.5885933, 113.9832416 22.588667)",,塘朗九号路,
9722598873,9722598874,0,1058122727,True,4,trunk_link,False,75.312,"LINESTRING (113.9834361 22.586867, 113.9833798 22.5875423)",,,
9722598873,2561225173,0,581971314,False,,unclassified,False,1349.9969999999998,"LINESTRING (113.9834361 22.586867, 113.9845168 22.586953, 113.9857955 22.5870057, 113.9867297 22.587, 113.9876998 22.5870057, 113.9887432 22.5870726, 113.9890927 22.5871214, 113.9902702 22.5874136, 113.9905403 22.5875183, 113.9914048 22.5879014, 113.9920638 22.5881771, 113.9933601 22.5887013, 113.9940414 22.5889564, 113.9944544 22.5891421, 113.9951483 22.5895044, 113.9958599 22.5899816)",,绿坪一路,
9722598874,5808595801,0,614006549,True,,trunk_link,False,103.78800000000001,"LINESTRING (113.9833798 22.5875423, 113.9833952 22.5876734, 113.9834218 22.5877729, 113.9834779 22.5878811, 113.9835665 22.587985, 113.9836646 22.5880728, 113.9837843 22.5881536, 113.9839558 22.5882469)",,,
9722598874,1943410909,0,1058122727,True,4,trunk_link,False,52.614000000000004,"LINESTRING (113.9833798 22.5875423, 113.9833553 22.587836, 113.9833517 22.5878934, 113.9833442 22.5880143)",,,
10221372041,9196855390,0,860549495,False,,unclassified,True,135.268,"LINESTRING (113.9830027 22.5898942, 113.9832174 22.5895409, 113.9832423 22.5888527, 113.9832418 22.5887299)",,塘朗九号路,
