u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes,access,tunnel
2278210943,2278210939,0,"[218585460, 633816647]",True,secondary_link,False,150.729,"LINESTRING (114.1146662 22.531933, 114.1147317 22.5319049, 114.1148006 22.5318947, 114.1148782 22.5318945, 114.1150465 22.5318999, 114.1150767 22.5320221, 114.1150981 22.5321382, 114.1151188 22.5322701, 114.1151296 22.5324994, 114.1151216 22.5326704, 114.1150923 22.5328888)",,沿河南路,,,,
2278210943,2278210939,1,921338891,True,secondary_link,False,119.92299999999999,"LINESTRING (114.1146662 22.531933, 114.1147104 22.5319671, 114.1147706 22.532021, 114.1148352 22.5320889, 114.1148918 22.5321567, 114.114965 22.5322586, 114.1150145 22.532351, 114.1150429 22.5324303, 114.1150676 22.5325193, 114.1150802 22.5325904, 114.115089 22.5326705, 114.1150952 22.5327604, 114.1150923 22.5328888)",,,,2,,
2278225048,2278225096,0,705776326,True,primary,False,6.322,"LINESTRING (114.1055218 22.5371269, 114.105575 22.5370983)",,春风路高架桥1号匝道,yes,,,
2278225058,2278225113,0,218587464,True,primary_link,False,185.34000000000003,"LINESTRING (114.1051778 22.5376416, 114.105073 22.5377557, 114.1050582 22.5377901, 114.1050468 22.5378236, 114.1050366 22.5378601, 114.10503 22.5378984, 114.1050248 22.5379376, 114.1050222 22.5379773, 114.1050233 22.5380205, 114.1050287 22.5380625, 114.1050372 22.5381005, 114.1050496 22.5381333, 114.1050677 22.5381702, 114.1050943 22.538209, 114.1051251 22.5382414, 114.1051619 22.5382703, 114.1052006 22.5382934, 114.1052488 22.5383156, 114.1052988 22.5383326, 114.1053574 22.5383477, 114.1054241 22.5383622, 114.105485 22.5383763, 114.1055486 22.5383963, 114.1056097 22.5384169, 114.1056721 22.538442, 114.1057279 22.5384679, 114.1057825 22.5384955, 114.1058376 22.5385267, 114.1058915 22.5385602, 114.1059483 22.5385985, 114.1060001 22.5386375, 114.1060751 22.5386958)",,,,,,
2278225058,2278225158,0,218587472,True,primary,False,180.84999999999997,"LINESTRING (114.1051778 22.5376416, 114.1051168 22.5377037, 114.104986 22.5378412, 114.1049608 22.5378619, 114.1049487 22.5378805, 114.1048967 22.5379327, 114.1048423 22.5379849, 114.1047792 22.5380393, 114.104707 22.5380944, 114.1046393 22.5381397, 114.1045667 22.5381857, 114.1044873 22.5382309, 114.1043939 22.5382784, 114.1042886 22.5383248, 114.1041915 22.5383636, 114.1040907 22.5383957, 114.1039926 22.5384209, 114.1038912 22.53844, 114.1038048 22.5384493, 114.1037184 22.5384548)",,滨河大道辅路,,,,
2278225059,564009215,0,"[27082888, 705776323]",True,trunk,False,123.041,"LINESTRING (114.1064966 22.5370575, 114.1063868 22.5370587, 114.106262 22.5370698, 114.1061312 22.5370948, 114.1060125 22.5371331, 114.1058858 22.5371867, 114.1058261 22.5372174, 114.105393 22.5374404)",S550,"['春风路高架桥布吉河桥', '春风路高架桥']",yes,,,
2278225096,2765242284,0,"[218587482, 272771515]",True,residential,False,70.494,"LINESTRING (114.105575 22.5370983, 114.1055876 22.5370849, 114.1055992 22.5370688, 114.1056138 22.5370444, 114.1056308 22.5370205, 114.1056534 22.5369955, 114.1056791 22.5369709, 114.1057065 22.5369513, 114.1057413 22.5369306, 114.105775 22.5369118, 114.1058087 22.5368967, 114.1058486 22.5368845, 114.1058926 22.5368742, 114.1059369 22.5368667, 114.1060468 22.5368516, 114.1061622 22.5368377)",,,yes,,,
2278225096,2278225137,0,"[272771517, 705776326]",True,primary,False,362.652,"LINESTRING (114.105575 22.5370983, 114.10567 22.5370542, 114.1057707 22.5370132, 114.1058663 22.5369808, 114.1059673 22.5369514, 114.1060724 22.536927, 114.1061624 22.5369093, 114.1062571 22.5368977, 114.106376 22.536888, 114.1065041 22.5368812, 114.1066233 22.5368835, 114.1067419 22.5368901, 114.1068403 22.5369025, 114.1069862 22.5369287, 114.1071428 22.5369637, 114.1073402 22.5370147, 114.1074889 22.537052, 114.1087697 22.537397, 114.108958 22.5374434, 114.1089852 22.5374501)",,春风路高架桥1号匝道,yes,,,
2278225137,2765242298,0,705776328,False,residential,True,30.522,"LINESTRING (114.1089852 22.5374501, 114.10894 22.5377214)",,渔民村路,,2,,
2278225137,2278242482,0,705776325,True,primary,False,85.446,"LINESTRING (114.1089852 22.5374501, 114.1091416 22.5374803, 114.1098012 22.5375999)",,船步街,,,,
