u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes
8090185939,2535936972,0,246568765,residential,False,True,7.433,,"LINESTRING (114.0324352 22.5714359, 114.0323635 22.5714267)",
8090185939,8090186010,0,867935349,residential,True,False,17.109,,"LINESTRING (114.0324352 22.5714359, 114.0323297 22.571555)",1
8090185940,2535937080,0,72241845,residential,False,False,560.759,,"LINESTRING (114.0322708 22.5717593, 114.0329682 22.5722419, 114.0331371 22.5732995, 114.0328823 22.5733144, 114.0326731 22.5733367, 114.0324585 22.5733862, 114.0322788 22.5734481, 114.0321286 22.5735249, 114.0318953 22.5736785, 114.031847 22.5737057, 114.031796 22.5737156, 114.0317334 22.5737046, 114.0316932 22.5736823, 114.0308671 22.5726396, 114.0308295 22.5725727, 114.0308197 22.5725119, 114.0308358 22.5724252, 114.030876 22.5723683, 114.031006 22.5722828)",
8090185940,8090186010,0,72241845,residential,False,True,24.432,,"LINESTRING (114.0322708 22.5717593, 114.0323436 22.5715777, 114.0323297 22.571555)",
8090185940,8090185947,0,867935345,residential,False,True,69.376,,"LINESTRING (114.0322708 22.5717593, 114.032193 22.5717432, 114.0320804 22.5718271, 114.0320432 22.57186, 114.0320298 22.5719318, 114.031948 22.571995, 114.0317548 22.5720804)",
8090185947,8090185940,0,867935345,residential,False,False,69.376,,"LINESTRING (114.0317548 22.5720804, 114.031948 22.571995, 114.0320298 22.5719318, 114.0320432 22.57186, 114.0320804 22.5718271, 114.032193 22.5717432, 114.0322708 22.5717593)",
8090185988,2535936958,0,245770381,residential,False,True,86.7,梅亭路,"LINESTRING (114.0327496 22.5709501, 114.0320576 22.5705033)",
8090185988,8090185989,0,245770381,residential,False,False,7.196,梅亭路,"LINESTRING (114.0327496 22.5709501, 114.0327818 22.5709709, 114.0328071 22.5709871)",
8090185989,2529006271,0,245770381,residential,False,False,179.44500000000002,梅亭路,"LINESTRING (114.0328071 22.5709871, 114.0328601 22.571021, 114.0334988 22.5714292, 114.0340192 22.5716768, 114.0343172 22.571787)",
8090185989,8090185988,0,245770381,residential,False,True,7.196,梅亭路,"LINESTRING (114.0328071 22.5709871, 114.0327818 22.5709709, 114.0327496 22.5709501)",
8090185989,8090185939,0,867935342,tertiary,True,False,62.837999999999994,梅丽路,"LINESTRING (114.0328071 22.5709871, 114.0327299 22.5710803, 114.0326916 22.5711265, 114.0324352 22.5714359)",
8090186010,8090186011,0,72241845,residential,False,True,5.294,,"LINESTRING (114.0323297 22.571555, 114.0322966 22.5715185)",
8090186010,8090185940,0,72241845,residential,False,False,24.432,,"LINESTRING (114.0323297 22.571555, 114.0323436 22.5715777, 114.0322708 22.5717593)",
8090186010,2535937080,0,867935349,residential,True,False,159.63600000000002,,"LINESTRING (114.0323297 22.571555, 114.0322702 22.5716221, 114.03223 22.5716648, 114.0322032 22.5716896, 114.0321616 22.5717249, 114.03212 22.5717534, 114.0320724 22.5717812, 114.0320248 22.5718054, 114.0319721 22.5718313, 114.0310421 22.5722695, 114.031006 22.5722828)",1
8090186011,8090186010,0,72241845,residential,False,False,5.294,,"LINESTRING (114.0322966 22.5715185, 114.0323297 22.571555)",
8090186011,2535936972,0,867935350,residential,True,False,12.304,,"LINESTRING (114.0322966 22.5715185, 114.0323635 22.5714267)",
