u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,tunnel
2269570039,8071647109,0,1051282781,金地一路,tertiary,False,False,253.616,"LINESTRING (114.0332205 22.522716, 114.0312354 22.5237947, 114.0310934 22.5238742)",,,,
2269570039,2269570697,0,1051282781,金地一路,tertiary,False,True,191.77800000000002,"LINESTRING (114.0332205 22.522716, 114.0345028 22.5219718, 114.0348121 22.5218152)",,,,
2269570366,2269570871,0,217649987,金地一路,tertiary,False,False,86.24,"LINESTRING (114.034988 22.5203556, 114.0347542 22.5211005)",,,,
2269570366,2269583678,0,1016793119,,unclassified,False,True,46.32899999999999,"LINESTRING (114.034988 22.5203556, 114.0349056 22.5203229, 114.0345796 22.5201789)",,,,
2269570697,2269583676,0,217650944,沙尾路,tertiary,False,True,8.718,"LINESTRING (114.0348121 22.5218152, 114.0348802 22.521862)",,,,
2269570697,2269570871,0,217649987,金地一路,tertiary,False,True,79.82600000000001,"LINESTRING (114.0348121 22.5218152, 114.0347631 22.521361, 114.0347474 22.5211932, 114.0347483 22.5211484, 114.0347542 22.5211005)",,,,
2269570697,2269570039,0,1051282781,金地一路,tertiary,False,False,191.77800000000002,"LINESTRING (114.0348121 22.5218152, 114.0345028 22.5219718, 114.0332205 22.522716)",,,,
2269570871,2269570366,0,217649987,金地一路,tertiary,False,True,86.24,"LINESTRING (114.0347542 22.5211005, 114.034988 22.5203556)",,,,
2269570871,2269570697,0,217649987,金地一路,tertiary,False,False,79.82600000000001,"LINESTRING (114.0347542 22.5211005, 114.0347483 22.5211484, 114.0347474 22.5211932, 114.0347631 22.521361, 114.0348121 22.5218152)",,,,
2269570871,9608302698,0,1044157179,,residential,False,True,97.408,"LINESTRING (114.0347542 22.5211005, 114.0339807 22.5212941, 114.0339527 22.5212973, 114.033923 22.5212934, 114.0338468 22.5212514)",,,,
2269583663,2269583676,0,217650944,沙尾路,tertiary,False,False,165.733,"LINESTRING (114.0361949 22.5227261, 114.0348802 22.521862)",,,,
2269583663,6020564510,0,217650944,沙尾路,tertiary,False,True,113.658,"LINESTRING (114.0361949 22.5227261, 114.0366738 22.5230474, 114.0370902 22.5233268)",,,,
2269583663,9608302581,0,1044157157,沙尾步行街,residential,False,False,42.57899999999999,"LINESTRING (114.0361949 22.5227261, 114.0362705 22.5226226, 114.0363983 22.5224477, 114.0364268 22.5224087)",,,,
2269583676,2269570697,0,217650944,沙尾路,tertiary,False,False,8.718,"LINESTRING (114.0348802 22.521862, 114.0348121 22.5218152)",,,,
2269583676,2269583663,0,217650944,沙尾路,tertiary,False,True,165.733,"LINESTRING (114.0348802 22.521862, 114.0361949 22.5227261)",,,,
2269583677,2399038469,0,231534962,沙嘴东路,residential,False,False,75.915,"LINESTRING (114.0330318 22.5223839, 114.0334386 22.5218139)",,,,
2269583677,2269570039,0,231534962,沙嘴东路,residential,False,True,41.705,"LINESTRING (114.0330318 22.5223839, 114.0332205 22.522716)",,,,
2269583677,2399038473,0,1044157152,,residential,False,True,117.37,"LINESTRING (114.0330318 22.5223839, 114.032992 22.5223197, 114.0329558 22.5222777, 114.0329237 22.5222506, 114.0328879 22.5222389, 114.0328517 22.5222396, 114.0320813 22.5223894, 114.0320216 22.522401, 114.0319831 22.5224001)",,,,
2269583678,2399038489,0,231534962,沙嘴东路,residential,False,True,51.421,"LINESTRING (114.0345796 22.5201789, 114.0342989 22.5205618)",,,,
2269583678,2269570366,0,1016793119,,unclassified,False,False,46.32899999999999,"LINESTRING (114.0345796 22.5201789, 114.0349056 22.5203229, 114.034988 22.5203556)",,,,
2323527344,9660848465,0,223456857,,residential,False,False,440.3399999999999,"LINESTRING (114.0271351 22.5264821, 114.0271961 22.5264925, 114.0289918 22.5267988, 114.0300809 22.5270775, 114.0301316 22.5270866, 114.0301719 22.5270891, 114.0302097 22.5270853, 114.0302519 22.5270716, 114.030343 22.5270329, 114.0306371 22.5268935, 114.0309049 22.5267874, 114.0309372 22.5267773, 114.0309676 22.5267757, 114.030999 22.5267793, 114.0310237 22.5267909, 114.0310433 22.5268076, 114.0311536 22.5269849)",,,,
