u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
4129881168,7846277320,0,411275801,1,,unclassified,False,False,272.5559999999999,"LINESTRING (114.1326496 22.5138716, 114.1330504 22.5139929, 114.1331885 22.5140412, 114.1332606 22.5140758, 114.1333199 22.514134, 114.1333529 22.5141997, 114.1333801 22.5143484, 114.1333628 22.5148828, 114.1333913 22.5149691, 114.133432 22.5150492, 114.1334816 22.5151334, 114.1335477 22.5152003, 114.1336385 22.5152607, 114.1337239 22.5152923, 114.1338736 22.5153314, 114.1339067 22.5153494, 114.1339148 22.5153851, 114.1338906 22.515461, 114.1338133 22.5155592, 114.1337877 22.5155946)",
4129881181,4129881160,0,411275807,1,,residential,False,True,227.85200000000003,"LINESTRING (114.134299 22.5145609, 114.1344009 22.5142066, 114.1343794 22.5141187, 114.1345043 22.5138418, 114.1346108 22.5136948, 114.1346547 22.5136342, 114.134773 22.5134484, 114.1348474 22.5133126, 114.134871 22.5131488, 114.1348676 22.5131004, 114.1348626 22.5130567, 114.1348693 22.5130301, 114.1351641 22.5127511)",
4129882693,4129881168,0,93870001,2,,unclassified,False,False,260.124,"LINESTRING (114.1308191 22.5154683, 114.1312754 22.5151748, 114.1318735 22.5147081, 114.132451 22.514114, 114.1326496 22.5138716)",
4129882693,1091173484,0,93870001,2,,unclassified,False,True,454.93,"LINESTRING (114.1308191 22.5154683, 114.1307144 22.5155385, 114.1299709 22.5158866, 114.1291886 22.5161675, 114.1290403 22.5162117, 114.1285076 22.5163704, 114.1282593 22.5164048, 114.1280143 22.5164282, 114.1276307 22.5164329, 114.1274443 22.5163881, 114.126767 22.5163495, 114.1267104 22.5163702, 114.1266912 22.5163954, 114.1266558 22.5164454)",
4129882693,4129882719,0,411275805,1,,residential,False,False,220.10899999999998,"LINESTRING (114.1308191 22.5154683, 114.1313472 22.5156481, 114.1319829 22.5158649, 114.1323409 22.515928, 114.1326279 22.5159962, 114.1328532 22.5160767)",
4129882719,4129882693,0,411275805,1,,residential,False,True,220.10899999999998,"LINESTRING (114.1328532 22.5160767, 114.1326279 22.5159962, 114.1323409 22.515928, 114.1319829 22.5158649, 114.1313472 22.5156481, 114.1308191 22.5154683)",
4449493381,7892787440,0,"[845982013, 845982014]",1,,residential,False,True,190.50799999999998,"LINESTRING (114.1238485 22.5162186, 114.1231317 22.5160864, 114.1226454 22.5160232, 114.1225128 22.5160232, 114.1222483 22.5160767, 114.122102 22.5161023, 114.1220219 22.5161081)",
4995349522,1091173484,0,447922062,1,,residential,False,True,583.6010000000001,"LINESTRING (114.1323044 22.5169433, 114.1320695 22.5169183, 114.1317519 22.5168938, 114.1311767 22.5168439, 114.1307763 22.5168394, 114.1302111 22.5167887, 114.1294651 22.5167361, 114.1284711 22.5165558, 114.1272941 22.5164845, 114.1266558 22.5164454)",
4995356588,4129881160,0,255289394,1,,unclassified,False,False,318.824,"LINESTRING (114.1349332 22.515546, 114.1349538 22.5155042, 114.1349859 22.5153777, 114.1350163 22.5152607, 114.1350728 22.5150776, 114.1351854 22.5146762, 114.1351854 22.5143788, 114.1350996 22.5140765, 114.1350996 22.5139279, 114.135166 22.5137473, 114.1352401 22.5135451, 114.1352648 22.5133169, 114.1352577 22.5132553, 114.1352401 22.5131017, 114.1351641 22.5127511)",
4995356588,7846277320,0,"[411275801, 255289394, 840886086, 840886087]",1,,unclassified,False,True,163.52399999999997,"LINESTRING (114.1349332 22.515546, 114.134893 22.5156275, 114.1348288 22.515704, 114.1347105 22.5157851, 114.1346497 22.5158163, 114.1345719 22.5158335, 114.1345283 22.5158234, 114.1344722 22.5158048, 114.1343917 22.5157989, 114.1343224 22.5158048, 114.1341661 22.5158465, 114.1341226 22.5158525, 114.1338133 22.5158108, 114.1337391 22.5157914, 114.1337134 22.5157706, 114.1337157 22.5157415, 114.1337166 22.5157304, 114.133752 22.5156441, 114.1337877 22.5155946)",
