u,v,key,osmid,bridge,oneway,highway,reversed,length,lanes,ref,name,geometry,access,maxspeed
2376737497,8168061712,0,229035388,,False,residential,False,73.346,2,,金秋路,"LINESTRING (114.0616787 22.5268297, 114.0615903 22.5268297, 114.0613218 22.5268254, 114.0609647 22.5268197)",,
2376737510,7640444025,0,815147470,,False,residential,False,31.672,2,,龙秋三街,"LINESTRING (114.0620215 22.5271998, 114.0620769 22.5269196)",,
2376737510,2376737480,0,815147470,,False,residential,True,47.94,2,,龙秋三街,"LINESTRING (114.0620215 22.5271998, 114.0619352 22.5276235)",,
2376737510,2376737475,0,229035386,,False,living_street,False,152.564,,,,"LINESTRING (114.0620215 22.5271998, 114.0621426 22.5271991, 114.0625974 22.5271964, 114.0626611 22.5272142, 114.0627033 22.5272482, 114.0627257 22.5272928, 114.0627331 22.5273337, 114.0627189 22.5279698)",permissive,
2376751145,2376751150,0,229037019,,False,residential,True,227.03,,,,"LINESTRING (114.0615108 22.5232942, 114.0621748 22.5234193, 114.0622396 22.5231807, 114.062253 22.5230816, 114.062245 22.5229776, 114.0621967 22.5228339, 114.0620971 22.5226761, 114.0619844 22.5225571, 114.0614909 22.5224258)",,
2376751145,2376751183,0,229037020,,False,residential,False,176.192,2,,龙秋一街,"LINESTRING (114.0615108 22.5232942, 114.06151 22.5233511, 114.0615065 22.5234003, 114.0614973 22.5234539, 114.061482 22.5235175, 114.0611282 22.5248365)",,
2376751145,8168061649,0,229037020,,False,residential,True,128.024,2,,龙秋一街,"LINESTRING (114.0615108 22.5232942, 114.0615063 22.5232397, 114.0614934 22.5231792, 114.0614776 22.5231311, 114.0614537 22.5230798, 114.061422 22.5230315, 114.0613901 22.5229913, 114.0613527 22.5229523, 114.0612975 22.5229101, 114.0612374 22.5228736, 114.0611821 22.5228461, 114.0611198 22.5228223, 114.0610417 22.5228012, 114.0606739 22.5227158, 114.0606292 22.5227058, 114.0605771 22.5226938)",,
2376751150,2376751145,0,229037019,,False,residential,False,227.03,,,,"LINESTRING (114.0614909 22.5224258, 114.0619844 22.5225571, 114.0620971 22.5226761, 114.0621967 22.5228339, 114.062245 22.5229776, 114.062253 22.5230816, 114.0622396 22.5231807, 114.0621748 22.5234193, 114.0615108 22.5232942)",,
2376751183,8169270272,0,229037018,,False,residential,True,111.251,,,,"LINESTRING (114.0611282 22.5248365, 114.0610807 22.5248256, 114.0610333 22.5248146, 114.0601883 22.5246201, 114.0601281 22.5246068, 114.0600773 22.5245943)",,
2376751183,8869177764,0,229037020,,False,residential,False,122.548,2,,龙秋一街,"LINESTRING (114.0611282 22.5248365, 114.0608737 22.5257854, 114.0608593 22.5258391, 114.0608402 22.525906)",,
2376751183,2376751145,0,229037020,,False,residential,True,176.192,2,,龙秋一街,"LINESTRING (114.0611282 22.5248365, 114.061482 22.5235175, 114.0614973 22.5234539, 114.0615065 22.5234003, 114.06151 22.5233511, 114.0615108 22.5232942)",,
2380017690,2380017781,0,1036811491,,False,residential,False,18.459,,,,"LINESTRING (114.0663957 22.526058, 114.0662283 22.5261184)",,
2380017692,2380017696,0,229396279,,False,residential,False,150.602,,,,"LINESTRING (114.0658675 22.5287541, 114.0663568 22.528759, 114.0673337 22.5287688)",,
2380017696,2380017692,0,229396279,,False,residential,True,150.602,,,,"LINESTRING (114.0673337 22.5287688, 114.0663568 22.528759, 114.0658675 22.5287541)",,
2380017696,8148654288,0,"[818397512, 229396278]",,False,residential,True,420.44399999999996,2,,福港路,"LINESTRING (114.0673337 22.5287688, 114.0673996 22.5288519, 114.0674311 22.52892, 114.0674427 22.5289933, 114.0674363 22.529678, 114.0674264 22.529711, 114.0674089 22.5297489, 114.0673704 22.5297785, 114.0673309 22.5297895, 114.065872 22.5297664, 114.0652049 22.5297558, 114.064424 22.5297435)",,
2380017696,2380017781,0,1036811492,,False,residential,False,316.219,2,,福港路,"LINESTRING (114.0673337 22.5287688, 114.0672737 22.528684, 114.067244 22.528626, 114.0667346 22.5272992, 114.0663644 22.5263924, 114.0662283 22.5261184)",,
2380017730,9021794154,0,974372191,,True,primary,False,188.85999999999999,,,,"LINESTRING (114.0658896 22.5247851, 114.065752 22.5245401, 114.0656711 22.5244043, 114.0651224 22.5235595, 114.06496 22.5233204)",,
2380017730,5435015992,0,998954265,,True,tertiary,False,149.486,,,,"LINESTRING (114.0658896 22.5247851, 114.0658224 22.5246124, 114.0658178 22.5245492, 114.0658212 22.5245166, 114.0658272 22.5244775, 114.0658397 22.5244412, 114.0658566 22.5244008, 114.0658789 22.524367, 114.0659071 22.524338, 114.0659415 22.5243114, 114.0659685 22.5242923, 114.0663239 22.5241172, 114.0663933 22.5240913, 114.0664832 22.5240598, 114.0667488 22.5239667)",,
2380017739,1441786491,0,1036811493,,True,tertiary,False,121.434,,,国花路,"LINESTRING (114.0621352 22.5201459, 114.0612611 22.5208812)",,
2380017739,2380017781,0,814622117,,False,residential,True,789.421,2,,福港路,"LINESTRING (114.0621352 22.5201459, 114.0624317 22.520477, 114.0626806 22.5207551, 114.0629768 22.5210928, 114.0637616 22.5220968, 114.0646719 22.5233078, 114.0653505 22.5243509, 114.0662283 22.5261184)",,
2380017781,2380017690,0,1036811491,,False,residential,True,18.459,,,,"LINESTRING (114.0662283 22.5261184, 114.0663957 22.526058)",,
2380017781,7673048432,0,229396273,,False,residential,False,113.649,,,,"LINESTRING (114.0662283 22.5261184, 114.0660935 22.5261595, 114.0660238 22.5261669, 114.0651296 22.5261503)",,
2380017781,2380017739,0,814622117,,False,residential,False,789.4209999999999,2,,福港路,"LINESTRING (114.0662283 22.5261184, 114.0653505 22.5243509, 114.0646719 22.5233078, 114.0637616 22.5220968, 114.0629768 22.5210928, 114.0626806 22.5207551, 114.0624317 22.520477, 114.0621352 22.5201459)",,
2380017781,2380017696,0,1036811492,,False,residential,True,316.219,2,,福港路,"LINESTRING (114.0662283 22.5261184, 114.0663644 22.5263924, 114.0667346 22.5272992, 114.067244 22.528626, 114.0672737 22.528684, 114.0673337 22.5287688)",,
