u,v,key,osmid,oneway,highway,reversed,length,name,geometry,bridge,ref,lanes,tunnel,access,maxspeed
4549561622,2535929907,0,246568331,False,residential,True,298.963,,"LINESTRING (114.0248096 22.5692203, 114.0253626 22.5690539, 114.0249732 22.5679893, 114.0253963 22.5679003, 114.0260555 22.5677493)",,,,,,
4899192475,1116534795,0,498524800,True,trunk_link,False,164.089,,"LINESTRING (114.0263041 22.5610626, 114.0279001 22.5609893)",,,,,,
4899192475,549760818,0,45569111,True,trunk,False,615.941,北环大道,"LINESTRING (114.0263041 22.5610626, 114.0273678 22.5612665, 114.028791 22.5615194, 114.0299072 22.5616942, 114.0322062 22.562047)",,G107,,,,
4899192477,4899192478,0,498524801,True,trunk_link,False,135.005,,"LINESTRING (114.0338312 22.5619385, 114.0349847 22.5625211)",,,,,,
4899192477,2530244828,0,545681203,True,primary,False,24.485,北环大道辅路,"LINESTRING (114.0338312 22.5619385, 114.0340656 22.5619789)",,,,,,
4899192478,549760035,0,45569111,True,trunk,False,108.824,北环大道,"LINESTRING (114.0349847 22.5625211, 114.0355974 22.5626291, 114.035807 22.5626653, 114.036026 22.5627031)",,G107,,,,
4899192479,549760038,0,1055022177,True,primary,False,69.894,北环大道辅路,"LINESTRING (114.0374404 22.5628719, 114.0381103 22.5629833)",,,,,,
4899192521,8096944002,0,996207974,True,primary,False,33.855,北环大道辅路,"LINESTRING (114.0334932 22.562784, 114.0331695 22.5627262)",,,1,,,
5273689796,2529006269,0,1052079689,True,primary,False,228.252,北环大道辅路,"LINESTRING (114.0290855 22.5621094, 114.0269029 22.5617206)",,,1,,,
5273689796,549760714,0,545681190,True,trunk_link,False,204.441,,"LINESTRING (114.0290855 22.5621094, 114.0287737 22.5620139, 114.0286978 22.5619834, 114.0278689 22.5616388, 114.0277236 22.5615839, 114.0272441 22.5614138)",,,,,,
5273698027,1342323056,0,119460305,False,tertiary,True,97.537,,"LINESTRING (114.0357226 22.5634195, 114.0355062 22.5642736)",,,2,,,
5273698027,8889975123,0,961016498,True,tertiary,False,32.614,,"LINESTRING (114.0357226 22.5634195, 114.0357278 22.5633597, 114.0357225 22.5632927, 114.0357013 22.5632437, 114.0356659 22.5632061, 114.0356077 22.5631722)",,,1,,,
5273698041,1476460499,0,25680279,True,trunk_link,False,111.902,,"LINESTRING (114.0225639 22.5605471, 114.0214815 22.5604304)",,,1,,,
7977050982,7983578077,0,1051842291,True,secondary,False,6.55,景田路,"LINESTRING (114.0333527 22.5611389, 114.0333881 22.5610899)",,,,,,40
7977050982,7983583688,0,856212673,True,residential,False,219.253,景田北八街,"LINESTRING (114.0333527 22.5611389, 114.0332199 22.5611151, 114.0323847 22.560978, 114.0322953 22.5609022, 114.0314267 22.56077, 114.0312808 22.5607381)",,,,,,20
7977050984,7977056027,0,996625971,True,secondary,False,124.224,景田路,"LINESTRING (114.0337037 22.560904, 114.0332825 22.5614754, 114.0331775 22.5616179, 114.0331617 22.5616457, 114.0331525 22.5616742, 114.0331478 22.5616998, 114.0331471 22.5617261, 114.0331502 22.561751, 114.0331559 22.5617695, 114.0331636 22.5617851, 114.0331729 22.5618004, 114.0331837 22.5618125, 114.0331968 22.5618232, 114.0332102 22.5618314, 114.0332243 22.5618378)",,,,,,40
7977050984,7977056042,0,1067522788,True,tertiary,False,19.742,景田北街,"LINESTRING (114.0337037 22.560904, 114.0336377 22.5609279, 114.0335751 22.5609275, 114.0335197 22.5609094)",,,,,,40
7977056027,4899192477,0,545681203,True,primary,False,63.317,北环大道辅路,"LINESTRING (114.0332243 22.5618378, 114.0338312 22.5619385)",,,,,,
7977056037,7977056027,0,545681203,True,primary,False,48.451,北环大道辅路,"LINESTRING (114.0327599 22.5617607, 114.0332243 22.5618378)",,,,,,
