u,v,key,osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,ref,tunnel
1342322910,5194055705,0,119460311,False,,侨香四道,residential,True,165.462,,"LINESTRING (114.0039809 22.5516573, 114.005592 22.5516769)",,
1342322910,7097821764,0,759798957,True,2,安托山六路,tertiary,False,175.871,,"LINESTRING (114.0039809 22.5516573, 114.0039506 22.5532387)",,
1342322923,7987093017,0,780036970,False,,润田路,residential,True,198.34799999999998,,"LINESTRING (114.0100024 22.5504711, 114.0100263 22.5505132, 114.0100479 22.5505577, 114.0100693 22.5506136, 114.010634 22.552156)",,
1342322955,9907679236,0,971043219,True,2,安托山六路,tertiary,False,56.122,,"LINESTRING (114.0039175 22.5549534, 114.0038593 22.5549523, 114.0038612 22.5548136, 114.0038666 22.5545014)",,
1342322955,3969348508,0,"[1080952212, 971043220]",True,2,"['北环大道', '安托山六路']",tertiary,False,248.544,,"LINESTRING (114.0039175 22.5549534, 114.0039462 22.5553619, 114.0039602 22.5554136, 114.0039812 22.5554628, 114.0040176 22.5555058, 114.0040762 22.5555385, 114.0056839 22.5561398)",,
1342323032,5194055705,0,119460311,False,,侨香四道,residential,False,238.571,,"LINESTRING (114.0079151 22.5516934, 114.007134 22.5516879, 114.005592 22.5516769)",,
1342323032,7283540943,0,245744490,True,,,tertiary_link,False,49.345,,"LINESTRING (114.0079151 22.5516934, 114.007989 22.5516439, 114.0080188 22.5516108, 114.0080404 22.5515766, 114.0080546 22.5515304, 114.0080573 22.5514832, 114.0080572 22.5514239, 114.0080476 22.551302)",,
1476460437,1116534644,0,96336937,True,,北环大道辅路,primary,False,209.804,,"LINESTRING (114.0097008 22.5582083, 114.0107057 22.5585642, 114.0115995 22.5589047)",,
1476460438,4899192524,0,393911167,True,,北环大道,trunk,False,68.664,,"LINESTRING (114.0087135 22.5581577, 114.008105 22.5579017)",G107,
2429850300,8285753018,0,633620744,True,,侨香路,primary,False,73.187,,"LINESTRING (114.018546 22.5555888, 114.0178335 22.555573)",,
2429850300,2528808162,0,234860383,False,,四号路,residential,False,97.004,,"LINESTRING (114.018546 22.5555888, 114.0185593 22.5556649, 114.0185402 22.55646)",,
