u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
2885151994,2286531663,0,996519931,True,,宝岗路,secondary,False,167.9,"LINESTRING (114.1067981 22.5622673, 114.1068055 22.5621444, 114.1068082 22.5621004, 114.1068524 22.5615164, 114.1068762 22.5612674, 114.1069061 22.56103, 114.106945 22.560764)",,
2885232813,2885232830,0,996519930,True,,梅园路,secondary,False,63.434,"LINESTRING (114.1069865 22.5665881, 114.106812 22.5665153, 114.1066327 22.5664315, 114.1064388 22.5663255)",,
2885232814,2788962642,0,274121645,True,,梨园路,tertiary,False,8.775,"LINESTRING (114.1016319 22.5647176, 114.1016304 22.5647965)",2,
2885232814,3068385818,0,1050747509,True,,梅园路,secondary,False,57.402,"LINESTRING (114.1016319 22.5647176, 114.1021909 22.5647226)",,
2885232829,3068385773,0,284819541,False,,,tertiary,False,8.801,"LINESTRING (114.1016631 22.563137, 114.1015774 22.5631357)",,
2885232829,3068386752,0,284819541,False,,,tertiary,True,61.152,"LINESTRING (114.1016631 22.563137, 114.1022586 22.563143)",,
2885232829,2885232814,0,1050747508,True,,梨园路,tertiary,False,175.784,"LINESTRING (114.1016631 22.563137, 114.1016319 22.5647176)",2,
2885232830,3842643304,0,957577725,False,,,residential,False,385.07,"LINESTRING (114.1064388 22.5663255, 114.1064082 22.5697884)",,
2885232830,3068097583,0,996519930,True,,梅园路,secondary,False,296.92100000000005,"LINESTRING (114.1064388 22.5663255, 114.1059244 22.5660416, 114.1041679 22.5649976, 114.1039942 22.5648997)",,
2885232833,2885232841,0,996519934,True,,梅园路,secondary,False,10.88,"LINESTRING (114.1073004 22.5665958, 114.1074043 22.566615)",,
2885232833,9201401411,0,996519931,True,,宝岗路,secondary,False,52.464000000000006,"LINESTRING (114.1073004 22.5665958, 114.1072643 22.5664755, 114.1072513 22.5664322, 114.107164 22.5661411)",,
2885232841,2286531669,0,1050747499,True,,宝岗路,secondary,False,9.558,"LINESTRING (114.1074043 22.566615, 114.1074329 22.5666968)",,
2885232841,7088478122,0,284629282,True,,梅园路,secondary,False,67.858,"LINESTRING (114.1074043 22.566615, 114.1078088 22.5666385, 114.1080071 22.5666397, 114.1080642 22.5666358)",,
2885232859,2286531669,0,284629277,True,,梅园路,secondary,False,36.272,"LINESTRING (114.1077856 22.566715, 114.1074329 22.5666968)",,
2885232859,7088478137,0,758944549,True,,,secondary_link,False,44.955,"LINESTRING (114.1077856 22.566715, 114.1077002 22.5667359, 114.1076413 22.5667584, 114.1075912 22.5667933, 114.1075579 22.5668338, 114.1075354 22.5668828, 114.1075241 22.5669311, 114.1075241 22.5669835)",,
3068068003,3068068022,0,302558528,False,,,residential,False,122.191,"LINESTRING (114.1173677 22.5635189, 114.1171199 22.5645937)",,
3068068003,3068084292,0,302558535,False,,洪湖二街,tertiary,False,81.545,"LINESTRING (114.1173677 22.5635189, 114.1181509 22.5636402)",,
3068068003,3068084280,0,302558535,False,,洪湖二街,tertiary,True,30.164,"LINESTRING (114.1173677 22.5635189, 114.117078 22.563474)",,
3068068004,3068068010,0,302558530,False,,,residential,True,121.878,"LINESTRING (114.1169808 22.5622936, 114.1172941 22.5612364)",,
3068068004,3068084263,0,302558533,False,,,residential,False,83.227,"LINESTRING (114.1169808 22.5622936, 114.116195 22.5621102)",,
3068068004,3068084325,0,"[302558533, 302560110]",False,,,residential,True,77.347,"LINESTRING (114.1169808 22.5622936, 114.1172003 22.5623446, 114.1171035 22.5628229)",,
3068068006,3068068044,0,302558529,False,,洪湖五街,residential,False,27.53,"LINESTRING (114.1158032 22.5620187, 114.1157391 22.5622591)",,
3068068006,3068084266,0,302558529,False,,洪湖五街,residential,True,71.335,"LINESTRING (114.1158032 22.5620187, 114.1159694 22.5613958)",,
3068068006,3068084263,0,302558533,False,,,residential,True,41.498,"LINESTRING (114.1158032 22.5620187, 114.116195 22.5621102)",,
3068068008,3068068020,0,302558537,False,,,residential,True,27.942,"LINESTRING (114.1181906 22.5628331, 114.1182864 22.5625979)",,
3068068009,3068068011,0,302558535,False,,洪湖二街,tertiary,False,129.291,"LINESTRING (114.1142399 22.5630307, 114.115481 22.5632267)",,
3068068009,2883526616,0,284630252,True,,洪湖路,tertiary,False,474.08399999999995,"LINESTRING (114.1142399 22.5630307, 114.1141623 22.5633531, 114.1141296 22.5635153, 114.1141199 22.563611, 114.1141257 22.5637108, 114.1141548 22.5638113, 114.1141846 22.5639129, 114.1142406 22.5640174, 114.1143233 22.5641218, 114.1144119 22.5642088, 114.1145111 22.5642772, 114.1146647 22.5643536, 114.1148534 22.5644179, 114.1151658 22.5645044, 114.1152738 22.5645445, 114.115375 22.5645989, 114.1154651 22.564668, 114.1155568 22.5647515, 114.1156364 22.5648451, 114.1156934 22.5649384, 114.1157452 22.5650757, 114.1161614 22.5664437)",,
3068068010,3068068004,0,302558530,False,,,residential,False,121.878,"LINESTRING (114.1172941 22.5612364, 114.1169808 22.5622936)",,
3068068010,3068068021,0,302558530,False,,,residential,True,106.75,"LINESTRING (114.1172941 22.5612364, 114.1179975 22.5605295)",,
3068068010,3068084313,0,302560103,False,,,residential,False,87.256,"LINESTRING (114.1172941 22.5612364, 114.1164694 22.5610473)",,
3068068011,3068068017,0,302558529,False,,洪湖五街,residential,False,46.899,"LINESTRING (114.115481 22.5632267, 114.1153743 22.5636368)",,
3068068011,3068084279,0,302558529,False,,洪湖五街,residential,True,72.468,"LINESTRING (114.115481 22.5632267, 114.1156498 22.5625939)",,
3068068011,3068084293,0,302558535,False,,洪湖二街,tertiary,False,130.553,"LINESTRING (114.115481 22.5632267, 114.1167349 22.5634209)",,
3068068011,3068068009,0,302558535,False,,洪湖二街,tertiary,True,129.291,"LINESTRING (114.115481 22.5632267, 114.1142399 22.5630307)",,
3068068012,9199716097,0,302558531,False,,洪湖一街,residential,False,36.234,"LINESTRING (114.118823 22.5612422, 114.1191025 22.5614411)",,
3068068012,3068068021,0,302558531,False,,洪湖一街,residential,True,116.41,"LINESTRING (114.118823 22.5612422, 114.1186702 22.5611334, 114.118241 22.5607916, 114.1179975 22.5605295)",,
3068068012,3068068020,0,302558537,False,,,residential,False,160.617,"LINESTRING (114.118823 22.5612422, 114.1183778 22.5624214, 114.1182864 22.5625979)",,
3068068013,9199716097,0,302558531,False,,洪湖一街,residential,True,13.3,"LINESTRING (114.1192051 22.5615141, 114.1191025 22.5614411)",,
