u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes
2312634477,8272800623,0,222282172,False,residential,False,39.492,"LINESTRING (114.0982454 22.5758683, 114.0986229 22.5758002)",,,,
2312634477,2312634475,0,894257283,False,tertiary,False,389.22700000000003,"LINESTRING (114.0982454 22.5758683, 114.0982265 22.5754525, 114.0982153 22.5753137, 114.0982012 22.5751856, 114.0981848 22.5750785, 114.0981654 22.5749874, 114.098143 22.5749113, 114.098118 22.5748414, 114.0980851 22.5747586, 114.098051 22.5746836, 114.09802 22.574618, 114.0979742 22.5745357, 114.0979309 22.5744738, 114.0978773 22.5744058, 114.0974324 22.5738981, 114.0973216 22.5737858, 114.0971882 22.5736559, 114.0970469 22.5735255, 114.0968832 22.5733766, 114.0967735 22.5732877, 114.0967087 22.5732426, 114.0966439 22.5732017, 114.0963575 22.5730428)",,金湖路,,
2312634477,8272791974,0,1050682034,False,tertiary,True,132.57000000000002,"LINESTRING (114.0982454 22.5758683, 114.098294 22.576939, 114.0983019 22.5770193, 114.0983077 22.5770589)",,金湖路,,
2312654050,8272800736,0,1055022167,True,secondary,False,209.32000000000002,"LINESTRING (114.0989531 22.5757946, 114.0989707 22.5758998, 114.0992839 22.5774636, 114.0992936 22.5775122, 114.0993205 22.5776462)",,红岗路,,
2323494854,8280321588,0,223453068,False,residential,False,136.51100000000002,"LINESTRING (114.0917329 22.5729791, 114.09195 22.572233, 114.0920581 22.5718467, 114.0920726 22.5717922)",,,,
2323494857,2312634414,0,223453063,False,residential,True,174.012,"LINESTRING (114.0873232 22.5735151, 114.0875559 22.5729098, 114.0875801 22.5727711, 114.0874483 22.5719985)",,,,
2323494858,8280341145,0,996247141,False,residential,False,5.205,"LINESTRING (114.0931716 22.5702529, 114.0931725 22.5702997)",,泥岗村北街,,2
2323494858,3842643133,0,894257284,True,tertiary,False,56.989,"LINESTRING (114.0931716 22.5702529, 114.0931964 22.5702527, 114.093222 22.5702514, 114.0932433 22.5702498, 114.0932722 22.5702463, 114.0933003 22.5702419, 114.093716 22.5701578)",,金碧路,,
2323494866,8280341145,0,996247140,True,tertiary,False,128.189,"LINESTRING (114.0943573 22.5700322, 114.0943396 22.570082, 114.0932882 22.5702914, 114.0932422 22.5702963, 114.0931725 22.5702997)",,金碧路,,2
2323494873,8272800653,0,223453064,False,residential,True,142.409,"LINESTRING (114.0934735 22.5735225, 114.0939217 22.5723105)",,,,
2700790246,8272791974,0,222960002,False,residential,True,222.545,"LINESTRING (114.0965628 22.577914, 114.0972044 22.5771483, 114.0972655 22.5771115, 114.0973398 22.5770912, 114.0981137 22.5770691, 114.0983077 22.5770589)",,,,
2787061149,8887790538,0,"[960931283, 794405947, 794405934]",True,tertiary_link,False,426.0560000000001,"LINESTRING (114.0838542 22.5708493, 114.0838853 22.5708066, 114.0839044 22.5707583, 114.0839168 22.5707099, 114.0839205 22.5706608, 114.0839151 22.5706152, 114.0838969 22.5705584, 114.0838699 22.570501, 114.0838309 22.5704596, 114.0837863 22.5704289, 114.0837364 22.5704131, 114.0836676 22.5704148, 114.0835906 22.5704284, 114.0835163 22.5704532, 114.0834407 22.5704916, 114.0826839 22.5710318, 114.0826459 22.571067, 114.0826103 22.5711063, 114.0825795 22.5711465, 114.0825524 22.5711885, 114.0825296 22.5712319, 114.0825117 22.5712749, 114.0825004 22.5713178, 114.0824952 22.571352, 114.0824937 22.5713886, 114.0824957 22.571429, 114.0825002 22.5714695, 114.0825087 22.571506, 114.0825192 22.5715341, 114.0825391 22.5715754, 114.0825587 22.5716105, 114.0831932 22.5728093, 114.0832141 22.5728395, 114.0832405 22.5728696, 114.0832669 22.5728989, 114.0832987 22.5729352)",,,yes,
2787061286,8887741070,0,996207930,True,primary,False,186.67399999999998,"LINESTRING (114.0818871 22.5724442, 114.0816629 22.5725164, 114.0814393 22.5725834, 114.0812049 22.5726478, 114.0809849 22.5726989, 114.0807549 22.5727476, 114.0805051 22.5727956, 114.0802733 22.5728266, 114.0801261 22.5728467)",,北环大道辅路,,
3012449807,4127126162,0,297370086,False,residential,False,73.52600000000001,"LINESTRING (114.0994683 22.5721356, 114.0994572 22.5722095, 114.0994656 22.5723882, 114.0994442 22.5724278, 114.0994066 22.57246, 114.0993396 22.5724823, 114.0992832 22.5724873, 114.0990694 22.5725033)",,,,
3012450208,7192203684,0,1055022166,True,motorway,False,78.947,"LINESTRING (114.099006 22.5724382, 114.0989505 22.5727846, 114.0989073 22.5731422)",S29,清平高速,viaduct,
3842643133,2323494866,0,894257284,True,tertiary,False,67.34,"LINESTRING (114.093716 22.5701578, 114.0943236 22.5700349, 114.0943573 22.5700322)",,金碧路,,
3842643273,2312634475,0,380977108,False,residential,True,22.653,"LINESTRING (114.0962462 22.5732187, 114.0963575 22.5730428)",,,,
4127126162,3012449807,0,297370086,False,residential,True,73.52600000000001,"LINESTRING (114.0990694 22.5725033, 114.0992832 22.5724873, 114.0993396 22.5724823, 114.0994066 22.57246, 114.0994442 22.5724278, 114.0994656 22.5723882, 114.0994572 22.5722095, 114.0994683 22.5721356)",,,,
4127126162,6266729991,0,923403578,True,secondary,False,138.142,"LINESTRING (114.0990694 22.5725033, 114.0990427 22.5729998, 114.0990032 22.5734941, 114.0989718 22.573742)",,红岗路,,
6266729989,1945547375,0,"[669220272, 669220271]",True,secondary_link,False,323.345,"LINESTRING (114.0987752 22.5736553, 114.0989316 22.5724194, 114.0989584 22.5721857, 114.0989722 22.5720504, 114.0989821 22.5719063, 114.0989855 22.5717691, 114.0989816 22.5716327, 114.0989662 22.5714672, 114.0989333 22.5713282, 114.0988845 22.5711856, 114.0988108 22.5709967, 114.0986908 22.5708114)",,,yes,
6266729989,6266729991,0,1059457695,True,secondary_link,False,23.115,"LINESTRING (114.0987752 22.5736553, 114.0988695 22.5736703, 114.0989233 22.5736987, 114.0989718 22.573742)",,,,
6266729991,2312654050,0,923403578,True,secondary,False,228.968,"LINESTRING (114.0989718 22.573742, 114.0989403 22.5739906, 114.0989102 22.5743348, 114.0988895 22.5746875, 114.0988848 22.5748474, 114.0988815 22.5750225, 114.0988906 22.5752255, 114.0989156 22.5754809, 114.0989268 22.5755791, 114.0989389 22.5756865, 114.0989531 22.5757946)",,红岗路,,
