u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,ref
2795062467,2795062415,0,260417755,False,,residential,False,258.891,"LINESTRING (114.155735 22.5615864, 114.1557123 22.5616381, 114.1563203 22.562835, 114.1573493 22.5628541)",,,
2795062467,2795062472,0,274836836,False,,residential,True,134.407,"LINESTRING (114.155735 22.5615864, 114.1547726 22.5611433, 114.1548149 22.5609312)",,,
2795062472,2795062481,0,274836829,False,,residential,True,114.941,"LINESTRING (114.1548149 22.5609312, 114.1558234 22.5613797)",,,
2795062472,2795062382,0,274836836,False,,residential,True,24.523,"LINESTRING (114.1548149 22.5609312, 114.1548581 22.5607143)",,,
2795062472,2795062467,0,274836836,False,,residential,False,134.407,"LINESTRING (114.1548149 22.5609312, 114.1547726 22.5611433, 114.155735 22.5615864)",,,
2795062480,9014079879,0,46829132,True,罗沙仙湖立交,primary_link,False,46.937,"LINESTRING (114.1573286 22.5621314, 114.1573251 22.5617093)",,,
2795062480,2795062607,0,274836832,False,,residential,True,190.762,"LINESTRING (114.1573286 22.5621314, 114.1572349 22.5620994, 114.157188 22.5620571, 114.156791 22.5614429, 114.1559523 22.5610989)",,,
2795062481,2795062467,0,260417755,False,,residential,False,24.712,"LINESTRING (114.1558234 22.5613797, 114.155735 22.5615864)",,,
2795062481,2659084359,0,260417755,False,,residential,True,21.792,"LINESTRING (114.1558234 22.5613797, 114.1559013 22.5611974)",,,
2795062481,2795062472,0,274836829,False,,residential,False,114.941,"LINESTRING (114.1558234 22.5613797, 114.1548149 22.5609312)",,,
2795062607,2659084359,0,260417755,False,,residential,False,12.14,"LINESTRING (114.1559523 22.5610989, 114.1559013 22.5611974)",,,
2795062607,598153589,0,260417755,False,,residential,True,92.912,"LINESTRING (114.1559523 22.5610989, 114.1561924 22.560635, 114.1562641 22.5605339, 114.1564167 22.5603912)",,,
2795062607,2795062480,0,274836832,False,,residential,False,190.762,"LINESTRING (114.1559523 22.5610989, 114.156791 22.5614429, 114.157188 22.5620571, 114.1572349 22.5620994, 114.1573286 22.5621314)",,,
3537597388,598153437,0,347453893,False,,residential,True,569.923,"LINESTRING (114.1559988 22.5645132, 114.1558674 22.565063, 114.1559935 22.56592, 114.1564548 22.5660785, 114.1564841 22.5663739, 114.1565396 22.5664507, 114.1567183 22.5664749, 114.1569001 22.5664575, 114.1570717 22.5662197, 114.1570637 22.5650482, 114.1569617 22.5647712, 114.1571192 22.5643373, 114.1571361 22.5643036, 114.1571657 22.5642697, 114.1572 22.5642398, 114.1572442 22.5642143, 114.1572852 22.5642009, 114.1573254 22.5641949, 114.1573913 22.5641947)",,,
8042216098,598153437,0,996937218,True,莲塘路,tertiary,False,9.288,"LINESTRING (114.1574587 22.5642504, 114.1573913 22.5641947)",,,
8042216098,2663269111,0,46829130,True,鹏兴路,tertiary,False,270.704,"LINESTRING (114.1574587 22.5642504, 114.1574573 22.5643918, 114.1574568 22.5644382, 114.15742 22.5665689, 114.157418 22.5666846)",,,
8042216129,598153453,0,46829118,False,,residential,True,119.005,"LINESTRING (114.1584374 22.5642598, 114.1584189 22.5653299)",,,
8042216129,8042216131,0,46829118,False,,residential,False,6.183,"LINESTRING (114.1584374 22.5642598, 114.1584377 22.5642397, 114.1584383 22.5642042)",,,
8042216129,8042216098,0,996937218,True,莲塘路,tertiary,False,100.502,"LINESTRING (114.1584374 22.5642598, 114.1576217 22.564253, 114.1574587 22.5642504)",,,
8042216130,8042216098,0,46829130,True,鹏兴路,tertiary,False,5.927,"LINESTRING (114.1574593 22.5641971, 114.1574587 22.5642504)",,,
8042216130,8042216131,0,996937220,True,莲塘路,tertiary,False,100.533,"LINESTRING (114.1574593 22.5641971, 114.1576252 22.5641957, 114.1584383 22.5642042)",,,
8042216131,598153471,0,46829118,False,,residential,False,65.035,"LINESTRING (114.1584383 22.5642042, 114.1584483 22.5636194)",,,
8042216131,8042216129,0,46829118,False,,residential,True,6.183,"LINESTRING (114.1584383 22.5642042, 114.1584377 22.5642397, 114.1584374 22.5642598)",,,
9014079879,598153586,0,46829132,True,罗沙仙湖立交,primary_link,False,61.792,"LINESTRING (114.1573251 22.5617093, 114.157302 22.5614754, 114.1572892 22.5613763, 114.1572748 22.5612995, 114.1572537 22.5612363, 114.1572149 22.5611682)",,,
9014079879,598153525,0,974023679,True,,primary_link,False,31.327,"LINESTRING (114.1573251 22.5617093, 114.1573371 22.5616794, 114.1573518 22.5616595, 114.157371 22.5616417, 114.1573988 22.5616318, 114.1574196 22.5616275, 114.157445 22.5616282, 114.1574742 22.5616339, 114.157502 22.5616481, 114.157522 22.5616752, 114.1575367 22.5617131)",1,,
9014079913,598153518,0,260467644,True,,trunk_link,False,102.667,"LINESTRING (114.1598329 22.5624253, 114.1590466 22.561855)",,,
9014079913,598153537,0,1054988459,True,罗沙路辅路,primary,False,171.498,"LINESTRING (114.1598329 22.5624253, 114.1582956 22.5618225)",,,
