u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge
2552479992,2552479841,0,248452022,False,,residential,True,18.882,"LINESTRING (114.0050946 22.5642651, 114.0052779 22.5642787)",,,,
5053179212,2535930072,0,780036984,True,,tertiary,False,256.13800000000003,"LINESTRING (114.0089231 22.5600493, 114.0087712 22.5602773, 114.0081468 22.5612144, 114.0080535 22.5613457, 114.0079541 22.5614695, 114.0075415 22.5619641)",,安托山九路,,
5053181223,5053181309,0,517912081,False,,residential,False,130.929,"LINESTRING (114.0111544 22.5661719, 114.0123603 22.5657893)",,莲塘尾二路,,
5053181223,5053181284,0,517912081,False,,residential,True,174.307,"LINESTRING (114.0111544 22.5661719, 114.0095432 22.5666655)",,莲塘尾二路,,
5053181223,5053181274,0,545681209,False,,residential,True,112.447,"LINESTRING (114.0111544 22.5661719, 114.0108301 22.565206)",,莲塘尾一路,,
5053181223,5053181447,0,517912097,False,,residential,False,276.554,"LINESTRING (114.0111544 22.5661719, 114.0112131 22.566206, 114.01128 22.5662251, 114.0113619 22.5662328, 114.0115134 22.566229, 114.0115746 22.5662346, 114.0116296 22.5662515, 114.0116755 22.566279, 114.0117112 22.566314, 114.0120843 22.5668208, 114.0120975 22.5668608, 114.0120975 22.5668973, 114.0120962 22.5669315, 114.0120796 22.5669657, 114.0119278 22.5671506, 114.0119163 22.567391, 114.0116918 22.5678221, 114.0116497 22.5678587, 114.0115948 22.5678822, 114.0115553 22.5678964, 114.0115042 22.5679034, 114.0114787 22.5679034)",,,,
5053181226,2535930072,0,517912183,False,,residential,True,47.646,"LINESTRING (114.0078995 22.5622367, 114.0075415 22.5619641)",,莲塘尾一路,,
5053181226,2552479842,0,517912058,False,,unclassified,False,386.979,"LINESTRING (114.0078995 22.5622367, 114.0077126 22.5625298, 114.0076814 22.5626055, 114.0076701 22.5626773, 114.0076681 22.562772, 114.0076618 22.5628891, 114.0076458 22.5629695, 114.0076127 22.5630294, 114.0075698 22.5630806, 114.0075053 22.5631264, 114.0074436 22.5631469, 114.0073385 22.5631549, 114.0069631 22.5631498, 114.0068687 22.5631533, 114.0067554 22.5631777, 114.0063701 22.5633277, 114.006287 22.5633556, 114.0061963 22.5633661, 114.0060452 22.5633521, 114.0058714 22.5633137, 114.0057052 22.5632823, 114.0055277 22.5632754, 114.0053842 22.5633277, 114.0052444 22.563394, 114.0050933 22.5634463, 114.0049686 22.5634463, 114.0049081 22.5634387)",,正尾路,,
5053181226,5053181275,0,517912183,False,,residential,False,392.671,"LINESTRING (114.0078995 22.5622367, 114.0086572 22.5628238, 114.0087683 22.5629022, 114.0088835 22.5629693, 114.0090106 22.5630338, 114.009154 22.5630934, 114.0092892 22.5631417, 114.009751 22.5633148, 114.009895 22.5633681, 114.0100158 22.563421, 114.0101305 22.5634833, 114.0102472 22.5635528, 114.0103558 22.5636335, 114.0104333 22.5637063, 114.0105291 22.5638021, 114.0106036 22.5638918, 114.010666 22.5639759, 114.0107159 22.5640469, 114.0107617 22.5641368, 114.0107993 22.5642304, 114.0108287 22.564339)",,莲塘尾一路,,
5053181252,2552479842,0,517912058,False,,unclassified,True,393.825,"LINESTRING (114.0018762 22.564018, 114.0019928 22.5641328, 114.0020898 22.5642221, 114.0026074 22.5644088, 114.0027198 22.56435, 114.0028091 22.5642607, 114.0030946 22.563719, 114.0034787 22.5632802, 114.003608 22.563255, 114.0037798 22.5632671, 114.003881 22.5632797, 114.0048289 22.5634289, 114.0049081 22.5634387)",,正尾路,,
