u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,tunnel
8169270312,8453450336,0,1097607721,新洲路,tertiary,True,False,8.027,"LINESTRING (114.0383799 22.5156856, 114.0383546 22.5156173)",2,,
8185629238,7701171911,0,996181391,新洲路,secondary,True,False,8.196,"LINESTRING (114.038457 22.5156496, 114.038494 22.5157149)",3,,
8185629238,8453450336,0,1097607720,新洲路,tertiary,True,False,11.115,"LINESTRING (114.038457 22.5156496, 114.0383546 22.5156173)",2,,
8185629258,8071647053,0,223456775,,residential,True,False,241.44299999999998,"LINESTRING (114.0387027 22.5162298, 114.0386551 22.5161884, 114.0384692 22.5160694, 114.0384163 22.5160507, 114.0383704 22.5160412, 114.0383203 22.5160436, 114.0382676 22.5160532, 114.0382141 22.5160692, 114.0376305 22.5163548, 114.0375292 22.5164087, 114.0366527 22.5168867)",,,
8185629258,10050110835,0,743544185,新洲路,secondary,True,False,60.854,"LINESTRING (114.0387027 22.5162298, 114.0385065 22.5158927, 114.038478 22.5158465, 114.0384182 22.5157498)",,,
8185629262,8071647053,0,217649929,金地十路,unclassified,False,False,229.617,"LINESTRING (114.0378023 22.5186577, 114.0369117 22.5172827, 114.0366527 22.5168867)",,,
8185629262,2399038447,0,217649987,金地一路,tertiary,False,False,183.60600000000002,"LINESTRING (114.0378023 22.5186577, 114.0364258 22.5194121, 114.0363273 22.5194481, 114.0362543 22.5194806)",,,
8185629262,9222802798,0,217649987,金地一路,tertiary,False,True,214.22,"LINESTRING (114.0378023 22.5186577, 114.0394566 22.5177497, 114.0395952 22.5176736)",,,
8453450279,598723922,0,875261250,香樟道,residential,False,True,9.554,"LINESTRING (114.0395697 22.5137282, 114.0395396 22.5136469)",3,,
8453450279,8453450310,0,"[910437400, 1054407530, 910437402]",桂花路,tertiary,True,False,168.135,"LINESTRING (114.0395697 22.5137282, 114.0393614 22.5138479, 114.0392013 22.5139342, 114.0390412 22.514015, 114.0388485 22.5140975, 114.0381475 22.5143617, 114.0380977 22.5143815)",2,yes,
8453450280,598723919,0,875261250,香樟道,residential,False,True,119.206,"LINESTRING (114.0394683 22.5134545, 114.0390929 22.5124401)",3,,
8453450280,598723922,0,875261250,香樟道,residential,False,False,22.612000000000002,"LINESTRING (114.0394683 22.5134545, 114.0395051 22.5135537, 114.0395118 22.513572, 114.0395396 22.5136469)",3,,
8453450280,8453450287,0,910437387,,tertiary_link,True,False,30.93,"LINESTRING (114.0394683 22.5134545, 114.0395073 22.5134877, 114.0395512 22.5135132, 114.0395906 22.5135285, 114.0396223 22.5135355, 114.0396533 22.5135393, 114.039691 22.513538, 114.0397422 22.5135302)",1,,
8453450284,598723922,0,"[1054407528, 910437403]",桂花路,tertiary,True,False,163.06099999999998,"LINESTRING (114.0381074 22.5142746, 114.0388039 22.5140005, 114.0389964 22.5139236, 114.0391429 22.5138557, 114.0392882 22.5137844, 114.0394166 22.513711, 114.0395396 22.5136469)",2,yes,
8453450298,598723919,0,875261250,香樟道,residential,False,False,62.201,"LINESTRING (114.038897 22.5119108, 114.0390929 22.5124401)",3,,
8453450298,598723917,0,910437386,香樟道,unclassified,True,False,28.87,"LINESTRING (114.038897 22.5119108, 114.0388593 22.5118567, 114.0388209 22.5117356, 114.0388198 22.5116665)",,,
8453450310,8453450367,0,910437391,,tertiary_link,True,False,10.486,"LINESTRING (114.0380977 22.5143815, 114.0380568 22.5142951)",1,,
8453450310,1783922441,0,910437400,桂花路,tertiary,True,False,34.275,"LINESTRING (114.0380977 22.5143815, 114.0380044 22.5144168, 114.0379489 22.5144364, 114.0378935 22.5144551, 114.0377834 22.514484)",2,,
8453450312,8453450367,0,910437401,桂花路,tertiary,True,False,20.339,"LINESTRING (114.0378763 22.5143703, 114.0380568 22.5142951)",2,,
8453450312,8453450353,0,910437404,,unclassified,True,False,24.131,"LINESTRING (114.0378763 22.5143703, 114.0379177 22.5143044, 114.0379424 22.5142596, 114.0379603 22.5142123, 114.0379692 22.5141727)",1,,
8453450317,1783922441,0,1044172922,,tertiary,False,False,10.135,"LINESTRING (114.0376988 22.5145309, 114.0377834 22.514484)",,,
8453450317,8453450336,0,"[910437389, 910437395, 910437397]",新洲路,tertiary,False,True,138.31900000000002,"LINESTRING (114.0376988 22.5145309, 114.037829 22.5147405, 114.0382608 22.5154632, 114.0383107 22.515546, 114.0383546 22.5156173)",2,,yes
8453450336,8453450317,0,"[910437397, 910437395, 910437389]",新洲路,tertiary,False,False,138.31900000000002,"LINESTRING (114.0383546 22.5156173, 114.0383107 22.515546, 114.0382608 22.5154632, 114.037829 22.5147405, 114.0376988 22.5145309)",2,,yes
8453450353,1783922296,0,910437388,,unclassified,False,False,450.352,"LINESTRING (114.0379692 22.5141727, 114.0379849 22.5140111, 114.0379821 22.5139573, 114.0379687 22.5139035, 114.0378917 22.5136883, 114.0362215 22.511071, 114.0359167 22.5106411)",,,
8453450353,8453450284,0,910437405,,unclassified,True,False,19.198999999999998,"LINESTRING (114.0379692 22.5141727, 114.0380187 22.514238, 114.0380333 22.5142525, 114.0380516 22.514263, 114.0380733 22.5142708, 114.0381074 22.5142746)",1,,
8453450367,8453450284,0,910437401,桂花路,tertiary,True,False,5.676,"LINESTRING (114.0380568 22.5142951, 114.0381074 22.5142746)",2,,
8482605802,8482608327,0,46898392,广兰道,unclassified,True,False,8.021,"LINESTRING (114.0397507 22.5104845, 114.0397323 22.5104144)",,,
8482605802,8482608339,0,913146947,市花路,tertiary,True,False,132.59500000000003,"LINESTRING (114.0397507 22.5104845, 114.0396267 22.5105134, 114.0395859 22.5105229, 114.0391854 22.5106108, 114.0386546 22.5107273, 114.0386136 22.5107366, 114.0384957 22.5107633)",2,,
8482608338,8482608339,0,916588755,香樟道,unclassified,True,False,7.755,"LINESTRING (114.0384713 22.5106973, 114.0384957 22.5107633)",,,
8482608338,8482608327,0,910437367,市花路,tertiary,True,False,133.29999999999998,"LINESTRING (114.0384713 22.5106973, 114.0385924 22.5106688, 114.0395687 22.5104511, 114.0396077 22.5104424, 114.0397323 22.5104144)",2,,
8482608339,598724152,0,913146947,市花路,tertiary,True,False,164.949,"LINESTRING (114.0384957 22.5107633, 114.0383722 22.5107913, 114.0379388 22.5109036, 114.0370719 22.5111283, 114.0369441 22.5111364)",2,,
8482608339,598723917,0,916588755,香樟道,unclassified,True,False,105.82999999999998,"LINESTRING (114.0384957 22.5107633, 114.0385313 22.5108595, 114.0387657 22.5115377, 114.0388198 22.5116665)",,,
9222802798,8185629258,0,743544185,新洲路,secondary,True,False,184.875,"LINESTRING (114.0395952 22.5176736, 114.0387027 22.5162298)",,,
9222802798,8185629262,0,217649987,金地一路,tertiary,False,False,214.22,"LINESTRING (114.0395952 22.5176736, 114.0394566 22.5177497, 114.0378023 22.5186577)",,,
10050110835,8169270312,0,743544185,新洲路,secondary,True,False,8.151,"LINESTRING (114.0384182 22.5157498, 114.0383799 22.5156856)",,,
10050110835,8071647039,0,824751296,福荣路,tertiary,True,False,219.3,"LINESTRING (114.0384182 22.5157498, 114.0382882 22.5158097, 114.0382332 22.5158372, 114.0366974 22.5166517, 114.036563 22.5167253)",2,,
