u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ref,lanes
3066529949,3066529959,0,1008380378,False,,residential,True,77.231,"LINESTRING (114.1343563 22.5670422, 114.1344189 22.5670196, 114.1344685 22.5670136, 114.1345087 22.5670161, 114.1345463 22.5670359, 114.1348842 22.5674382)",,
3066529956,6401920492,0,564227353,True,爱国路辅路,primary,False,30.884,"LINESTRING (114.1335074 22.564143, 114.1333198 22.5639259)",,1
3066529956,3066529130,0,302394751,False,,residential,True,265.203,"LINESTRING (114.1335074 22.564143, 114.1331113 22.5645987, 114.1328645 22.5648711, 114.1326119 22.5650921, 114.1323335 22.5652957, 114.1316576 22.5657901)",,
3066529957,3066529102,0,996321278,True,爱国路,trunk,False,33.542,"LINESTRING (114.1359766 22.5668195, 114.1357722 22.5665842)",G107,4
3066529957,3066529115,0,302394753,False,,residential,True,58.861999999999995,"LINESTRING (114.1359766 22.5668195, 114.1359087 22.5668873, 114.1358439 22.566977, 114.1358118 22.5670562, 114.1358068 22.5671598, 114.1358434 22.5672966)",,
3066529959,3066529102,0,302394738,False,,residential,False,143.20499999999998,"LINESTRING (114.1348842 22.5674382, 114.1351322 22.5672323, 114.1350558 22.5671424, 114.1351156 22.5670967, 114.1354622 22.5668318, 114.1356055 22.5667173, 114.1357722 22.5665842)",,
3066529959,3066529992,0,302394738,False,,residential,True,179.87599999999998,"LINESTRING (114.1348842 22.5674382, 114.1342284 22.5678684, 114.1347715 22.5685852)",,
3066529959,3066529949,0,1008380378,False,,residential,False,77.231,"LINESTRING (114.1348842 22.5674382, 114.1345463 22.5670359, 114.1345087 22.5670161, 114.1344685 22.5670136, 114.1344189 22.5670196, 114.1343563 22.5670422)",,
3066529964,3066530005,0,288609714,True,爱国路,trunk,False,43.078,"LINESTRING (114.1360556 22.5667344, 114.1361807 22.5668794, 114.1362221 22.5669268, 114.1363181 22.5670366)",G107,
3066529964,9761601796,0,302394741,True,,trunk_link,False,59.707,"LINESTRING (114.1360556 22.5667344, 114.1361326 22.5667763, 114.1362247 22.5667983, 114.1363217 22.5668051, 114.1364137 22.566795, 114.136513 22.5667673, 114.1366031 22.5667206)",,
3066529985,3066529992,0,302394748,False,罗湖新泰街,residential,False,62.434,"LINESTRING (114.1344336 22.569052, 114.1347715 22.5685852)",,
3066529985,3066530010,0,302394754,False,,residential,True,289.142,"LINESTRING (114.1344336 22.569052, 114.1342754 22.569109, 114.1340737 22.5691665, 114.1339154 22.5691962, 114.1337282 22.5692006, 114.132945 22.5691982, 114.1328291 22.5692061, 114.1327224 22.5692378, 114.1325421 22.56932, 114.1323345 22.5689966, 114.1320921 22.5686285)",,
3066529988,3066529092,0,302394742,False,,residential,True,113.632,"LINESTRING (114.1337765 22.5648786, 114.1345883 22.5655731)",,
3066529988,3066529131,0,302394750,False,,residential,False,29.579,"LINESTRING (114.1337765 22.5648786, 114.1339419 22.5647276, 114.1339834 22.5646936)",,
3066529988,3066529945,0,302394750,False,,residential,True,215.19600000000003,"LINESTRING (114.1337765 22.5648786, 114.1333025 22.5652748, 114.1331542 22.5653987, 114.133004 22.5655242, 114.1328503 22.5656526, 114.1327143 22.5657663, 114.1322226 22.5661772)",,
3066529989,3066530007,0,685048784,True,沿河北路辅路,primary,False,13.487,"LINESTRING (114.1364813 22.5672236, 114.1363947 22.5673148)",S360,
3066529989,9199902866,0,972309927,True,爱国路,trunk,False,28.198,"LINESTRING (114.1364813 22.5672236, 114.1365712 22.5673265, 114.1366537 22.567421)",G107;S360,
