u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,bridge,lanes,access,tunnel
2795062400,2795062558,0,274836835,False,,,residential,False,215.14300000000003,"LINESTRING (114.1507347 22.555852, 114.1506564 22.5557588, 114.1505414 22.5556219, 114.150441 22.5555231, 114.150284 22.5553965, 114.1502464 22.5553445, 114.1502264 22.5552605, 114.1502237 22.5551565, 114.1502425 22.5547181, 114.1502398 22.5540938)",,,,,
2795062400,2795062490,0,996635475,False,,延芳路,secondary,False,135.816,"LINESTRING (114.1507347 22.555852, 114.1510746 22.5551351, 114.1512126 22.5547152)",30,,,,
2795062400,2374907506,0,996635475,False,,延芳路,secondary,True,92.25999999999999,"LINESTRING (114.1507347 22.555852, 114.1504104 22.5564907, 114.1503532 22.5566032)",30,,,,
2795062490,9202584179,0,996635475,False,,延芳路,secondary,False,15.67,"LINESTRING (114.1512126 22.5547152, 114.1512769 22.5545874)",30,,,,
2795062490,2795062508,0,274836824,False,,,residential,True,124.34199999999998,"LINESTRING (114.1512126 22.5547152, 114.1510967 22.5545593, 114.1510323 22.5544082, 114.1509721 22.5541112, 114.1508809 22.5537867, 114.1508326 22.5536653)",,,,,
2795062490,2795062400,0,996635475,False,,延芳路,secondary,True,135.816,"LINESTRING (114.1512126 22.5547152, 114.1510746 22.5551351, 114.1507347 22.555852)",30,,,,
2795062508,2795062383,0,274836808,False,,,residential,False,381.73499999999996,"LINESTRING (114.1508326 22.5536653, 114.1504651 22.5538288, 114.1503364 22.5538709, 114.1502571 22.5538707, 114.1501954 22.5538533, 114.1501567 22.5538115, 114.150115 22.5536973, 114.1497731 22.5526869, 114.1497758 22.552615, 114.1497919 22.5525605, 114.1498294 22.5525159, 114.1498923 22.5524909, 114.1500145 22.5524515, 114.1500628 22.5524069, 114.1500843 22.5523401, 114.1501111 22.5522757, 114.150146 22.5522286, 114.1502076 22.5521865, 114.1504383 22.5520874, 114.1505188 22.5520701, 114.15061 22.552075, 114.1506797 22.5521023, 114.1507575 22.5521444, 114.1508231 22.5522011, 114.1509533 22.552402)",,,,,
2795062508,2795062383,1,274836824,False,,,residential,True,142.096,"LINESTRING (114.1508326 22.5536653, 114.1507936 22.5533529, 114.1508004 22.5532194, 114.150933 22.5525603, 114.1509533 22.552402)",,,,,
2795062508,2795062490,0,274836824,False,,,residential,False,124.34199999999998,"LINESTRING (114.1508326 22.5536653, 114.1508809 22.5537867, 114.1509721 22.5541112, 114.1510323 22.5544082, 114.1510967 22.5545593, 114.1512126 22.5547152)",,,,,
2795062558,2795062400,0,274836835,False,,,residential,True,215.14299999999997,"LINESTRING (114.1502398 22.5540938, 114.1502425 22.5547181, 114.1502237 22.5551565, 114.1502264 22.5552605, 114.1502464 22.5553445, 114.150284 22.5553965, 114.150441 22.5555231, 114.1505414 22.5556219, 114.1506564 22.5557588, 114.1507347 22.555852)",,,,,
2795062562,2795062366,0,228827370,False,,延芳路,secondary,True,245.59500000000003,"LINESTRING (114.1498888 22.550944, 114.1500094 22.5510331, 114.1501422 22.5511036, 114.1502752 22.5511634, 114.1506123 22.5512738, 114.1507488 22.551322, 114.1509049 22.5514023, 114.1510222 22.5514848, 114.1511467 22.5516158, 114.1512245 22.551726, 114.151291 22.5518481, 114.1513309 22.5519724, 114.1513461 22.5521132, 114.1513428 22.5522383, 114.1513257 22.5524203)",30,,,,
2795062562,2795062570,0,274836825,False,,,residential,False,34.932,"LINESTRING (114.1498888 22.550944, 114.1498858 22.5510396, 114.1498655 22.5512573)",,,,,
2795062570,2795062562,0,274836825,False,,,residential,True,34.932,"LINESTRING (114.1498655 22.5512573, 114.1498858 22.5510396, 114.1498888 22.550944)",,,,,
2921643594,588498193,0,"[646651083, 996625951]",True,S360,"['罗沙公路', '罗沙公路排洪渠桥']",trunk,False,61.870999999999995,"LINESTRING (114.1433124 22.5554657, 114.1438271 22.5554148, 114.1439114 22.5554058)",,yes,,,
2921643599,5678021992,0,595870099,True,S360,沿河北路,trunk,False,13.598,"LINESTRING (114.140501 22.5593748, 114.1405291 22.5594943)",,,,,
2921645924,2921645947,0,288610548,False,,,unclassified,True,62.188,"LINESTRING (114.1423775 22.5553198, 114.1420537 22.5553546, 114.1419732 22.5553743, 114.1419222 22.555414, 114.1418686 22.555523)",,,,,
2921645947,2921643594,0,"[288610545, 288610539]",True,,罗沙路辅路,unclassified,False,148.665,"LINESTRING (114.1418686 22.555523, 114.1424383 22.5554773, 114.1427109 22.5554537, 114.142819 22.5554488, 114.14291 22.5554487, 114.1430032 22.5554536, 114.1432343 22.5554632, 114.1433124 22.5554657)",,yes,,,
2921645947,2921645924,0,288610548,False,,,unclassified,False,62.188,"LINESTRING (114.1418686 22.555523, 114.1419222 22.555414, 114.1419732 22.5553743, 114.1420537 22.5553546, 114.1423775 22.5553198)",,,,,
3175001956,5471167569,0,97234776,False,,新秀路,unclassified,True,92.793,"LINESTRING (114.1449104 22.5505609, 114.1458047 22.5506803)",,,,,
3175001956,2657841795,0,394141076,False,,新秀路,tertiary,False,185.807,"LINESTRING (114.1449104 22.5505609, 114.1431167 22.5503417)",,,,,
3175001956,2760252048,0,271072782,False,,经二路,tertiary,False,223.32700000000003,"LINESTRING (114.1449104 22.5505609, 114.144921 22.551525, 114.1448995 22.5515919, 114.1445575 22.5521104, 114.1444807 22.5522313, 114.1444194 22.5523367, 114.1443682 22.5524333)",,,,,
5240900732,5518262413,0,845672999,True,,,motorway_link,False,101.837,"LINESTRING (114.154693 22.5589005, 114.155425 22.5582826)",,yes,1,no,
5471167569,3175001956,0,97234776,False,,新秀路,unclassified,False,92.793,"LINESTRING (114.1458047 22.5506803, 114.1449104 22.5505609)",,,,,
5471167569,6408190802,0,97234776,False,,新秀路,unclassified,True,65.401,"LINESTRING (114.1458047 22.5506803, 114.1464326 22.5507786)",,,,,
5471167569,2760252093,0,271072777,False,,,residential,False,146.541,"LINESTRING (114.1458047 22.5506803, 114.1458195 22.5519981)",,,,,
5485780612,2921643594,0,"[646651088, 283052695]",True,S360,"['罗沙公路', '罗沙公路东深供水管桥']",trunk,False,128.809,"LINESTRING (114.1420674 22.5556061, 114.1424404 22.5555708, 114.1433124 22.5554657)",,yes,,,
5518262413,5658988307,0,"[542052396, 593103677, 845672998]",True,,,trunk,False,430.33500000000004,"LINESTRING (114.155425 22.5582826, 114.1555748 22.5581635, 114.155801 22.5579739, 114.1558709 22.5578901, 114.1559238 22.5578062, 114.1559584 22.5577165, 114.1559675 22.5576131, 114.1559505 22.5575041, 114.1558925 22.5573605, 114.1558222 22.5572424, 114.1550162 22.5560134, 114.154985 22.5559658, 114.1541957 22.556442, 114.1539796 22.5565794)",,yes,"['1', '2', '4']",no,
5658988307,5240900727,0,542052393,True,,,motorway_link,False,362.39899999999994,"LINESTRING (114.1539796 22.5565794, 114.1549239 22.5576646, 114.1552145 22.558029, 114.1553074 22.5582675, 114.1553132 22.5584327, 114.1552834 22.5586038, 114.1552286 22.5587573, 114.1551165 22.5589196, 114.1547614 22.5592538)",,yes,2,no,
5658988307,9202584158,0,"[542052394, 871811724]",True,,,trunk_link,False,320.835,"LINESTRING (114.1539796 22.5565794, 114.1537524 22.5562995, 114.1532838 22.5557209, 114.153117 22.5555851, 114.1529351 22.5554776, 114.152229 22.5551932, 114.1516658 22.5549734, 114.1515245 22.5549526)",,yes,2,no,
5836240000,7846021711,0,260469918,True,,罗沙路辅路,trunk_link,False,22.884,"LINESTRING (114.1528672 22.5572994, 114.1530806 22.5573587)",,,,,
5836240000,2659534558,0,996635479,True,S360,罗沙公路,trunk,False,275.77,"LINESTRING (114.1528672 22.5572994, 114.1548915 22.5589291)",,,,,
6315228991,5485780612,0,1050532725,True,S360,罗沙公路,trunk,False,62.635,"LINESTRING (114.1414658 22.555699, 114.1417302 22.5556587, 114.1420674 22.5556061)",,,,,
6384755787,1778957421,0,"[681776035, 681776036, 1054988461, 1054988462]",True,S360,"['罗沙公路边防通道桥', '罗沙公路']",trunk,False,647.234,"LINESTRING (114.1506102 22.5563697, 114.1503653 22.5563168, 114.1496648 22.5561572, 114.1489955 22.5560185, 114.1483136 22.5558777, 114.1467711 22.5556006, 114.1465269 22.555558, 114.1463278 22.5555341, 114.146089 22.5555171, 114.1458102 22.5555131, 114.1455309 22.5555101, 114.1452346 22.5555202, 114.1447566 22.5555385, 114.1444056 22.5555614)",,yes,,,
6384755794,6384755787,0,996635457,True,S360,罗沙公路,trunk,False,49.586,"LINESTRING (114.1510724 22.5564988, 114.1506102 22.5563697)",,,,,
6384755794,6507282459,0,681776040,True,,,trunk_link,False,100.243,"LINESTRING (114.1510724 22.5564988, 114.1509736 22.5565309, 114.1509084 22.556571, 114.1508491 22.5566209, 114.1507129 22.5567536, 114.1506813 22.5567792, 114.1506527 22.5567992, 114.1506317 22.5568116, 114.1506072 22.5568207, 114.150578 22.5568283, 114.1505535 22.556831, 114.1505284 22.5568299, 114.1505033 22.556824, 114.150477 22.5568154, 114.1504519 22.5568024, 114.150425 22.5567828, 114.1502794 22.556672)",,,,,
6384755794,8240661889,0,886227040,True,,,trunk_link,False,247.05599999999998,"LINESTRING (114.1510724 22.5564988, 114.1506977 22.5568216, 114.1506692 22.5568436, 114.1506383 22.5568609, 114.1506081 22.5568727, 114.1505726 22.5568801, 114.1505418 22.5568826, 114.1505123 22.556882, 114.1504787 22.5568795, 114.1504459 22.5568739, 114.150407 22.5568634, 114.1502998 22.5568254, 114.1502653 22.5568156, 114.1502264 22.5568107, 114.1501901 22.5568131, 114.150152 22.556827, 114.1501158 22.556845, 114.1499715 22.5569324, 114.1499388 22.5569537, 114.1499061 22.5569774, 114.1498642 22.5570096, 114.1498253 22.5570423, 114.1497908 22.5570741, 114.1496499 22.5572187, 114.1496173 22.5572554, 114.1495846 22.557298, 114.1495496 22.5573492, 114.1495192 22.5573982, 114.1494934 22.5574489, 114.149401 22.5576331, 114.149384 22.5576595, 114.1493563 22.5576851, 114.1493062 22.5577249)",,,,,
6408190802,5471167569,0,97234776,False,,新秀路,unclassified,False,65.401,"LINESTRING (114.1464326 22.5507786, 114.1458047 22.5506803)",,,,,
6507282443,6507282444,0,"[693116538, 166444179, 166444180]",True,,经二路,tertiary,False,87.464,"LINESTRING (114.1463269 22.5549856, 114.1463215 22.5551888, 114.1462487 22.5556329, 114.1462066 22.5557613)",,,2,,yes
6507282443,6514668391,0,693874513,True,,侨兴路,residential,False,254.56199999999998,"LINESTRING (114.1463269 22.5549856, 114.1460198 22.5549375, 114.1439572 22.5550387, 114.1438554 22.5550437)",,,2,,
6507282444,6919349645,0,693116534,False,,经二路,tertiary,False,143.463,"LINESTRING (114.1462066 22.5557613, 114.1461817 22.5559385, 114.1461606 22.5560828, 114.1461446 22.5561675, 114.1461239 22.5562536, 114.1460832 22.5563965, 114.1458531 22.5570044)",,,2,,
6507282444,6507282443,0,"[693116536, 693116537, 693116535]",True,,经二路,tertiary,False,87.70599999999999,"LINESTRING (114.1462066 22.5557613, 114.1461945 22.5556262, 114.1462688 22.5551768, 114.1463269 22.5549856)",,,2,,yes
6507282459,2374907506,0,996635475,False,,延芳路,secondary,False,10.768,"LINESTRING (114.1502794 22.556672, 114.1503532 22.5566032)",30,,,,
6507282459,8240661889,0,996937235,False,,延芳路,secondary,True,161.26899999999998,"LINESTRING (114.1502794 22.556672, 114.1501929 22.5567255, 114.1500927 22.5567701, 114.1499767 22.5568179, 114.1498739 22.5568755, 114.1497997 22.5569233, 114.1496886 22.5570075, 114.1495896 22.5571105, 114.1495159 22.5572277, 114.1493062 22.5577249)",,,,,
6514668391,2760252165,0,97234470,False,,罗芳路,secondary,False,294.052,"LINESTRING (114.1438554 22.5550437, 114.1434505 22.5524258)",40,,,,
6514668391,588498193,0,996625952,False,,罗芳路,secondary,True,40.672,"LINESTRING (114.1438554 22.5550437, 114.1439114 22.5554058)",40,,,,
6919349645,1778957435,0,996625954,False,,延芳路,secondary,True,150.478,"LINESTRING (114.1458531 22.5570044, 114.1444255 22.5566991)",,,,,
6919349645,8240661889,0,288610549,False,,延芳路,secondary,False,718.1700000000001,"LINESTRING (114.1458531 22.5570044, 114.1459417 22.5570849, 114.1464972 22.5574057, 114.1477051 22.558085, 114.1478341 22.5581992, 114.1478986 22.558364, 114.1479237 22.5585257, 114.1479495 22.5593381, 114.1479717 22.5594781, 114.1480224 22.5595856, 114.1481139 22.559671, 114.1482088 22.559721, 114.148332 22.5597386, 114.1484586 22.5597337, 114.1485811 22.5597052, 114.1487016 22.5596529, 114.1490342 22.5594454, 114.1491157 22.5593718, 114.1491943 22.5592722, 114.1492345 22.5591796, 114.1492576 22.5590547, 114.1492635 22.5589321, 114.1492273 22.5580862, 114.1492439 22.5579361, 114.1492756 22.557812, 114.1493062 22.5577249)",,,,,
6919349645,6507282444,0,693116534,False,,经二路,tertiary,True,143.46300000000002,"LINESTRING (114.1458531 22.5570044, 114.1460832 22.5563965, 114.1461239 22.5562536, 114.1461446 22.5561675, 114.1461606 22.5560828, 114.1461817 22.5559385, 114.1462066 22.5557613)",,,2,,
7846021711,2659534466,0,260469918,True,,罗沙路辅路,trunk_link,False,200.828,"LINESTRING (114.1530806 22.5573587, 114.1532519 22.5574063, 114.1536829 22.5577162, 114.1539108 22.5578829, 114.1546193 22.5584532)",,,,,
7846021711,5518262413,0,"[840770976, 972415162]",True,,,"['motorway_link', 'trunk_link']",False,292.313,"LINESTRING (114.1530806 22.5573587, 114.1533039 22.5575273, 114.1543153 22.5582906, 114.1545574 22.5584845, 114.1546082 22.5585103, 114.1547373 22.5585245, 114.1548921 22.558512, 114.1551607 22.5584044, 114.155425 22.5582826)",,yes,1,no,
