u,v,key,osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes
7983583816,7983583815,0,856212685,True,景田北二街,residential,False,8.378,"LINESTRING (114.0325548 22.5563209, 114.0324979 22.5562669)",,
7983583816,7983583800,0,245962647,True,景田北四街,residential,False,258.37100000000004,"LINESTRING (114.0325548 22.5563209, 114.0324889 22.5563804, 114.0307762 22.5578366, 114.0307054 22.5578963)",,
7983583819,7983583822,0,856212686,True,景田北一街,residential,False,6.256,"LINESTRING (114.0322762 22.5560566, 114.0323221 22.5560196)",,
7983583819,7983583808,0,856212685,True,景田北二街,residential,False,135.065,"LINESTRING (114.0322762 22.5560566, 114.0314368 22.5552603, 114.031356 22.5551888)",,
7983583820,7983583819,0,856212685,True,景田北二街,residential,False,7.033,"LINESTRING (114.032324 22.5561019, 114.0322762 22.5560566)",,
7983583821,7983583813,0,245962635,True,景田北二街,residential,False,25.225,"LINESTRING (114.0323704 22.5560654, 114.0325418 22.5562279)",,
7983583821,7983583820,0,856212687,True,景田北一街,residential,False,6.259,"LINESTRING (114.0323704 22.5560654, 114.032324 22.5561019)",,
7983583822,7983583821,0,245962635,True,景田北二街,residential,False,7.109,"LINESTRING (114.0323221 22.5560196, 114.0323704 22.5560654)",,
7983583822,7983583856,0,"[856212689, 856212686, 245925446]",True,景田北一街,residential,False,231.69299999999998,"LINESTRING (114.0323221 22.5560196, 114.0323857 22.5559685, 114.0331736 22.5553607, 114.0332412 22.5553166, 114.0332662 22.5553063, 114.0332966 22.5553022, 114.0333291 22.5553028, 114.0333649 22.5553089, 114.033395 22.55532, 114.0339847 22.5558515, 114.0340413 22.5559026)",,
7983583829,7983583840,0,245925446,True,景田北一街,residential,False,81.859,"LINESTRING (114.0360688 22.55773, 114.0365812 22.5581919, 114.0366417 22.5582418)",,
7983583829,7983583864,0,856212691,True,欣园路,residential,False,142.861,"LINESTRING (114.0360688 22.55773, 114.0360291 22.557769, 114.0359778 22.5578194, 114.0350985 22.5586507)",,
7983583836,7985225969,0,245925446,True,景田北一街,residential,False,80.503,"LINESTRING (114.0371862 22.5585858, 114.0378568 22.5589608)",,
7983583836,2530612289,0,245962649,False,,residential,False,126.702,"LINESTRING (114.0371862 22.5585858, 114.036232 22.5593082)",,
7983583840,7977050978,0,245925446,True,景田北一街,residential,False,13.874,"LINESTRING (114.0366417 22.5582418, 114.036744 22.5583233)",,
7983583840,7985225897,0,996625975,True,景田路,secondary,False,148.01,"LINESTRING (114.0366417 22.5582418, 114.0366841 22.5581947, 114.0367182 22.5581525, 114.0369943 22.5577871, 114.0374724 22.5571543)",40,
7983583853,7983583855,0,958581834,True,景田北一街,residential,False,9.245,"LINESTRING (114.0340609 22.556002, 114.0339964 22.555944)",,
7983583853,7983583812,0,364729973,True,景田西路,tertiary,False,129.263,"LINESTRING (114.0340609 22.556002, 114.033997 22.5560608, 114.0332472 22.5567511, 114.0331694 22.5568227)",20,
7983583854,7983583853,0,364729973,True,景田西路,tertiary,False,6.508,"LINESTRING (114.0341058 22.5559607, 114.0340609 22.556002)",20,
7983583854,7983583861,0,245925446,True,景田北一街,residential,False,275.242,"LINESTRING (114.0341058 22.5559607, 114.0341692 22.5560178, 114.036024 22.5576896)",,
7983583855,7983583856,0,364729976,True,景田西路,tertiary,False,6.515,"LINESTRING (114.0339964 22.555944, 114.0340413 22.5559026)",20,
7983583855,7983583821,0,"[856212688, 958581834, 856212687]",True,景田北一街,residential,False,220.395,"LINESTRING (114.0339964 22.555944, 114.0339401 22.5558935, 114.0333713 22.5553828, 114.0333446 22.5553734, 114.0333193 22.555371, 114.0332848 22.5553721, 114.033255 22.5553806, 114.0332116 22.5554064, 114.0324354 22.5560143, 114.0323704 22.5560654)",,
7983583856,7983583854,0,245925446,True,景田北一街,residential,False,9.252,"LINESTRING (114.0340413 22.5559026, 114.0341058 22.5559607)",,
7983583856,7983578018,0,364729976,True,景田西路,tertiary,False,109.32900000000001,"LINESTRING (114.0340413 22.5559026, 114.0341227 22.5558276, 114.034766 22.5552347, 114.0347946 22.5552078)",20,
7983583861,7983583829,0,245925446,True,景田北一街,residential,False,6.43,"LINESTRING (114.036024 22.5576896, 114.0360688 22.55773)",,
7983583863,7983583866,0,856212685,True,景田北二街,residential,False,6.747,"LINESTRING (114.0350569 22.5586899, 114.0350099 22.5586475)",,
7983583863,7985225734,0,856212691,True,欣园路,residential,False,68.173,"LINESTRING (114.0350569 22.5586899, 114.0346415 22.5590827, 114.0346174 22.5591037, 114.0345908 22.5591264)",,
7983583864,7983583863,0,856212691,True,欣园路,residential,False,6.103,"LINESTRING (114.0350985 22.5586507, 114.0350569 22.5586899)",,
7983583866,7983583867,0,245962643,True,欣园路,residential,False,6.255,"LINESTRING (114.0350099 22.5586475, 114.0350524 22.5586072)",,
7983583866,7983583810,0,856212685,True,景田北二街,residential,False,277.158,"LINESTRING (114.0350099 22.5586475, 114.0349568 22.5585998, 114.0331259 22.5568627)",,
7983583867,7983583864,0,245962635,True,景田北二街,residential,False,6.768,"LINESTRING (114.0350524 22.5586072, 114.0350985 22.5586507)",,
7983583867,7983583861,0,245962643,True,欣园路,residential,False,142.708,"LINESTRING (114.0350524 22.5586072, 114.0358799 22.5578225, 114.0359829 22.5577275, 114.036024 22.5576896)",,
7985195267,7985195268,0,856409071,True,景田北三街,residential,False,9.092,"LINESTRING (114.0320479 22.5578551, 114.0319874 22.5577954)",,
7985195267,7983578044,0,364729973,True,景田西路,tertiary,False,105.70100000000001,"LINESTRING (114.0320479 22.5578551, 114.0319762 22.5579211, 114.0314078 22.5584444, 114.0313142 22.5585216)",20,
7985195268,7985225701,0,364729976,True,景田西路,tertiary,False,6.281,"LINESTRING (114.0319874 22.5577954, 114.0320307 22.5577555)",20,
7985195271,7985225708,0,856212683,True,景田北九街,residential,False,7.287,"LINESTRING (114.0330349 22.558841, 114.0330629 22.558823, 114.0330947 22.5588058)",20,
7985195271,7985195267,0,856409071,True,景田北三街,residential,False,149.408,"LINESTRING (114.0330349 22.558841, 114.0330178 22.5588302, 114.0330013 22.5588184, 114.0329858 22.5588061, 114.032971 22.5587932, 114.0325738 22.5583887, 114.0321187 22.557925, 114.0320479 22.5578551)",,
7985225701,7985225702,0,958581835,True,景田北三街,residential,False,9.094,"LINESTRING (114.0320307 22.5577555, 114.0320927 22.5578139)",,
7985225701,7983583809,0,364729976,True,景田西路,tertiary,False,149.84499999999997,"LINESTRING (114.0320307 22.5577555, 114.0320997 22.557692, 114.0329869 22.5568743, 114.0330636 22.5568036)",20,
7985225702,7985195267,0,364729973,True,景田西路,tertiary,False,6.492,"LINESTRING (114.0320927 22.5578139, 114.0320479 22.5578551)",20,
7985225702,7985225708,0,958581835,True,景田北三街,residential,False,151.07299999999998,"LINESTRING (114.0320927 22.5578139, 114.0321588 22.5578762, 114.0326208 22.5583493, 114.0330135 22.5587514, 114.0330437 22.5587751, 114.0330707 22.5587926, 114.0330947 22.5588058)",,
7985225708,7985225718,0,856212676,True,景田北九街,residential,False,6.638999999999999,"LINESTRING (114.0330947 22.5588058, 114.0330898 22.5588335, 114.0330815 22.5588642)",20,
7985225708,7985225745,0,958581835,True,景田北三街,residential,False,153.45100000000002,"LINESTRING (114.0330947 22.5588058, 114.0331178 22.5588173, 114.033142 22.5588277, 114.0331736 22.558838, 114.0332095 22.5588471, 114.0344367 22.5590597, 114.0344644 22.5590673, 114.0344879 22.5590752, 114.0345148 22.5590858, 114.03454 22.5590977, 114.0345492 22.5591026)",,
7985225718,7983583789,0,856212676,True,景田北九街,residential,False,110.23700000000001,"LINESTRING (114.0330815 22.5588642, 114.0330764 22.5588808, 114.0330715 22.5588941, 114.033066 22.5589067, 114.0330591 22.5589189, 114.0330507 22.5589294, 114.0323058 22.5595398)",20,
7985225718,7985195271,0,856409071,True,景田北三街,residential,False,5.442,"LINESTRING (114.0330815 22.5588642, 114.0330668 22.558858, 114.0330503 22.5588497, 114.0330349 22.558841)",,
7985225734,7985225735,0,856212691,True,欣园路,residential,False,5.416,"LINESTRING (114.0345908 22.5591264, 114.0345778 22.5591365, 114.034563 22.5591474, 114.0345497 22.5591569)",,
7985225734,7977056053,0,958581835,True,景田北三街,residential,False,62.959,"LINESTRING (114.0345908 22.5591264, 114.0346101 22.55914, 114.0346302 22.559156, 114.0346458 22.5591692, 114.0346584 22.5591812, 114.0349572 22.5594859, 114.0350117 22.5595373)",,
7985225735,7985225743,0,856409071,True,景田北三街,residential,False,2.417,"LINESTRING (114.0345497 22.5591569, 114.0345294 22.5591459)",,
7985225743,7985225745,0,245962643,True,欣园路,residential,False,5.2330000000000005,"LINESTRING (114.0345294 22.5591459, 114.0345374 22.5591254, 114.0345492 22.5591026)",,
7985225743,7985225718,0,856409071,True,景田北三街,residential,False,152.29100000000003,"LINESTRING (114.0345294 22.5591459, 114.0345086 22.559136, 114.034482 22.5591241, 114.0344588 22.5591153, 114.0344343 22.5591076, 114.0344097 22.5591019, 114.0331881 22.5588943, 114.0331606 22.5588883, 114.0331372 22.5588828, 114.0331169 22.5588769, 114.0330987 22.5588708, 114.0330815 22.5588642)",,
7985225745,7983583866,0,245962643,True,欣园路,residential,False,69.39,"LINESTRING (114.0345492 22.5591026, 114.0345639 22.5590798, 114.0345789 22.5590601, 114.0345984 22.5590377, 114.0350099 22.5586475)",,
7985225745,7985225734,0,958581835,True,景田北三街,residential,False,5.027,"LINESTRING (114.0345492 22.5591026, 114.0345667 22.559112, 114.0345908 22.5591264)",,
7985225749,7977056053,0,996625975,True,景田路,secondary,False,5.188,"LINESTRING (114.0349731 22.5595674, 114.0350117 22.5595373)",40,
7985225749,7985225735,0,856409071,True,景田北三街,residential,False,63.133,"LINESTRING (114.0349731 22.5595674, 114.0349205 22.5595164, 114.0346194 22.5592103, 114.0346033 22.5591958, 114.0345853 22.559181, 114.0345664 22.559168, 114.0345497 22.5591569)",,
7985225750,7985225749,0,856409071,True,景田北三街,residential,False,14.493,"LINESTRING (114.0350703 22.5596619, 114.0349731 22.5595674)",,
7985225768,2530612289,0,856409073,False,,residential,False,33.771,"LINESTRING (114.0360181 22.5590775, 114.036232 22.5593082)",,
7985225769,2530612340,0,856409073,False,,residential,True,57.531,"LINESTRING (114.036661 22.5597708, 114.0362966 22.5593778)",,
7985225821,7985225832,0,856212692,False,景田北一街,residential,True,85.054,"LINESTRING (114.0392782 22.5597318, 114.0386806 22.5594454, 114.0385613 22.559354)",,
7985225832,7985225821,0,856212692,False,景田北一街,residential,False,85.054,"LINESTRING (114.0385613 22.559354, 114.0386806 22.5594454, 114.0392782 22.5597318)",,
7985225886,7985225888,0,245925463,True,景田东路,residential,False,5.749,"LINESTRING (114.0393979 22.5581429, 114.0393657 22.5581852)",,
7985225888,7985225832,0,245925463,True,景田东路,residential,False,154.002,"LINESTRING (114.0393657 22.5581852, 114.0393234 22.5582467, 114.0386338 22.5592401, 114.0385613 22.559354)",,
7985225888,7985225898,0,856409080,True,景田东一街 Jingtian E 1st St,residential,False,211.948,"LINESTRING (114.0393657 22.5581852, 114.0392831 22.5581409, 114.0376823 22.5572675, 114.037588 22.5572167)",,
7985225897,7977050976,0,996625975,True,景田路,secondary,False,5.182,"LINESTRING (114.0374724 22.5571543, 114.0375013 22.5571161)",40,
7985225898,7985225897,0,856409080,True,景田东一街 Jingtian E 1st St,residential,False,13.75,"LINESTRING (114.037588 22.5572167, 114.0374724 22.5571543)",,
7985225898,7977050978,0,996625969,True,景田路,secondary,False,150.533,"LINESTRING (114.037588 22.5572167, 114.0371114 22.5578497, 114.0368327 22.5582197, 114.0367897 22.5582716, 114.036744 22.5583233)",40,
7985225899,7985225886,0,245929527,True,景田东一街 Jingtian E 1st St,residential,False,212.0,"LINESTRING (114.0376181 22.5571768, 114.037706 22.5572225, 114.0393081 22.5580955, 114.0393979 22.5581429)",,
7985225899,7985225898,0,996625969,True,景田路,secondary,False,5.407,"LINESTRING (114.0376181 22.5571768, 114.0376027 22.5571972, 114.037588 22.5572167)",40,
7985225969,7985225832,0,245925446,True,景田北一街,residential,False,84.529,"LINESTRING (114.0378568 22.5589608, 114.0378947 22.558982, 114.0384937 22.5593168, 114.0385613 22.559354)",,
7998551625,582492849,0,227875240,False,,residential,False,204.661,"LINESTRING (114.0243397 22.5537221, 114.0240016 22.5549526, 114.0239613 22.5550671, 114.0239379 22.5551323, 114.0239129 22.5552019, 114.0238954 22.5552705, 114.0238805 22.5553541, 114.0238771 22.5555075)",,
8081200355,7979256795,0,245925448,False,,residential,True,341.748,"LINESTRING (114.0341831 22.553844, 114.0338527 22.5535421, 114.0338141 22.5535, 114.0337943 22.553458, 114.0337857 22.5534131, 114.0337817 22.5533655, 114.0338376 22.5530762, 114.034248 22.5509538)",,
8401821746,8401821747,0,996207968,False,,residential,True,9.449,"LINESTRING (114.0354661 22.5530041, 114.0355563 22.5530209)",,
