u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,maxspeed,access,bridge,tunnel
7959603233,7959990681,0,"[1052079661, 853286966]",True,tertiary,False,216.536,"LINESTRING (114.0559741 22.5374236, 114.0559767 22.5372617, 114.0559987 22.5356469, 114.0559992 22.5356053, 114.0560011 22.5354764)",,中心五路,3,,,,
7959603233,7959602907,0,1052079653,True,secondary,False,79.515,"LINESTRING (114.0559741 22.5374236, 114.0561604 22.5374268, 114.0562139 22.5374276, 114.0567482 22.5374362)",,福华路,3,,,,
7959603239,7959603232,0,1050532719,True,secondary,False,170.38700000000003,"LINESTRING (114.0576308 22.5376029, 114.0569457 22.5375927, 114.0562153 22.5375815, 114.0561574 22.5375807, 114.055972 22.5375779)",,福华路,3,,,,
7959603240,6496420788,0,692087619,True,secondary_link,False,65.096,"LINESTRING (114.0575116 22.5374483, 114.0576354 22.5374337, 114.0576846 22.5374235, 114.0577329 22.5374068, 114.0577683 22.5373882, 114.057801 22.5373684, 114.0578302 22.537346, 114.0578494 22.5373284, 114.0578719 22.5373043, 114.0578891 22.5372818, 114.0579032 22.5372566, 114.0579828 22.5371208)",,,1,,,,
7959603240,7959990663,0,1052079653,True,secondary,False,47.948,"LINESTRING (114.0575116 22.5374483, 114.0577945 22.5374529, 114.057873 22.5374542, 114.0579784 22.5374556)",,福华路,3,,,,
7959603243,5834799157,0,617224830,True,secondary_link,False,50.853,"LINESTRING (114.0576146 22.5395426, 114.0576903 22.5395197, 114.0577278 22.539504, 114.0577685 22.539484, 114.0578007 22.5394684, 114.0578144 22.5394583, 114.0578375 22.5394373, 114.0578578 22.5394149, 114.0578801 22.539385, 114.0579013 22.5393406, 114.057955 22.5392431)",,,1,,,,
7959603243,7959932864,0,996208009,True,tertiary,False,34.574999999999996,"LINESTRING (114.0576146 22.5395426, 114.0577751 22.5395455, 114.0578344 22.5395471, 114.057951 22.5395533)",,福华一路,,,,,
7959603254,7959603255,0,1050532719,True,secondary,False,12.398,"LINESTRING (114.0513387 22.5375077, 114.051218 22.5375061)",,福华路,3,,,,
7959603254,7959603137,0,996208014,True,secondary,False,40.058,"LINESTRING (114.0513387 22.5375077, 114.0513359 22.5376772, 114.0513325 22.5378679)",,益田路,3,,,,
7959603255,7959603264,0,996752254,True,secondary,False,17.538,"LINESTRING (114.051218 22.5375061, 114.0512208 22.5373484)",,益田路,3,,,,
7959603255,7959603111,0,1050532719,True,secondary,False,40.274,"LINESTRING (114.051218 22.5375061, 114.051023 22.5375041, 114.0508259 22.5375011)",,福华路,3,,,,
