u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,bridge
2312585228,2312585121,0,222273973,residential,False,True,282.69,"LINESTRING (114.0775188 22.5864196, 114.0778299 22.5859466, 114.0779667 22.5858054, 114.0781169 22.5857485, 114.0782779 22.5857485, 114.078538 22.5858327, 114.0786266 22.5858549, 114.078699 22.5858351, 114.0787446 22.5857856, 114.0787446 22.5857088, 114.0786319 22.5855974, 114.0779265 22.5851368)",,,
2312585300,2312598356,0,222274997,residential,False,False,55.371,"LINESTRING (114.0717991 22.5866296, 114.0722635 22.5868828)",,,
2312585300,2312585132,0,890745100,residential,False,False,112.126,"LINESTRING (114.0717991 22.5866296, 114.0711274 22.5874247)",,,
2312585300,2312598261,0,222274999,residential,False,False,101.43299999999999,"LINESTRING (114.0717991 22.5866296, 114.0718578 22.5866257, 114.0719011 22.5866042, 114.0719578 22.5865343, 114.0720172 22.5864494, 114.0720611 22.5863943, 114.0720915 22.5863725, 114.0721279 22.5863648, 114.0721665 22.5863662, 114.0722448 22.5863706, 114.0723375 22.5864067, 114.0723834 22.5864377, 114.0724128 22.586461, 114.0724445 22.5864628, 114.0725733 22.5863455)",,,
2312585300,2312585047,0,890745100,residential,False,True,87.789,"LINESTRING (114.0717991 22.5866296, 114.0717708 22.5865484, 114.0716107 22.5860001, 114.0715639 22.5858708)",,,
2312598211,2312598312,0,888419181,tertiary,False,False,8.635,"LINESTRING (114.0781723 22.5830599, 114.0780913 22.5830808)",银湖路,2,
2312598241,9181562132,0,890745103,residential,False,False,154.727,"LINESTRING (114.0722762 22.5837836, 114.0721108 22.5837892, 114.0719763 22.5837967, 114.0718796 22.5838092, 114.0716327 22.5838784, 114.0714132 22.5839702, 114.0711798 22.5840815, 114.0710212 22.5841639, 114.0708829 22.5842478)",环湖三路,,
2312598241,9181562127,0,993789641,residential,False,False,157.02800000000002,"LINESTRING (114.0722762 22.5837836, 114.0722023 22.5838363, 114.0720916 22.5838854, 114.0720214 22.5839169, 114.0719277 22.5839346, 114.0718085 22.5839463, 114.0717106 22.5839699, 114.0715615 22.5840171, 114.0714402 22.5840702, 114.0713103 22.584137, 114.0711954 22.5842097, 114.0711102 22.5842687, 114.0710634 22.5843316, 114.0710485 22.5843808, 114.071028 22.5844657)",,,
2312598241,8278552646,0,993789642,residential,False,False,30.994,"LINESTRING (114.0722762 22.5837836, 114.0724228 22.5837681, 114.0724787 22.5837605, 114.0725754 22.5837469)",环湖三路,1,
2312598261,2312598392,0,222274997,residential,False,False,62.468,"LINESTRING (114.0725733 22.5863455, 114.072491 22.5862859, 114.0724508 22.5862518, 114.0724178 22.5862172, 114.0723955 22.5861728, 114.0723943 22.5861218, 114.0724236 22.5858544)",,,
