u,v,key,osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,access,bridge
2921645969,3066385416,0,288610542,,residential,False,True,552.8050000000002,"LINESTRING (114.1354353 22.5571393, 114.1364854 22.5560309, 114.1381859 22.5541582, 114.1379687 22.5537048, 114.1378989 22.5536206, 114.1378399 22.5535859, 114.1377729 22.5535736, 114.1377139 22.553586, 114.1376683 22.5536256, 114.1375184 22.5537855)",,,,,
2921843410,2623155417,0,"[973549771, 996762404]",文锦中路,primary,True,False,123.417,"LINESTRING (114.1205617 22.558057, 114.1208964 22.5578139, 114.1214895 22.5573517)",,,,no,yes
2973221745,2921843410,0,288633791,,primary_link,True,False,77.33600000000001,"LINESTRING (114.1209396 22.5581326, 114.1208241 22.558272, 114.1207773 22.5583094, 114.1207241 22.5583277, 114.1206669 22.5583299, 114.1206105 22.558313, 114.1205587 22.5582829, 114.1205282 22.5582442, 114.1205181 22.5582055, 114.120517 22.5581626, 114.1205236 22.5581163, 114.1205617 22.558057)",,,,,
2973221745,567623124,0,288633792,,primary_link,True,False,137.337,"LINESTRING (114.1209396 22.5581326, 114.120888 22.5582336, 114.1208473 22.5583298, 114.1206264 22.5590405, 114.1206021 22.5591055, 114.1205628 22.5591949, 114.120506 22.5592978)",,,,,
3066385385,3066385723,0,302380151,,residential,False,False,150.159,"LINESTRING (114.1369008 22.5537775, 114.1369321 22.5524274)",,,,,
3066385385,3066385416,0,302380143,黄贝岭路,residential,False,False,63.443,"LINESTRING (114.1369008 22.5537775, 114.1370996 22.5537743, 114.1375184 22.5537855)",,,,,
3066385385,9015715285,0,302380143,黄贝岭路,residential,False,True,130.132,"LINESTRING (114.1369008 22.5537775, 114.1358927 22.5537783, 114.1358931 22.553539)",,,,,
3066385389,3066385640,0,302380138,,residential,False,False,101.367,"LINESTRING (114.1358951 22.5524272, 114.1368822 22.5524274)",,,,,
3066385389,9015715285,0,302380143,黄贝岭路,residential,False,False,123.627,"LINESTRING (114.1358951 22.5524272, 114.1358931 22.553539)",,,,,
3066385392,3066385423,0,302380142,,residential,False,False,206.61599999999999,"LINESTRING (114.1332133 22.5506904, 114.1330398 22.550696, 114.1320731 22.5505541, 114.1313972 22.5510445)",,,,,
3066385392,9015715284,0,974175110,,residential,False,False,311.231,"LINESTRING (114.1332133 22.5506904, 114.1335729 22.5509513, 114.1337527 22.5511044, 114.1338706 22.5512348, 114.1339824 22.5513793, 114.1342906 22.5518768, 114.1343925 22.5520675, 114.1344703 22.552236, 114.1346285 22.5528998, 114.1346634 22.553051)",,,,,
3066385392,267602126,0,974175110,,residential,False,True,30.807,"LINESTRING (114.1332133 22.5506904, 114.1331596 22.5506235, 114.1331362 22.5505437, 114.1331357 22.5504326)",,,,,
3066385404,3066385701,0,302380153,,residential,False,True,145.17700000000002,"LINESTRING (114.1304744 22.5569578, 114.1304933 22.5568458, 114.1305335 22.5567022, 114.1305818 22.556613, 114.1306328 22.5565585, 114.1306945 22.5565263, 114.1309707 22.5564198, 114.1310566 22.5563801, 114.1311156 22.5563232, 114.1311478 22.5562612, 114.1311879 22.5559695)",,,,,
3066385416,2921645921,0,288610542,,residential,False,True,188.157,"LINESTRING (114.1375184 22.5537855, 114.1363191 22.5550648)",,,,,
3066385416,2921645969,0,288610542,,residential,False,False,552.8050000000001,"LINESTRING (114.1375184 22.5537855, 114.1376683 22.5536256, 114.1377139 22.553586, 114.1377729 22.5535736, 114.1378399 22.5535859, 114.1378989 22.5536206, 114.1379687 22.5537048, 114.1381859 22.5541582, 114.1364854 22.5560309, 114.1354353 22.5571393)",,,,,
3066385416,3066385385,0,302380143,黄贝岭路,residential,False,True,63.443,"LINESTRING (114.1375184 22.5537855, 114.1370996 22.5537743, 114.1369008 22.5537775)",,,,,
3066385418,2921645905,0,288610543,,residential,False,False,143.019,"LINESTRING (114.130534 22.5585246, 114.1318184 22.5580272)",,,,,
3066385418,3066594156,0,288610543,,residential,False,True,16.563,"LINESTRING (114.130534 22.5585246, 114.1303853 22.5585823)",,,,,
