u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,bridge
3687652014,7967774249,0,996188211,True,红荔路,primary,,False,39.298,"LINESTRING (114.0344984 22.5480928, 114.0346045 22.5481227, 114.0346682 22.5481407, 114.0348659 22.5481912)",,,
3687652015,3687651958,0,1050921373,True,红荔路,primary,,False,9.687,"LINESTRING (114.0344624 22.5482793, 114.0343708 22.5482585)",,,
3687652015,7975286318,0,1050921371,True,香梅路,secondary,,False,32.449,"LINESTRING (114.0344624 22.5482793, 114.0344462 22.548363, 114.0344344 22.5484238, 114.0344076 22.5485667)",,,
3790295980,1116501282,0,1080860982,True,红荔西路,secondary,,False,274.793,"LINESTRING (114.0225873 22.5448867, 114.0240318 22.54513, 114.0246739 22.5452608, 114.0249216 22.5453285, 114.0251922 22.5454288)",3,,
3969348351,8894937258,0,837565289,True,,primary_link,,False,55.897,"LINESTRING (114.0223141 22.5425318, 114.0224999 22.5420593)",2,,
3969348351,7987067466,0,"[837565288, 393889383]",True,"['香林路', '香蜜湖路辅路']","['secondary', 'tertiary']",,False,218.89000000000004,"LINESTRING (114.0223141 22.5425318, 114.0223429 22.5421676, 114.0223697 22.5419937, 114.0224013 22.5418425, 114.0225456 22.5413371, 114.022557 22.5412532, 114.0225296 22.5411848, 114.0224656 22.5411203, 114.0223624 22.5410744, 114.0219361 22.5410024)",2,,
4127126135,9660622852,0,245925460,False,,residential,,False,98.922,"LINESTRING (114.0351695 22.5446323, 114.0354062 22.5446793, 114.0359327 22.5447867, 114.0359736 22.5447954, 114.0360121 22.5448073, 114.0360463 22.5448267, 114.0360921 22.5448614)",,,
4127126135,7977050923,0,892901032,True,香梅路,secondary,,False,131.786,"LINESTRING (114.0351695 22.5446323, 114.0349596 22.5457145, 114.0349432 22.5457989)",,,
5187499060,9906876176,0,245744478,True,香蜜湖路,secondary,,False,46.852000000000004,"LINESTRING (114.0215452 22.5454879, 114.0216258 22.5452154, 114.0216413 22.5451558, 114.021661 22.5450804)",2,,
5187499060,7986450923,0,535064398,True,,secondary_link,,False,54.433,"LINESTRING (114.0215452 22.5454879, 114.0216088 22.5454483, 114.0216689 22.5454333, 114.0217374 22.5454284, 114.0218036 22.5454418, 114.0218523 22.5454676, 114.0218946 22.5455079, 114.0219233 22.5455595, 114.0219396 22.545627)",1,,
5187499060,9906876136,0,1080860975,True,,secondary_link,,False,72.375,"LINESTRING (114.0215452 22.5454879, 114.0215498 22.5453705, 114.0215286 22.5452773, 114.0214826 22.545189, 114.0214224 22.5451204, 114.0213286 22.5450534, 114.0211868 22.5449976)",1,,
5187499101,3790295980,0,375683779,True,,secondary_link,,False,67.007,"LINESTRING (114.0222679 22.5444058, 114.0222807 22.5445359, 114.0223074 22.5446331, 114.022345 22.5447045, 114.0224006 22.5447713, 114.0224767 22.5448273, 114.0225873 22.5448867)",1,,
5187499101,1116501259,0,535064412,True,,secondary_link,,False,51.779999999999994,"LINESTRING (114.0222679 22.5444058, 114.0222178 22.5444491, 114.0221644 22.5444727, 114.0220896 22.544487, 114.0220354 22.5444838, 114.0219806 22.5444662, 114.0219254 22.5444303, 114.0218836 22.5443869, 114.021852 22.5443428)",,,
5187499101,9906876185,0,545681211,True,香蜜湖路,secondary,,False,46.827000000000005,"LINESTRING (114.0222679 22.5444058, 114.022192 22.544679, 114.022178 22.5447334, 114.0221572 22.5448143)",2,,
5274731030,7973099509,0,854903577,True,,primary_link,,False,58.192,"LINESTRING (114.0303567 22.5404918, 114.0309229 22.5404717)",,,
5274731030,7973099523,0,536764377,True,,primary_link,,False,196.52900000000005,"LINESTRING (114.0303567 22.5404918, 114.0304858 22.5405613, 114.0305465 22.5405899, 114.030606 22.54061, 114.030667 22.5406232, 114.031361 22.5407446, 114.0313804 22.5407527, 114.0313962 22.5407659, 114.0314067 22.540783, 114.0314111 22.5408023, 114.0314087 22.5408219, 114.0314015 22.5408377, 114.0313898 22.540851, 114.0313747 22.540861, 114.0313577 22.5408668, 114.0313396 22.5408682, 114.0313205 22.5408664, 114.0311263 22.5408349, 114.0310526 22.5408271, 114.0309689 22.5408251, 114.0308063 22.540839, 114.0307517 22.5408398, 114.0306788 22.5408375)",,,
5274731030,7973099507,0,1050261079,True,深南大道,primary,,False,169.768,"LINESTRING (114.0303567 22.5404918, 114.0314472 22.5406768, 114.0315165 22.5406885, 114.0319826 22.5407673)",3,,
