u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access
1123413058,9198897067,0,223531874,False,2,松岭路,tertiary,True,52.437,"LINESTRING (114.0886013 22.5432223, 114.0886152 22.5427509)",30,
1123413058,8128067479,0,330319638,True,3,深南中路,primary,False,220.82,"LINESTRING (114.0886013 22.5432223, 114.090751 22.5432639)",60,
1123418298,3842512040,0,893910560,True,3,深南中路,primary,False,192.82,"LINESTRING (114.09518 22.543358, 114.097057 22.5433994)",,
1123418298,2324213768,0,996207954,False,,同心南路,secondary,False,212.135,"LINESTRING (114.09518 22.543358, 114.0951824 22.5432303, 114.0951882 22.5429225, 114.0951966 22.5424703, 114.0952148 22.5414505)",,
1123424752,2548150015,0,96944884,False,,同心路,tertiary,True,135.419,"LINESTRING (114.0929681 22.5491699, 114.0937536 22.5481917)",,
1123424752,2327294750,0,96944599,False,,同福路,tertiary,True,183.038,"LINESTRING (114.0929681 22.5491699, 114.0913803 22.54915, 114.0911859 22.5491519)",,
1123427053,2548150044,0,96944884,False,,同心路,tertiary,False,137.971,"LINESTRING (114.095158 22.5435092, 114.0951569 22.54475)",,
1123427053,8128082130,0,42351690,True,3,深南中路,primary,False,140.438,"LINESTRING (114.095158 22.5435092, 114.0939016 22.5434901, 114.0937907 22.5434892)",,
1123427065,2548150044,0,96944884,False,,同心路,tertiary,True,186.308,"LINESTRING (114.095151 22.5464255, 114.0951569 22.54475)",,
1123427065,2548150015,0,96944884,False,,同心路,tertiary,False,271.091,"LINESTRING (114.095151 22.5464255, 114.0951678 22.5471394, 114.0948864 22.5473273, 114.0943115 22.5475389, 114.0937536 22.5481917)",,
1123427065,2473522818,0,239574718,False,,,unclassified,False,422.639,"LINESTRING (114.095151 22.5464255, 114.0971636 22.5459147, 114.0974436 22.5458084, 114.0976233 22.5457093, 114.0977629 22.5455879, 114.0978596 22.5454442, 114.0979063 22.5453112, 114.0979382 22.5451695, 114.0979639 22.5444004)",,
1123427065,2548150002,0,239574718,False,,,unclassified,True,73.234,"LINESTRING (114.095151 22.5464255, 114.0945116 22.5466078, 114.0944697 22.54662)",,
1123427484,9084081450,0,893910561,True,2,上步中路,primary,False,146.72,"LINESTRING (114.0912025 22.5477526, 114.0911868 22.549072)",,
1123427484,2548150015,0,96944975,False,,益民路,tertiary,False,276.20799999999997,"LINESTRING (114.0912025 22.5477526, 114.0929218 22.5477542, 114.0930737 22.547782, 114.0932587 22.547857, 114.0937536 22.5481917)",,
1123427486,2548150015,0,393911187,False,,益民路,residential,True,93.777,"LINESTRING (114.0945024 22.5486744, 114.0937536 22.5481917)",,
1694292881,8566191733,0,852241510,True,,华强南路,secondary,False,24.933,"LINESTRING (114.0816054 22.5407215, 114.0816069 22.5406421, 114.0816082 22.5405512, 114.0816087 22.5404973)",,
1694292881,7992170587,0,922779291,True,,福华路,secondary,False,49.302,"LINESTRING (114.0816054 22.5407215, 114.0814683 22.5406955, 114.081131 22.5406553)",,
1699066602,294988857,0,177228961,True,2,振中路,tertiary,False,7.922,"LINESTRING (114.08407 22.5456491, 114.0841393 22.5456178)",30,
1699066602,3580587497,0,643527683,True,2,华发北路,secondary,False,74.901,"LINESTRING (114.08407 22.5456491, 114.0840825 22.5449756)",40,yes
1699066609,2042203565,0,223876513,True,3,振兴路,tertiary,False,64.979,"LINESTRING (114.0840082 22.54919, 114.0833755 22.5491834)",30,
1699066609,8784814408,0,643527683,True,2,华发北路,secondary,False,95.117,"LINESTRING (114.0840082 22.54919, 114.0840231 22.5483347)",40,yes
1699066610,1699111537,0,25465109,True,2,振华路,secondary,False,7.532,"LINESTRING (114.084044 22.547138, 114.0841173 22.5471403)",,
1699066610,1699066602,0,643527683,True,2,华发北路,secondary,False,165.57999999999998,"LINESTRING (114.084044 22.547138, 114.0840451 22.5470758, 114.0840567 22.5464097, 114.08407 22.5456491)",40,yes
1699111513,8791690452,0,616351227,True,4,深南中路,primary,False,136.597,"LINESTRING (114.0854908 22.5433417, 114.0841613 22.5433057)",60,
1699111513,294986739,0,157653809,False,,华发路,unclassified,True,247.75,"LINESTRING (114.0854908 22.5433417, 114.085531 22.5451411, 114.0855157 22.5454528, 114.0854945 22.5455674)",,
1699111518,4127126144,0,157653807,False,1,,residential,False,97.268,"LINESTRING (114.0867316 22.5492239, 114.0867542 22.5483494)",,
1699111518,3082205003,0,223876513,True,3,振兴路,tertiary,False,51.485,"LINESTRING (114.0867316 22.5492239, 114.0862303 22.5492177)",30,
1699111519,1699111521,0,25465109,True,2,振华路,secondary,False,71.288,"LINESTRING (114.0847636 22.5471497, 114.0854577 22.5471585)",,
1699111519,1699111523,0,157653808,False,,,living_street,False,115.346,"LINESTRING (114.0847636 22.5471497, 114.0847724 22.5461124)",,
1699111521,1699111541,0,25465109,True,2,振华路,secondary,False,19.174,"LINESTRING (114.0854577 22.5471585, 114.0856443 22.5471642)",,
1699111521,294986739,0,157653809,False,,华发路,unclassified,False,177.112,"LINESTRING (114.0854577 22.5471585, 114.0854744 22.5456851, 114.0854802 22.5456306, 114.0854945 22.5455674)",,
1699111522,7949552674,0,25465109,True,2,振华路,secondary,False,104.057,"LINESTRING (114.0868573 22.5471839, 114.0878704 22.5472005)",,
1699111522,294986741,0,157653805,False,,,unclassified,False,198.568,"LINESTRING (114.0868573 22.5471839, 114.0868836 22.5453983)",,
1699111523,1699111519,0,157653808,False,,,living_street,True,115.346,"LINESTRING (114.0847724 22.5461124, 114.0847636 22.5471497)",,
1699111533,2474730051,0,996207956,False,,同心南路,secondary,True,125.257,"LINESTRING (114.0952394 22.5401674, 114.0952373 22.5402795, 114.0952342 22.5404453, 114.0952309 22.5406298, 114.0952196 22.5412534, 114.0952189 22.5412937)",,
1699111533,2841177981,0,996207957,False,,东园路,tertiary,True,145.663,"LINESTRING (114.0952394 22.5401674, 114.0950922 22.5401653, 114.0939705 22.540162, 114.0938211 22.5401616)",,
1699111533,9249566642,0,996207958,False,,东园路,tertiary,False,53.843999999999994,"LINESTRING (114.0952394 22.5401674, 114.0953723 22.540168, 114.0954362 22.5401683, 114.0957636 22.5401747)",,
1699111535,1699111522,0,25465109,True,2,振华路,secondary,False,7.549,"LINESTRING (114.0867838 22.5471828, 114.0868573 22.5471839)",,
1699111535,4127126144,0,157653807,False,1,,residential,True,129.756,"LINESTRING (114.0867838 22.5471828, 114.0867542 22.5483494)",,
1699111537,1699111519,0,25465109,True,2,振华路,secondary,False,66.381,"LINESTRING (114.0841173 22.5471403, 114.0847636 22.5471497)",,
1699111537,3311151797,0,25531349,True,1,华发北路,secondary,False,132.867,"LINESTRING (114.0841173 22.5471403, 114.0841002 22.5483351)",40,yes
1699111539,1876814369,0,223876513,True,3,振兴路,tertiary,False,155.267,"LINESTRING (114.0855997 22.5492098, 114.0840879 22.549191)",30,
1699111539,4127126143,0,157653810,False,1,兰海路,residential,False,96.37100000000001,"LINESTRING (114.0855997 22.5492098, 114.0856088 22.5487928, 114.0856187 22.5483433)",,
1699111541,4127126143,0,157653810,False,1,兰海路,residential,True,131.136,"LINESTRING (114.0856443 22.5471642, 114.0856187 22.5483433)",,
1699111541,1699111535,0,25465109,True,2,振华路,secondary,False,117.04,"LINESTRING (114.0856443 22.5471642, 114.0857654 22.5471661, 114.0867838 22.5471828)",,
1722075257,1123347201,0,96935799,False,,,tertiary,False,166.063,"LINESTRING (114.0803784 22.5455919, 114.080344 22.547085)",20,
1722075257,2324186926,0,"[177228961, 26920821]",True,2,振中路,tertiary,False,244.67399999999998,"LINESTRING (114.0803784 22.5455919, 114.0812981 22.5455945, 114.0816185 22.5455982, 114.0818451 22.5455995, 114.0819132 22.5455988, 114.0826585 22.5456114, 114.0827607 22.5456129)",30,
1722075257,5827544562,0,96935799,False,,,tertiary,True,170.142,"LINESTRING (114.0803784 22.5455919, 114.0803847 22.5454752, 114.0803951 22.5449208, 114.0804222 22.5446959, 114.0804225 22.5440634)",20,
1876814369,1699066609,0,223876513,True,3,振兴路,tertiary,False,8.185,"LINESTRING (114.0840879 22.549191, 114.0840082 22.54919)",30,
2042203555,1699066610,0,157205174,True,,振华路,secondary,False,125.171,"LINESTRING (114.0828253 22.5471204, 114.0830888 22.5471242, 114.0833011 22.5471273, 114.084044 22.547138)",,
2042203555,2042203565,0,193704140,False,,,residential,True,284.368,"LINESTRING (114.0828253 22.5471204, 114.0827893 22.5486516, 114.0833654 22.5486912, 114.0833755 22.5491834)",,
2042203565,2042203555,0,193704140,False,,,residential,False,284.368,"LINESTRING (114.0833755 22.5491834, 114.0833654 22.5486912, 114.0827893 22.5486516, 114.0828253 22.5471204)",,
2042203565,1123344023,0,223876513,True,3,振兴路,tertiary,False,299.63,"LINESTRING (114.0833755 22.5491834, 114.0818595 22.5491676, 114.0818126 22.5491671, 114.0815531 22.5491644, 114.0812747 22.5491615, 114.0812291 22.549161, 114.0806553 22.549155, 114.080458 22.5491529)",30,
2319181679,7949552663,0,25447649,False,,,residential,False,6.234,"LINESTRING (114.0878903 22.5461216, 114.087951 22.546122)",,no
2319181679,6413070060,0,852241502,True,1,燕南路,tertiary,False,80.32000000000001,"LINESTRING (114.0878903 22.5461216, 114.0879012 22.5455293, 114.0879052 22.5453994)",20,
2319185555,528758839,0,893910549,True,4,上步南路,primary,False,9.586,"LINESTRING (114.0912928 22.5414694, 114.0912918 22.5415556)",,
2319185555,8128067432,0,893910550,True,,南园路,secondary,False,6.08,"LINESTRING (114.0912928 22.5414694, 114.091352 22.5414695)",,
2324186926,3580587499,0,223527082,False,,,unclassified,False,72.048,"LINESTRING (114.0827607 22.5456129, 114.0827686 22.544965)",,
2324186926,1123352168,0,96936218,False,,,tertiary,False,167.521,"LINESTRING (114.0827607 22.5456129, 114.08276 22.5460677, 114.0827512 22.5470508, 114.08275 22.5471194)",,
2324186926,1699066602,0,177228961,True,2,振中路,tertiary,False,135.45000000000002,"LINESTRING (114.0827607 22.5456129, 114.0833171 22.5456728, 114.083979 22.5456761, 114.0840292 22.5456688, 114.08407 22.5456491)",30,
2324193482,8128067442,0,771790234,True,2,上步中路,primary,False,18.45,"LINESTRING (114.0912716 22.5432746, 114.0912685 22.5434405)",,
2324193482,8128067464,0,893910560,True,3,深南中路,primary,False,43.242,"LINESTRING (114.0912716 22.5432746, 114.0913582 22.5432763, 114.0916925 22.543285)",,
2324193491,294988379,0,893910561,True,2,上步中路,primary,False,180.258,"LINESTRING (114.0912612 22.5438428, 114.0912601 22.5454639)",,
