u,v,key,osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed,lanes,junction,access,tunnel
2377869270,2377869275,0,"[477803499, 229158094, 477803503]",文锦渡路,secondary,True,False,586.5059999999999,,"LINESTRING (114.1271238 22.5400639, 114.1271175 22.5401311, 114.1271079 22.5401899, 114.1270982 22.5402235, 114.1270889 22.5402521, 114.1270729 22.5402811, 114.1270532 22.5403046, 114.127027 22.5403262, 114.126999 22.5403419, 114.1269654 22.5403535, 114.126919 22.540362, 114.126848 22.5403679, 114.1260227 22.5404253, 114.1258441 22.5404347, 114.1256801 22.5404356, 114.1255307 22.5404276, 114.1253386 22.5403975, 114.1251919 22.540353, 114.1250751 22.5403086, 114.1247554 22.5401773, 114.1247022 22.5401663, 114.1246401 22.5401707, 114.1245841 22.5401893, 114.1245462 22.5402138, 114.1245114 22.5402499, 114.1244891 22.5402853, 114.1244755 22.5403358, 114.1244732 22.5403856, 114.1244806 22.540432, 114.1245 22.5404842, 114.1246143 22.5407184, 114.1246496 22.5407837, 114.1246951 22.540868, 114.1247474 22.5409579, 114.1247967 22.5410305, 114.1248678 22.541121, 114.1249491 22.5412103, 114.1250308 22.5412887, 114.125115 22.5413589, 114.1252038 22.5414258, 114.1252948 22.5414859, 114.1260719 22.5419461, 114.1260965 22.5419657, 114.1261116 22.5419864, 114.1261191 22.5420159, 114.1261274 22.5421496)",,,,,no,
2377869270,6315229035,0,674335482,文锦渡路,secondary,True,False,773.07,,"LINESTRING (114.1271238 22.5400639, 114.1271306 22.540214, 114.1271297 22.5402537, 114.1271284 22.540286, 114.1271213 22.5403121, 114.1271061 22.540341, 114.1270869 22.5403638, 114.1270538 22.5403881, 114.1270158 22.540403, 114.1269743 22.5404097, 114.12588 22.5404791, 114.1258223 22.5404946, 114.125479 22.5406153, 114.1254012 22.5406277, 114.1253255 22.5406265, 114.1252705 22.5406209, 114.1251934 22.540606, 114.1251041 22.5405886, 114.1250531 22.5405813, 114.1250088 22.5405861, 114.1249661 22.5406, 114.1249295 22.5406242, 114.1249014 22.5406576, 114.1248851 22.5406955, 114.1248805 22.5407285, 114.1248861 22.540769, 114.1249021 22.5408045, 114.1251276 22.5411795, 114.1251806 22.5412495, 114.1252463 22.5413177, 114.1253053 22.5413641, 114.1254012 22.5414291, 114.1255306 22.5415016, 114.1256406 22.5415499, 114.1257345 22.5415772, 114.1258284 22.5415914, 114.1258968 22.5415939, 114.1259685 22.5415908, 114.1260409 22.5415827, 114.1261187 22.5415685, 114.1262113 22.5415456, 114.1263065 22.5415134, 114.1264124 22.5414681, 114.1265278 22.5414075, 114.1266176 22.5413511, 114.1266451 22.5413257, 114.1266692 22.5412929, 114.126684 22.5412632, 114.1266947 22.5412297, 114.1267001 22.5411963, 114.1267014 22.5411517, 114.1266981 22.5411015, 114.1266759 22.5409408, 114.1266752 22.5409152, 114.1266792 22.540888, 114.1266862 22.5408723, 114.1267003 22.5408542, 114.126718 22.5408405, 114.1267397 22.540831, 114.1267702 22.5408269, 114.1267973 22.5408241, 114.1268483 22.5408234, 114.1269113 22.5408259, 114.1269046 22.5417326, 114.1268986 22.5417815, 114.1268852 22.5418267, 114.1268583 22.5418676, 114.1268161 22.5419159, 114.1266759 22.5420472, 114.1265814 22.5421222, 114.1264983 22.5421785, 114.1264319 22.5422197, 114.1263517 22.5422676)",,,,,no,
2377869275,6315229035,0,973549773,文锦渡口岸环岛,trunk,True,False,27.57,G107,"LINESTRING (114.1261274 22.5421496, 114.1261807 22.5421557, 114.1262317 22.5421713, 114.1262783 22.5421959, 114.1263188 22.5422284, 114.1263517 22.5422676)",,,,circular,,
2377869280,2881809802,0,1050674542,文锦渡口岸环岛,trunk,True,False,18.906,G107,"LINESTRING (114.1259037 22.5425533, 114.1258791 22.5425174, 114.1258614 22.5424782, 114.125851 22.5424368, 114.1258484 22.5423943)",,,,circular,,
2377869281,6080269165,0,904096422,沿河南路,primary,True,False,30.908,,"LINESTRING (114.1263932 22.5423981, 114.1266595 22.5425276)",,,,,,
2377869281,2377869267,0,973549772,文锦渡口岸环岛,trunk,True,False,38.664,G107,"LINESTRING (114.1263932 22.5423981, 114.1263867 22.5424557, 114.1263662 22.5425105, 114.1263326 22.5425594, 114.1262878 22.5426, 114.1262341 22.54263, 114.1261744 22.5426479)",,,,circular,,
2377880293,2794076578,0,166444177,延芳路,secondary,False,True,209.55599999999998,,"LINESTRING (114.1343546 22.5465525, 114.1353572 22.5456834, 114.135643 22.5454401, 114.1358662 22.5452889)",,,,,,
2377880293,2660969045,0,647444376,沿河南路,primary,True,False,248.747,,"LINESTRING (114.1343546 22.5465525, 114.1346493 22.546844, 114.1348486 22.5470758, 114.1350199 22.547326, 114.1351907 22.5476071, 114.1356903 22.5484075)",,,,,,
2377880322,8536814097,0,"[973549780, 229158855]",文锦渡路,"['trunk_link', 'secondary']",True,False,246.17399999999998,,"LINESTRING (114.1317365 22.5455333, 114.1298266 22.5445223, 114.1297804 22.5444974, 114.1297471 22.5444793, 114.129726 22.5444665, 114.1297054 22.5444519, 114.129667 22.544419)",,,,,no,
2377880322,581924120,0,"[45664267, 1050674540]","['沿河路高架桥', '沿河南路']",trunk,True,False,633.649,S550,"LINESTRING (114.1317365 22.5455333, 114.1313079 22.5451531, 114.1311119 22.5450238, 114.1287757 22.5437589, 114.1284658 22.5436059, 114.1280348 22.5433988, 114.1271182 22.5429835, 114.1267575 22.5428253, 114.1264267 22.5426736)",yes,,,,,
