u,v,key,osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes,maxspeed
498877512,498877513,0,815469504,True,,trunk_link,False,79.738,"LINESTRING (114.0179865 22.5319019, 114.0172987 22.5315693)",,,1,40
498877512,498489656,0,842389618,True,滨河大道辅路,primary,False,480.7850000000001,"LINESTRING (114.0179865 22.5319019, 114.0174061 22.5317634, 114.0173245 22.5317463, 114.0172579 22.5317368, 114.0169128 22.5317328, 114.0168503 22.5317296, 114.0167937 22.531722, 114.0154429 22.5314046, 114.0153731 22.5313903, 114.015314 22.5313843, 114.0152563 22.5313808, 114.0152104 22.5313768, 114.0151609 22.5313674, 114.0143815 22.5311544, 114.0143186 22.5311319, 114.0137367 22.5308871, 114.013491 22.5307911)",,,,
498877513,498491723,0,1051282767,True,滨河大道,trunk,False,85.648,"LINESTRING (114.0172987 22.5315693, 114.0164887 22.5313862)",,S550,,
498877548,498877549,0,1051282769,True,滨河大道辅路,primary,False,125.129,"LINESTRING (114.012353 22.530148, 114.0135401 22.530401)",,,,
498877549,667339484,0,974372183,True,滨河大道辅路,primary,False,277.906,"LINESTRING (114.0135401 22.530401, 114.0161814 22.5309434)",,,,
498877549,498877550,0,672979241,True,滨河大道辅路,trunk_link,False,107.64099999999999,"LINESTRING (114.0135401 22.530401, 114.0137945 22.530478, 114.0143529 22.5306793, 114.0145214 22.5307401)",,,,
498877550,5187527926,0,1051282771,True,滨河大道,trunk,False,271.84,"LINESTRING (114.0145214 22.5307401, 114.0170949 22.5313112)",,S550,,
498877557,1491785475,0,135906410,False,东涌路,residential,False,130.174,"LINESTRING (114.0195879 22.5316625, 114.019604 22.5314965, 114.0195924 22.5310604, 114.0194715 22.5305037)",,,2,
588501022,2458960414,0,633620707,True,深南大道,primary,False,199.151,"LINESTRING (114.0028434 22.5361266, 114.0009369 22.5357997)",,,3,
588501022,4853113712,0,245756012,True,,secondary,False,190.62099999999998,"LINESTRING (114.0028434 22.5361266, 114.002416 22.5361743, 114.001262 22.5359572, 114.001019 22.5359123)",,,,
653124769,4853113931,0,996657789,True,深南大道,primary,False,88.582,"LINESTRING (114.0014283 22.5355799, 114.0022777 22.5357182)",,,3,
653124782,2528898784,0,51190895,False,竹子林三路,residential,True,56.065,"LINESTRING (114.0011532 22.5371957, 114.0010569 22.537692)",,,,
653124782,2528898823,0,996247121,False,紫竹六道,residential,False,100.211,"LINESTRING (114.0011532 22.5371957, 114.0001915 22.5370434)",,,,
653124782,653124788,0,996247122,False,竹子林三路,residential,False,86.771,"LINESTRING (114.0011532 22.5371957, 114.0013023 22.5364276)",,,,
653124782,8894945801,0,996247123,False,紫竹六道,residential,True,169.1,"LINESTRING (114.0011532 22.5371957, 114.0027732 22.5374674)",,,,
653124784,2528898847,0,51190891,False,竹子林七路,residential,True,64.885,"LINESTRING (114.0081857 22.5383753, 114.00808 22.5389506)",,,,
653124784,6684764216,0,245755660,False,紫竹六道,residential,False,91.731,"LINESTRING (114.0081857 22.5383753, 114.0073069 22.5382279)",,,,
653124788,4853113712,0,493389671,True,竹子林三路,residential,False,64.263,"LINESTRING (114.0013023 22.5364276, 114.001019 22.5359123)",,,,
653124788,653124782,0,996247122,False,竹子林三路,residential,True,86.771,"LINESTRING (114.0013023 22.5364276, 114.0011532 22.5371957)",,,,
653124803,5659860844,0,51190897,False,竹子林六路,residential,False,44.862,"LINESTRING (114.006203 22.537252, 114.0062796 22.5368548)",,,,
653124803,8894945806,0,51190897,False,竹子林六路,residential,True,86.51,"LINESTRING (114.006203 22.537252, 114.006052 22.5380174)",,,,
653124803,2528898828,0,493389667,True,紫竹七道,residential,False,117.975,"LINESTRING (114.006203 22.537252, 114.0073334 22.5374406)",,,,
667339484,2323527390,0,1051517010,True,滨河大道辅路,primary,False,48.956,"LINESTRING (114.0161814 22.5309434, 114.0166443 22.5310484)",,,,
1116553763,4853113956,0,25543382,True,白石路,secondary,False,30.363,"LINESTRING (114.003756 22.5330749, 114.0040304 22.5331765)",,,,
1116553763,2402263623,0,1051307490,True,红树林路,tertiary,False,15.809,"LINESTRING (114.003756 22.5330749, 114.003728 22.5332147)",,,,
1116553842,1116553763,0,25543382,True,白石路,secondary,False,13.892,"LINESTRING (114.0036285 22.5330332, 114.003756 22.5330749)",,,,
1116553842,4853113952,0,649374608,True,红树林路,tertiary,False,49.741,"LINESTRING (114.0036285 22.5330332, 114.0037116 22.5325925)",,,,
1116553943,4853113956,0,493389680,True,,secondary_link,False,64.643,"LINESTRING (114.0038327 22.532659, 114.0038294 22.5327998, 114.003831 22.5328943, 114.003848 22.532963, 114.0038737 22.5330191, 114.0039117 22.5330695, 114.0040304 22.5331765)",,,,
1116553943,1116553763,0,1051307490,True,红树林路,tertiary,False,46.912,"LINESTRING (114.0038327 22.532659, 114.003783 22.5329283, 114.003756 22.5330749)",,,,
