u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,bridge
2367048545,2367048717,1,228054569,False,,,residential,True,56.98999999999999,"LINESTRING (113.9862657 22.5570972, 113.9862284 22.5571147, 113.9861999 22.5571427, 113.9861883 22.5571633, 113.98618 22.5572017, 113.9861836 22.5572311, 113.9862012 22.5572673, 113.986224 22.5572903, 113.9862617 22.5573098, 113.9863172 22.5573149, 113.986358 22.5573028, 113.9863809 22.5572881, 113.9864073 22.5572576, 113.9864207 22.5572211, 113.9864199 22.5571828)",,,
2367048558,2367048480,0,228054560,False,,,residential,False,378.97600000000006,"LINESTRING (113.9850471 22.5576099, 113.9851112 22.5576769, 113.9851875 22.5577376, 113.9852641 22.5577673, 113.9853152 22.5577842, 113.9853753 22.5577871, 113.985504 22.5577846, 113.9856009 22.5577864, 113.9856968 22.557799, 113.9858319 22.5578146, 113.9859873 22.5578496, 113.98606 22.5578718, 113.9861237 22.5578988, 113.9861733 22.5579337, 113.9862239 22.5579532, 113.9862862 22.557966, 113.9863818 22.5579679, 113.9864586 22.5579477, 113.9865337 22.5579031, 113.9866465 22.5578416, 113.9866853 22.5578378, 113.9867253 22.5578426, 113.9868432 22.5578573, 113.9869356 22.5579019, 113.9870354 22.5579762, 113.9870984 22.5579972, 113.9871467 22.5579938, 113.9872106 22.5579825, 113.9873585 22.5579654, 113.9875959 22.557975, 113.9876959 22.5579821, 113.9877453 22.5579927, 113.9878051 22.5579923, 113.9878583 22.5579689, 113.9879107 22.5579159, 113.9880352 22.5578216, 113.9881563 22.5577591, 113.9882862 22.557717, 113.9884545 22.5576908)",,,
2367048558,2367048545,0,228054560,False,,,residential,True,209.28999999999994,"LINESTRING (113.9850471 22.5576099, 113.9850134 22.5575559, 113.9849926 22.5575038, 113.9849722 22.5574374, 113.9849724 22.55739, 113.9849804 22.5572813, 113.9850162 22.5571668, 113.9850756 22.5570879, 113.9851579 22.5570008, 113.9851752 22.5569689, 113.9851841 22.5569326, 113.9851987 22.5568771, 113.9852486 22.5568356, 113.9853261 22.5568208, 113.9854233 22.556822, 113.9855058 22.5568356, 113.9855637 22.556862, 113.9856837 22.5569212, 113.9857421 22.5569488, 113.9858215 22.55696, 113.9859605 22.5569742, 113.9861031 22.5569854, 113.986166 22.5570024, 113.9862189 22.5570372, 113.9862657 22.5570972)",,,
2367048558,7517355919,0,803638058,False,,,residential,True,18.77,"LINESTRING (113.9850471 22.5576099, 113.9849335 22.5576371, 113.9848702 22.5576524)",,,
2367048567,7517333525,0,228054558,False,,,residential,False,37.399,"LINESTRING (113.9881368 22.5574655, 113.9881665 22.557384, 113.9881753 22.557296, 113.988171 22.5572251, 113.9881575 22.557135)",,,
2367048567,2367048717,0,228054558,False,,,residential,True,209.50099999999998,"LINESTRING (113.9881368 22.5574655, 113.9881108 22.5575205, 113.9880718 22.5575743, 113.9880113 22.5576244, 113.9879141 22.5576608, 113.9878341 22.5576646, 113.9877332 22.5576525, 113.9876201 22.5576533, 113.9875504 22.5576632, 113.9874163 22.5577021, 113.9873144 22.5577202, 113.987207 22.5577164, 113.9870921 22.55768, 113.9869978 22.5576205, 113.986927 22.5575367, 113.9868696 22.5574439, 113.9867928 22.557371, 113.986708 22.5573285, 113.9865674 22.5572554, 113.9864199 22.5571828)",,,
2367048567,2367048480,0,228054566,False,,,residential,True,45.994,"LINESTRING (113.9881368 22.5574655, 113.9883202 22.5575022, 113.988373 22.5575216, 113.9884069 22.5575698, 113.9884391 22.5576215, 113.9884545 22.5576908)",,,
2367048614,2367048494,0,228054558,False,,,residential,False,466.3999999999999,"LINESTRING (113.9902466 22.5567081, 113.9904627 22.5568288, 113.990648 22.5569521, 113.9907268 22.5570276, 113.9908595 22.5571071, 113.991089 22.5572409, 113.9911291 22.5572813, 113.9911498 22.5573241, 113.9911533 22.5573832, 113.9911472 22.5574749, 113.9911274 22.5575344, 113.9910749 22.5575721, 113.9909724 22.5576203, 113.9902687 22.5579442, 113.990119 22.5580006, 113.9891624 22.5582751, 113.9889579 22.5583409, 113.9888304 22.5583659, 113.9881362 22.5584389)",,,
2367048614,7517333525,0,228054558,False,,,residential,True,314.194,"LINESTRING (113.9902466 22.5567081, 113.9901326 22.5566597, 113.990011 22.5566111, 113.9898759 22.5565648, 113.989518 22.556529, 113.9893965 22.5565421, 113.9889662 22.5565519, 113.9888551 22.5565604, 113.9887614 22.5565927, 113.9886204 22.5566104, 113.9884954 22.5566182, 113.9884806 22.5566191, 113.9880003 22.5566422, 113.9879278 22.5566617, 113.9878685 22.5567192, 113.9878425 22.5567775, 113.9878384 22.5568506, 113.9878533 22.556906, 113.987895 22.5569548, 113.9879581 22.5569969, 113.9880163 22.5570159, 113.9880603 22.5570428, 113.988111 22.5570861, 113.9881575 22.557135)",,,
2367048614,2367048627,0,228054559,False,,,residential,True,41.616,"LINESTRING (113.9902466 22.5567081, 113.9901989 22.5568137, 113.9901683 22.5569222, 113.9901281 22.5569773, 113.9900641 22.5570331)",,,
2367048627,2367048614,0,228054559,False,,,residential,False,41.616,"LINESTRING (113.9900641 22.5570331, 113.9901281 22.5569773, 113.9901683 22.5569222, 113.9901989 22.5568137, 113.9902466 22.5567081)",,,
2367048627,7517333525,0,228054565,False,,,residential,False,201.35500000000002,"LINESTRING (113.9900641 22.5570331, 113.9900583 22.5570267, 113.9899992 22.5570167, 113.9898275 22.5570015, 113.9895887 22.5569842, 113.9892883 22.5569693, 113.988878 22.5569718, 113.9887288 22.5569791, 113.9886536 22.5569997, 113.9886042 22.5570482, 113.988563 22.5570667, 113.9885218 22.557075, 113.9884728 22.5570743, 113.9884192 22.5570587, 113.9883697 22.5570692, 113.9882174 22.5571246, 113.9881575 22.557135)",,,
2367048627,2367048642,0,228054565,False,,,residential,True,42.782,"LINESTRING (113.9900641 22.5570331, 113.9900856 22.5570564, 113.9902064 22.5573925)",,,
2367048642,2367048723,0,228054560,False,,,residential,False,22.657,"LINESTRING (113.9902064 22.5573925, 113.9903023 22.5574081, 113.9904244 22.5574237)",,,
