u,v,key,osmid,oneway,highway,reversed,length,name,geometry,bridge,lanes
2458958702,5778992584,0,610188505,True,secondary_link,False,35.252,,"LINESTRING (113.9829627 22.5365798, 113.9826631 22.5367345)",,
2458958702,5778992587,0,985389866,True,secondary,False,34.333,,"LINESTRING (113.9829627 22.5365798, 113.9826286 22.5365902)",,
2458958739,2458960449,0,238026679,True,primary_link,False,62.965,,"LINESTRING (113.9862301 22.5365442, 113.985631 22.536424)",,
2458958739,2458958702,0,985389866,True,secondary,False,335.597,,"LINESTRING (113.9862301 22.5365442, 113.9829627 22.5365798)",,
2458960409,2184437867,0,238026685,True,primary_link,False,76.608,,"LINESTRING (113.9963309 22.5350215, 113.996096 22.5350388, 113.995782 22.535076, 113.9955898 22.5350981)",,
2458960409,277183820,0,"[1049950449, 51190882, 985389863]",True,primary,False,702.3429999999998,深南大道,"LINESTRING (113.9963309 22.5350215, 113.9958449 22.5349739, 113.9955407 22.5349546, 113.9952457 22.5349447, 113.994788 22.5349491, 113.9942711 22.534963, 113.9938483 22.5349843, 113.9934124 22.5350259, 113.9929748 22.5350849, 113.9925244 22.5351683, 113.9922182 22.5352381, 113.9914219 22.535452, 113.989764 22.5358955, 113.9896968 22.5359134, 113.9896287 22.5359316)",yes,3
2458960412,1916783429,0,238026693,True,primary_link,False,59.627,,"LINESTRING (113.9865483 22.5360496, 113.9871198 22.536144)",,
2458960412,2184437883,0,231438353,True,secondary,False,290.394,,"LINESTRING (113.9865483 22.5360496, 113.9871804 22.5360274, 113.9876309 22.5360125, 113.9877915 22.5359947, 113.987982 22.5359575, 113.9890444 22.5357078, 113.9893283 22.5356471)",,
2458960419,2184437887,0,238026495,True,secondary,False,42.024,,"LINESTRING (113.9892983 22.5361324, 113.9889058 22.5362392)",,
2458960426,2458960409,0,985389863,True,primary,False,77.726,深南大道,"LINESTRING (113.9970788 22.5351283, 113.9966979 22.5350754, 113.9963309 22.5350215)",,3
2458960427,2458960449,0,386764371,True,primary,False,253.287,深南大道,"LINESTRING (113.9880919 22.5363097, 113.9878113 22.5363483, 113.9874946 22.5363756, 113.9866823 22.5364044, 113.985631 22.536424)",,
2458960428,2458960426,0,238026681,True,primary_link,False,88.314,,"LINESTRING (113.9978891 22.5353941, 113.9970788 22.5351283)",,
2458960428,2537781879,0,985389862,True,secondary,False,169.675,,"LINESTRING (113.9978891 22.5353941, 113.9975078 22.5353276, 113.9962563 22.5351636)",,
2458960445,2458960427,0,238026676,True,primary_link,False,62.327,,"LINESTRING (113.9886978 22.5362934, 113.9884086 22.5363147, 113.9880919 22.5363097)",,
2458960445,2184437892,0,996263610,True,secondary,False,215.47500000000002,,"LINESTRING (113.9886978 22.5362934, 113.9883168 22.5363861, 113.9880064 22.5364435, 113.9876778 22.5364917, 113.9872433 22.5365249, 113.986625 22.5365471)",,
2458960449,5710824456,0,386764371,True,primary,False,237.952,深南大道,"LINESTRING (113.985631 22.536424, 113.9833146 22.5364675)",,
2528898856,2528898868,0,245755664,False,residential,True,37.019,,"LINESTRING (113.9919603 22.5371706, 113.992317 22.5372185)",,
2528898868,6942405070,0,96326115,True,primary,False,133.36,侨城东路,"LINESTRING (113.992317 22.5372185, 113.992505 22.5360318)",,
2528898868,2528898856,0,245755664,False,residential,False,37.019,,"LINESTRING (113.992317 22.5372185, 113.9919603 22.5371706)",,
2537781868,2537781879,0,246780200,False,residential,True,202.02300000000002,,"LINESTRING (113.9962248 22.5369742, 113.9961704 22.5357935, 113.9961918 22.5355779, 113.9962563 22.5351636)",,
2537781879,2537781868,0,246780200,False,residential,False,202.02300000000002,,"LINESTRING (113.9962563 22.5351636, 113.9961918 22.5355779, 113.9961704 22.5357935, 113.9962248 22.5369742)",,
2537781879,2184437867,0,985389862,True,secondary,False,68.851,,"LINESTRING (113.9962563 22.5351636, 113.9961093 22.5351443, 113.9955898 22.5350981)",,
3851543173,2217490310,0,572963451,True,primary,False,64.664,侨城东路,"LINESTRING (113.9929287 22.533359, 113.9930199 22.5327836)",,
3851543173,3851543247,0,381950916,False,residential,False,102.548,,"LINESTRING (113.9929287 22.533359, 113.9927851 22.5333387, 113.9919408 22.5332252)",,
3851543247,3851543247,0,381950916,False,residential,False,416.19599999999997,,"LINESTRING (113.9919408 22.5332252, 113.9919049 22.533617, 113.9918298 22.5336772, 113.9914432 22.5336426, 113.990807 22.5338264, 113.9907026 22.5337963, 113.9906323 22.5337245, 113.9905954 22.5335817, 113.9905931 22.533343, 113.9905308 22.53334, 113.9905631 22.5329927, 113.9912335 22.5330917, 113.9919408 22.5332252)",,
3851543247,3851543247,1,381950916,False,residential,True,416.196,,"LINESTRING (113.9919408 22.5332252, 113.9912335 22.5330917, 113.9905631 22.5329927, 113.9905308 22.53334, 113.9905931 22.533343, 113.9905954 22.5335817, 113.9906323 22.5337245, 113.9907026 22.5337963, 113.990807 22.5338264, 113.9914432 22.5336426, 113.9918298 22.5336772, 113.9919049 22.533617, 113.9919408 22.5332252)",,
3851543247,3851543173,0,381950916,False,residential,True,102.548,,"LINESTRING (113.9919408 22.5332252, 113.9927851 22.5333387, 113.9929287 22.533359)",,
5169911624,5169911625,0,532810250,False,unclassified,False,89.902,汕头东街,"LINESTRING (113.9868792 22.5399477, 113.9877529 22.5399977)",,
5169911624,5169912143,0,208124043,False,tertiary,True,156.092,汕头街,"LINESTRING (113.9868792 22.5399477, 113.9869369 22.5391595, 113.9869346 22.5390819, 113.986919 22.5390125, 113.9868935 22.5389507, 113.9868553 22.5388875, 113.9868055 22.538832, 113.986733 22.5387766, 113.9866557 22.5387348, 113.9865723 22.5386988)",,
5169911625,5169911624,0,532810250,False,unclassified,True,89.902,汕头东街,"LINESTRING (113.9877529 22.5399977, 113.9868792 22.5399477)",,
5169911625,2184437902,0,208124054,False,unclassified,False,103.434,恩平街,"LINESTRING (113.9877529 22.5399977, 113.9877947 22.5393416, 113.987812 22.5390691)",,
5169912109,5169912110,0,532810316,False,residential,True,9.358,,"LINESTRING (113.9876951 22.5389987, 113.9877714 22.5390447)",,
5169912110,5169912109,0,532810316,False,residential,False,9.358,,"LINESTRING (113.9877714 22.5390447, 113.9876951 22.5389987)",,
5169912110,2184437902,0,532810316,False,residential,True,4.975,,"LINESTRING (113.9877714 22.5390447, 113.987812 22.5390691)",,
5169912110,5169912124,0,532810317,False,residential,False,38.262,,"LINESTRING (113.9877714 22.5390447, 113.9877305 22.5389019, 113.9876735 22.5387127)",,
5169912124,5169912124,0,532810317,False,residential,False,293.592,,"LINESTRING (113.9876735 22.5387127, 113.9875733 22.538722, 113.9868648 22.5386586, 113.9867831 22.5386216, 113.9867338 22.5385732, 113.9867061 22.5385192, 113.9867261 22.5383114, 113.9867569 22.5382645, 113.9868278 22.538236, 113.987692 22.5382958, 113.9877737 22.5383242, 113.9878153 22.5383712, 113.9878277 22.5384166, 113.9878153 22.5385832, 113.9877644 22.53866, 113.9876735 22.5387127)",,
5169912124,5169912124,1,532810317,False,residential,True,293.59200000000004,,"LINESTRING (113.9876735 22.5387127, 113.9877644 22.53866, 113.9878153 22.5385832, 113.9878277 22.5384166, 113.9878153 22.5383712, 113.9877737 22.5383242, 113.987692 22.5382958, 113.9868278 22.538236, 113.9867569 22.5382645, 113.9867261 22.5383114, 113.9867061 22.5385192, 113.9867338 22.5385732, 113.9867831 22.5386216, 113.9868648 22.5386586, 113.9875733 22.538722, 113.9876735 22.5387127)",,
5169912124,5169912110,0,532810317,False,residential,True,38.262,,"LINESTRING (113.9876735 22.5387127, 113.9877305 22.5389019, 113.9877714 22.5390447)",,
5169912143,1116415533,0,96326125,False,tertiary,True,36.386,侨城东街,"LINESTRING (113.9865723 22.5386988, 113.986484 22.5386832, 113.9864126 22.5386738, 113.9863532 22.5386689, 113.9862209 22.5386603)",,
5169912143,5169911624,0,208124043,False,tertiary,False,156.09199999999998,汕头街,"LINESTRING (113.9865723 22.5386988, 113.9866557 22.5387348, 113.986733 22.5387766, 113.9868055 22.538832, 113.9868553 22.5388875, 113.9868935 22.5389507, 113.986919 22.5390125, 113.9869346 22.5390819, 113.9869369 22.5391595, 113.9868792 22.5399477)",,
5169912143,1116415356,0,208124043,False,tertiary,True,36.984,汕头街,"LINESTRING (113.9865723 22.5386988, 113.9865274 22.5386681, 113.986497 22.5386354, 113.9864731 22.5385921, 113.9864601 22.5385392, 113.9864574 22.5384727, 113.9864589 22.5384042)",,
5255299481,8328137600,0,895941563,True,primary,False,418.573,白石路,"LINESTRING (113.9888243 22.5301526, 113.9908524 22.5305175, 113.9928228 22.5308802)",,
5504300020,2184437836,0,1049950443,True,primary,False,263.139,侨城东路,"LINESTRING (113.9933805 22.5315389, 113.9932306 22.5325172, 113.9930214 22.533882)",,
5504300430,2402263604,0,231901254,True,secondary,False,47.931000000000004,白石路,"LINESTRING (113.9938884 22.5312806, 113.9936312 22.531216, 113.9935628 22.5311992, 113.9934364 22.5311738)",,
5504300430,5504300020,0,572963452,True,primary_link,False,64.84100000000001,,"LINESTRING (113.9938884 22.5312806, 113.9937867 22.5312817, 113.9937129 22.5312867, 113.9936551 22.531304, 113.9936124 22.5313052, 113.9935399 22.5313429, 113.9934749 22.531397, 113.9934229 22.5314573, 113.9933805 22.5315389)",,1
5504300431,2402263752,0,572963450,True,primary,False,455.32,白石路,"LINESTRING (113.9928221 22.5310348, 113.9907995 22.530677, 113.9886695 22.5302803, 113.9886097 22.5302686, 113.988473 22.5302416)",,
5504300439,5504300431,0,572963453,True,primary_link,False,74.686,,"LINESTRING (113.9932163 22.5315444, 113.993207 22.5314369, 113.9931778 22.5313472, 113.9931277 22.5312511, 113.9930771 22.5311863, 113.9930108 22.5311251, 113.9929178 22.5310711, 113.9928221 22.5310348)",,1
5504300439,2402263734,0,572963454,True,primary,False,46.098,侨城东路,"LINESTRING (113.9932163 22.5315444, 113.993259 22.5312748, 113.9932671 22.5312236, 113.9932813 22.5311342)",,
5710824440,5710824446,0,1052231184,False,residential,True,13.905,,"LINESTRING (113.9818982 22.5361264, 113.9819019 22.5362514)",,
5710824440,2458960412,0,231438353,True,secondary,False,477.68899999999996,,"LINESTRING (113.9818982 22.5361264, 113.9828558 22.5361017, 113.984702 22.536067, 113.9861933 22.5360621, 113.9865483 22.5360496)",,
5710824446,5710824459,0,600648166,False,residential,True,16.153,,"LINESTRING (113.9819019 22.5362514, 113.9819067 22.5363966)",,
5710824446,5710824440,0,1052231184,False,residential,False,13.905,,"LINESTRING (113.9819019 22.5362514, 113.9818982 22.5361264)",,
5710824446,1916783429,0,600648170,True,primary,False,536.043,深南大道,"LINESTRING (113.9819019 22.5362514, 113.9831664 22.5362123, 113.9839088 22.5361973, 113.9857307 22.5361671, 113.9871198 22.536144)",,
5710824456,1916783463,0,386764371,True,primary,False,144.303,深南大道,"LINESTRING (113.9833146 22.5364675, 113.9822375 22.5364877, 113.9820128 22.5364934, 113.9819099 22.536496)",,
5710824456,5710824459,0,600648164,True,primary_link,False,145.69,,"LINESTRING (113.9833146 22.5364675, 113.982931 22.5363865, 113.982813 22.5363766, 113.982005 22.5363944, 113.9819067 22.5363966)",,2
5710824459,1916783463,0,600648162,False,residential,True,11.058,,"LINESTRING (113.9819067 22.5363966, 113.9819099 22.536496)",,
5710824459,5710824446,0,600648166,False,residential,False,16.153,,"LINESTRING (113.9819067 22.5363966, 113.9819019 22.5362514)",,
5773763124,5773763126,0,694439502,False,unclassified,False,132.539,光侨街,"LINESTRING (113.9824144 22.5382677, 113.9825081 22.5394565)",,
5773763124,6520467892,0,264298145,False,residential,False,181.527,,"LINESTRING (113.9824144 22.5382677, 113.981738 22.5382934, 113.9806484 22.5383349)",,
5773763124,1116415377,0,694439502,False,unclassified,True,151.08399999999997,光侨街,"LINESTRING (113.9824144 22.5382677, 113.9823827 22.537706, 113.9823526 22.5371587, 113.9823433 22.5370782, 113.9823268 22.5370114, 113.9823051 22.5369672, 113.9822732 22.5369265)",,
5773763126,5773763127,0,96326125,False,tertiary,True,130.418,侨城东街,"LINESTRING (113.9825081 22.5394565, 113.9812394 22.539507)",,
5773763126,5773763124,0,694439502,False,unclassified,True,132.539,光侨街,"LINESTRING (113.9825081 22.5394565, 113.9824144 22.5382677)",,
5773763126,1116415533,0,96326125,False,tertiary,False,435.193,侨城东街,"LINESTRING (113.9825081 22.5394565, 113.9840287 22.5393824, 113.9841201 22.5393702, 113.9841757 22.5393526, 113.9842268 22.5393252, 113.9842731 22.5392813, 113.9843061 22.5392206, 113.9844566 22.5387654, 113.9844938 22.5386974, 113.9845453 22.5386463, 113.9846174 22.5386084, 113.984694 22.5385897, 113.9847934 22.5385881, 113.9862209 22.5386603)",,
5773763127,5773763126,0,96326125,False,tertiary,False,130.418,侨城东街,"LINESTRING (113.9812394 22.539507, 113.9825081 22.5394565)",,
5773763127,6520467883,0,96326125,False,tertiary,True,64.313,侨城东街,"LINESTRING (113.9812394 22.539507, 113.9806136 22.539528)",,
5778992584,5778992587,0,610188506,True,secondary_link,False,19.666,,"LINESTRING (113.9826631 22.5367345, 113.9826898 22.5366726, 113.9826914 22.5366441, 113.9826784 22.5366201, 113.9826286 22.5365902)",,
5778992584,1116415377,0,610188507,False,secondary_link,False,45.41,,"LINESTRING (113.9826631 22.5367345, 113.9824852 22.5368306, 113.9822732 22.5369265)",,
5778992587,2458960421,0,985389866,True,secondary,False,114.679,,"LINESTRING (113.9826286 22.5365902, 113.9815124 22.536618)",,
6520467883,5773763127,0,96326125,False,tertiary,False,64.313,侨城东街,"LINESTRING (113.9806136 22.539528, 113.9812394 22.539507)",,
6520467892,5773763124,0,264298145,False,residential,True,181.527,,"LINESTRING (113.9806484 22.5383349, 113.981738 22.5382934, 113.9824144 22.5382677)",,
6942404996,1116415356,0,208124043,False,tertiary,False,130.787,汕头街,"LINESTRING (113.9865637 22.537232, 113.9864589 22.5384042)",,
6942404996,2184437892,0,208124043,False,tertiary,True,76.417,汕头街,"LINESTRING (113.9865637 22.537232, 113.986625 22.5365471)",,
6942404996,6942404997,0,741581531,False,residential,False,229.913,光华街,"LINESTRING (113.9865637 22.537232, 113.9843289 22.5371113)",,
6942404997,6942404996,0,741581531,False,residential,True,229.913,光华街,"LINESTRING (113.9843289 22.5371113, 113.9865637 22.537232)",,
6942405063,277183713,0,"[996263616, 96326145]",True,primary_link,False,139.635,,"LINESTRING (113.9921961 22.5356644, 113.9911374 22.5357021, 113.9910021 22.5357085, 113.9908385 22.5357254)",,
6942405070,6942405063,0,741581538,True,primary_link,False,56.442,,"LINESTRING (113.992505 22.5360318, 113.9924918 22.5359352, 113.9924688 22.5358654, 113.9924331 22.5358036, 113.992382 22.5357466, 113.9923258 22.5357064, 113.992269 22.5356814, 113.9921961 22.5356644)",,
6942405070,9649087635,0,996263614,True,primary,False,45.111,侨城东路,"LINESTRING (113.992505 22.5360318, 113.992544 22.5357863, 113.9925515 22.5357389, 113.9925687 22.5356304)",,
8328137600,1116415381,0,895941563,True,primary,False,50.812,白石路,"LINESTRING (113.9928228 22.5308802, 113.9930873 22.5309279, 113.9931403 22.5309394, 113.9933064 22.5309761)",,
8328137600,8328137606,0,895941565,True,primary_link,False,74.229,,"LINESTRING (113.9928228 22.5308802, 113.9929323 22.5308773, 113.9930142 22.5308662, 113.9930744 22.5308497, 113.9931388 22.5308238, 113.9932286 22.5307618, 113.9932911 22.5306981, 113.9933412 22.5306188, 113.9933756 22.5305392)",,
8328137606,496532793,0,572963454,True,primary,False,32.859,侨城东路,"LINESTRING (113.9933756 22.5305392, 113.9933993 22.5303896, 113.9934219 22.5302468)",,
