u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes
7967831814,7979925057,0,245929533,True,,primary_link,False,56.569,"LINESTRING (114.0434446 22.5572678, 114.0434519 22.5571752, 114.0434462 22.5571039, 114.0434283 22.5570384, 114.0433991 22.556991, 114.0433597 22.5569521, 114.0433078 22.5569221, 114.0431939 22.5568822)",
7967831814,7273811035,0,1049968034,True,新洲路,primary,False,42.025999999999996,"LINESTRING (114.0434446 22.5572678, 114.0435445 22.5570639, 114.0436026 22.5569194)",
7967831842,7967831860,0,854392420,True,商报东二路,residential,False,25.275,"LINESTRING (114.0433237 22.5563007, 114.0433115 22.5564049, 114.0433109 22.5564248, 114.0433154 22.5564431, 114.0433226 22.5564578, 114.0433335 22.5564715, 114.0433451 22.5564808, 114.0433576 22.5564874, 114.0433811 22.5564956)",
7967831842,2530277113,0,854392422,False,商报东二路,residential,True,126.03800000000003,"LINESTRING (114.0433237 22.5563007, 114.0434206 22.5559389, 114.0434329 22.5558919, 114.0434443 22.5558486, 114.0434634 22.5557559, 114.0434859 22.5556363, 114.0435076 22.55552, 114.0435221 22.5554276, 114.0435335 22.5553324, 114.0435441 22.5552443, 114.0435492 22.5551882)",2
7967831847,7967831860,0,245929529,True,,primary_link,False,24.346,"LINESTRING (114.0431453 22.5564728, 114.0433811 22.5564956)",
7967831847,7967831842,0,779037720,True,商报东二路,residential,False,28.115000000000002,"LINESTRING (114.0431453 22.5564728, 114.0431683 22.556472, 114.0431875 22.5564678, 114.0432059 22.5564586, 114.0432241 22.5564463, 114.0432438 22.5564282, 114.0432653 22.5564006, 114.0432842 22.5563697, 114.0433237 22.5563007)",
7967831856,8444060581,0,854392422,False,商报东二路,residential,False,54.196,"LINESTRING (114.0436483 22.5508246, 114.0436378 22.5513119)",2
7967831856,7967831869,0,854392421,True,商报东二路,residential,False,30.014,"LINESTRING (114.0436483 22.5508246, 114.0436398 22.5507834, 114.0436289 22.5507567, 114.0436144 22.5507235, 114.0435996 22.550693, 114.0435807 22.5506628, 114.0435587 22.5506369, 114.0435417 22.5506162, 114.0435132 22.550591)",
7967831860,2530277198,0,245929529,True,,primary_link,False,52.555,"LINESTRING (114.0433811 22.5564956, 114.04342 22.5564994, 114.0434832 22.5565001, 114.0435322 22.5564973, 114.0435749 22.5564908, 114.0436115 22.5564819, 114.0436496 22.5564693, 114.0436863 22.5564511, 114.0437174 22.5564316, 114.0437494 22.556407, 114.0437792 22.5563784, 114.0438018 22.5563479, 114.0438168 22.5563188)",
7967831869,7979256663,0,1050921368,True,红荔路,primary,False,103.696,"LINESTRING (114.0435132 22.550591, 114.0425401 22.550342)",
7967831880,7967831869,0,1050921368,True,红荔路,primary,False,36.647,"LINESTRING (114.0438571 22.550679, 114.0435132 22.550591)",
7967831880,7967831856,0,779037721,True,商报东二路,residential,False,30.586999999999996,"LINESTRING (114.0438571 22.550679, 114.0438312 22.5506769, 114.0438087 22.5506769, 114.0437855 22.5506792, 114.0437628 22.5506833, 114.04374 22.5506908, 114.0437173 22.5507037, 114.0436973 22.5507215, 114.0436796 22.5507414, 114.0436642 22.5507656, 114.0436541 22.5507947, 114.0436483 22.5508246)",
7967831883,7967831896,0,854392424,False,,residential,True,57.328,"LINESTRING (114.042578 22.5551322, 114.0420199 22.5551198)",
7967831883,7967831896,1,"[245929518, 854392423]",False,,residential,"[False, True]",182.287,"LINESTRING (114.042578 22.5551322, 114.0425649 22.5557126, 114.0420111 22.5556649, 114.0420199 22.5551198)",
7967831883,2530277142,0,854392423,False,,residential,False,109.564,"LINESTRING (114.042578 22.5551322, 114.0425885 22.5546653, 114.0420273 22.5546577)",
7967831889,2530277078,0,245929522,False,,residential,False,72.551,"LINESTRING (114.0433503 22.5551779, 114.0426443 22.5551531)",
7967831889,2530277078,1,245929523,False,,residential,False,173.421,"LINESTRING (114.0433503 22.5551779, 114.0433605 22.5547383, 114.0432975 22.5546764, 114.0427257 22.5546694, 114.0426561 22.5547477, 114.0426443 22.5551531)",
7967831889,2530277113,0,245929522,False,,residential,True,20.457,"LINESTRING (114.0433503 22.5551779, 114.0435492 22.5551882)",
7967831896,2530277142,0,245929518,False,,residential,False,51.389,"LINESTRING (114.0420199 22.5551198, 114.0420273 22.5546577)",
7967831896,7967831883,0,854392424,False,,residential,False,57.328,"LINESTRING (114.0420199 22.5551198, 114.042578 22.5551322)",
7967831896,7967831883,1,"[245929518, 854392423]",False,,residential,"[False, True]",182.287,"LINESTRING (114.0420199 22.5551198, 114.0420111 22.5556649, 114.0425649 22.5557126, 114.042578 22.5551322)",
7967831896,7979256766,0,"[854392424, 245929524]",False,安景道,residential,True,90.501,"LINESTRING (114.0420199 22.5551198, 114.0419702 22.5551279, 114.0411997 22.5551217, 114.0411394 22.5551212)",
7967831901,7967774259,0,996188212,True,红荔路,primary,False,19.931,"LINESTRING (114.0441315 22.550539, 114.0443248 22.5505551)",
7967831901,7977056150,0,962310883,True,新洲路,primary,False,49.39000000000001,"LINESTRING (114.0441315 22.550539, 114.0441346 22.5503945, 114.0441381 22.5501957, 114.0441399 22.5500949)",
