u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge,name,maxspeed,access,junction
6491425394,6478643699,0,721792752,True,,tertiary,False,38.279,"LINESTRING (114.1523501 22.5485656, 114.1523447 22.5485213, 114.1523454 22.5484831, 114.1523586 22.5484291, 114.1523812 22.5483394, 114.1524087 22.5482675, 114.1524338 22.5482377)",,,,,
6491425394,7328910146,0,795505942,False,,tertiary,True,40.183,"LINESTRING (114.1523501 22.5485656, 114.1524503 22.5486174, 114.152465 22.5486226, 114.1525205 22.5486379, 114.1525799 22.5486476, 114.1526308 22.5486414, 114.1527194 22.5486217)",,,,,
6505217361,1235363718,0,107497716,False,,unclassified,True,75.225,"LINESTRING (114.1568157 22.5454042, 114.1567847 22.5454239, 114.1567503 22.545459, 114.1566291 22.5456221, 114.1565963 22.5456699, 114.1565111 22.5457856, 114.1564132 22.5459641)",,,,,
6566015434,3357223765,0,840886611,True,2,motorway_link,False,27.56,"LINESTRING (114.1521074 22.5485984, 114.1519977 22.5488246)",yes,香園圍公路 Heung Yuen Wai Highway,80,no,
6566050121,6478643704,0,690523443,True,,tertiary,False,16.387999999999998,"LINESTRING (114.1523128 22.5480976, 114.1522935 22.5481211, 114.1522836 22.5481491, 114.1522839 22.5481786, 114.1522945 22.5482064, 114.1523015 22.5482145, 114.1523143 22.5482295)",,蓮麻坑路交匯處 Lin Ma Hang Road Interchange,,,roundabout
7328910146,7328919703,0,"[784508836, 784508838, 784508839]",False,2,tertiary,True,251.43400000000003,"LINESTRING (114.1527194 22.5486217, 114.1526756 22.5485119, 114.1526525 22.54844, 114.1526381 22.5483476, 114.1526353 22.5482958, 114.1526352 22.5482705, 114.1527264 22.5479305, 114.1528206 22.5475623, 114.1528543 22.5473541, 114.1528605 22.547238, 114.1528644 22.547116, 114.1528448 22.5468028, 114.1528237 22.5465371, 114.152815 22.5463962)",,蓮麻坑路 Lin Ma Hang Road,,,
7328910146,6491425394,0,795505942,False,,tertiary,False,40.183,"LINESTRING (114.1527194 22.5486217, 114.1526308 22.5486414, 114.1525799 22.5486476, 114.1525205 22.5486379, 114.152465 22.5486226, 114.1524503 22.5486174, 114.1523501 22.5485656)",,,,,
7328910162,7328919703,0,784508836,False,2,tertiary,False,53.474000000000004,"LINESTRING (114.1527705 22.5459172, 114.1527769 22.5459516, 114.1527812 22.5460146, 114.1527903 22.5461245, 114.152815 22.5463962)",,蓮麻坑路 Lin Ma Hang Road,,,
7328910162,7509086424,0,"[784508836, 784508837, 844514359]",False,2,tertiary,True,80.99099999999999,"LINESTRING (114.1527705 22.5459172, 114.1527215 22.5458664, 114.1527061 22.5458569, 114.1525767 22.5457782, 114.1524535 22.5457298, 114.1523194 22.5456887, 114.1521896 22.545649, 114.1521109 22.5456156, 114.1520764 22.5455919)",,蓮麻坑路 Lin Ma Hang Road,,,
7328910162,4786969368,0,795505948,False,,unclassified,False,240.17299999999997,"LINESTRING (114.1527705 22.5459172, 114.1528406 22.5458997, 114.1528502 22.5458943, 114.1529087 22.5458608, 114.1531565 22.5456521, 114.1531758 22.5456359, 114.1531989 22.5456165, 114.1533211 22.5455135, 114.1534266 22.5454621, 114.1534967 22.5454418, 114.153605 22.5454329, 114.1537508 22.5454444, 114.1538515 22.545463, 114.154005 22.5455126, 114.1543379 22.5456518, 114.15435 22.5456555, 114.1545256 22.5457087, 114.1546762 22.545739, 114.1548734 22.5457512)",,,,,
