u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
637864177,5226359296,0,"[147463792, 147463788]",新豐路 San Fung Avenue,tertiary,False,False,37.668,"LINESTRING (114.1269371 22.5057311, 114.1269005 22.5054629, 114.1268983 22.5053945)",,,
637864192,7500821439,0,50177981,巡撫街 Tsun Fu Street,residential,True,False,22.988,"LINESTRING (114.1268424 22.5047597, 114.1269582 22.5047531, 114.1270592 22.5047493, 114.1270653 22.5047518)",,,
637864192,637864625,0,248017208,新豐路 San Fung Avenue,tertiary,False,False,78.511,"LINESTRING (114.1268424 22.5047597, 114.12683 22.5046645, 114.1268278 22.5046447, 114.1268156 22.5045376, 114.1267648 22.5040573)",,,
637864192,637864671,0,248017208,新豐路 San Fung Avenue,tertiary,False,True,62.087999999999994,"LINESTRING (114.1268424 22.5047597, 114.1268876 22.5052332, 114.1268957 22.5053159)",,,
637864200,637864109,0,50177982,新發街 San Fat Street,residential,True,False,51.732,"LINESTRING (114.1272887 22.5040259, 114.1272841 22.5039795, 114.1272802 22.5039148, 114.1272589 22.5035615)",,,
637864200,637864625,0,157734987,符興街 Fu Hing Street,unclassified,True,False,53.931999999999995,"LINESTRING (114.1272887 22.5040259, 114.1272475 22.5040284, 114.1272061 22.5040309, 114.1268833 22.5040502, 114.1268281 22.5040535, 114.1267648 22.5040573)",,,
637864202,637864200,0,50177982,新發街 San Fat Street,residential,True,False,44.937,"LINESTRING (114.1273339 22.5044277, 114.1273199 22.5043485, 114.127319 22.5043393, 114.1273111 22.5042578, 114.127296 22.5041013, 114.1272931 22.5040713, 114.1272887 22.5040259)",,,
637864202,7500821369,0,801925715,新財街 San Tsoi Street,residential,True,False,57.35,"LINESTRING (114.1273339 22.5044277, 114.1274255 22.5043305, 114.1275698 22.5041775, 114.1275828 22.5041513, 114.127592 22.5041109, 114.1275904 22.5040823, 114.1275857 22.5039972)",,,
637864216,637864218,0,50177984,新祥街 San Cheung Street,residential,True,False,81.28199999999998,"LINESTRING (114.1297476 22.504228, 114.1296884 22.5041771, 114.1292195 22.503773, 114.1291689 22.5037295)",,,
637864216,637864325,0,50177992,新成路 San Shing Avenue,unclassified,True,False,55.246,"LINESTRING (114.1297476 22.504228, 114.1297143 22.5042611, 114.1294421 22.5045321, 114.1293818 22.5045922)",,,
637864218,637864340,0,255289142,新康街 San Hong Street,unclassified,True,False,59.525,"LINESTRING (114.1291689 22.5037295, 114.1292206 22.5036807, 114.1295112 22.5034063, 114.129572 22.503345)",1,,
637864223,637864228,0,50177985,新功街 San Kung Street,residential,True,False,81.577,"LINESTRING (114.128477 22.5054722, 114.1284375 22.5054371, 114.128425 22.5054263, 114.1281262 22.5051697, 114.1279403 22.5050083, 114.1279343 22.5050031, 114.1278972 22.5049709)",,,
637864223,637864167,0,50177992,新成路 San Shing Avenue,unclassified,True,False,52.189,"LINESTRING (114.128477 22.5054722, 114.1284235 22.5055235, 114.1281688 22.5057676, 114.1281244 22.5058101)",,,
637864228,7380474734,0,147463793,新康街 San Hong Street,unclassified,True,False,136.62,"LINESTRING (114.1278972 22.5049709, 114.1279449 22.5049242, 114.1282528 22.5046227, 114.1287627 22.5041155, 114.1288052 22.5040732)",1,,
637864250,1606824347,0,50177987,新豐路 San Fung Avenue,tertiary,True,False,20.313,"LINESTRING (114.1270696 22.5066499, 114.1270853 22.506832)",,,
637864250,637864319,0,147463788,新豐路 San Fung Avenue,tertiary,False,False,49.36,"LINESTRING (114.1270696 22.5066499, 114.1270129 22.5062091)",,,
637864260,637864263,0,394161078,馬會道 Jockey Club Road,primary_link,True,False,13.253,"LINESTRING (114.1277834 22.5070605, 114.1277577 22.5071773)",,,
637864263,637864816,0,147463744,馬會道 Jockey Club Road,primary,True,False,96.55300000000001,"LINESTRING (114.1277577 22.5071773, 114.1277072 22.507211, 114.1275829 22.5072792, 114.1274165 22.5073564, 114.1272513 22.5074138, 114.1271843 22.5074308, 114.127098 22.5074504, 114.1268887 22.5074815)",2,,
637864319,637864177,0,147463788,新豐路 San Fung Avenue,tertiary,False,False,53.719,"LINESTRING (114.1270129 22.5062091, 114.1269371 22.5057311)",,,
